col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
1,,LINEAR_LM324D,LINEAR_SO14,IC4,OP AMP,,,,,,,,,,,LMV324,
7,,M04LOCK,1X04_LOCK,"15V_OUT, GND, GNDA, HV_IN, HV_OUT, VCC, VDDA",Header 4,,,,,,,,,,,,
1,,PINHD-2X4,2X04,JP2,PIN HEADER,,,,,,,,,,,,
1,,PINHD-2X6,2X06,JP1,PIN HEADER,,,,,,,,,,,,
1,0R,R-US_R1206,R1206,R18,"RESISTOR, American symbol",,,,,,,,,,,,
9,100M,R-US_R1206,R1206,"R5, R7, R24, R31, R33, R48, R50, R57, R59","RESISTOR, American symbol",,,,,,,,,,,,
8,100R,R-US_R1206,R1206,"R1, R2, R27, R28, R44, R45, R53, R54","RESISTOR, American symbol",,,,,,,,,,,,
12,100k,R-US_R1206,R1206,"R4, R10, R11, R16, R20, R25, R30, R35, R36, R41, R47, R56","RESISTOR, American symbol",,,,,,,,,,,,
9,100nF,C-USC1206,C1206,"C4, C6, C7, C8, C9, C23, C24, C30, C35","CAPACITOR, American symbol",,,,,,,,,,,,
1,100nF-1k5V,C-USC2225K,C2225K,C16,"CAPACITOR, American symbol",,,,,,,,,,,,
4,10M,R-US_R1206,R1206,"R3, R29, R46, R55","RESISTOR, American symbol",,,,,,,,,,,,
1,10k,R-US_R1206,R1206,R26,"RESISTOR, American symbol",,,,,,,,,,,,
3,10nF,C-USC1206,C1206,"C10, C11, C25","CAPACITOR, American symbol",,,,,,,,,,,,
4,10nF LoESL,C-USC1206,C1206,"C20, C27, C32, C33","CAPACITOR, American symbol",,,,,,,,,,,,
1,10nF-H,C-USC1206,C1206,C1,"CAPACITOR, American symbol",,,,,,,,,,,,
1,10nF-L,C-USC1206,C1206,C2,"CAPACITOR, American symbol",,,,,,,,,,,,
2,10nF-Lo,C-USC1206,C1206,"C21, C28","CAPACITOR, American symbol",,,,,,,,,,,,
1,12uH,L-USL1812,L1812,L2,"INDUCTOR, American symbol",,,,,,,,,,,,
1,180pF,C-USC1206,C1206,C17,"CAPACITOR, American symbol",,,,,,,,,,,,
8,1k,R-US_R1206,R1206,"R9, R12, R13, R37, R38, R43, R52, R61","RESISTOR, American symbol",,,,,,,,,,,,
3,1nF 1k5V,C-USC1206,C1206,"C22, C29, C34","CAPACITOR, American symbol",,,,,,,,,,,,
1,1nF-1k5V,C-USC1206,C1206,C3,"CAPACITOR, American symbol",,,,,,,,,,,,
3,2.2uF,C-USC1206,C1206,"C12, C13, C19","CAPACITOR, American symbol",,,,,,,,,,,,
1,2.2uH,INDUCTOR,SRN6045,L1,,,,,,,,,,,,,
2,22uF,C-USC1206,C1206,"C14, C15","CAPACITOR, American symbol",,,,,,,,,,,,
1,2516-,2516-,PAK100/2500-16,X5,3M (TM) Pak 100 4-Wall Header,,,,,,unknown,unknown,,,,,
9,270k,R-US_R1206,R1206,"R6, R8, R23, R32, R34, R49, R51, R58, R60","RESISTOR, American symbol",,,,,,,,,,,,
4,3k3,R-US_R1206,R1206,"R14, R15, R39, R40","RESISTOR, American symbol",,,,,,,,,,,,
1,4.7uF,C-USC1206,C1206,C18,"CAPACITOR, American symbol",,,,,,,,,,,,
4,470pF,C-USC1206,C1206,"C5, C26, C31, C36","CAPACITOR, American symbol",,,,,,,,,,,,
1,500k,R-US_R1206,R1206,R19,"RESISTOR, American symbol",,,,,,,,,,,,
1,74LV02,7402D,SO14,IC2,Quad 2-input NOR gate,,,,,,,,,,,,
1,74LV08,74S08D,SO14,IC3,Quad 2-input AND gate,,,,,,,,,,,,
1,74LV7014,7407D,SO14,IC1,"Hex BUFFER, open collector high-voltage output",,,,,,,,,,,,
4,BYG23T-M3,DIODE-DO214AC,DO214AC,"D1, D3, D4, D5",DIODE,,,,,,,,,,,,
1,FERRITE,R-US_R1206,R1206,R42,"RESISTOR, American symbol",,,,,,,,,,,,
1,FUSE,R-US_R1206,R1206,R17,"RESISTOR, American symbol",,,,,,,,,,,,
8,HGTD1N120BNS,HGTD1N120BNS,TO252,"U$2, U$3, U$9, U$10, U$12, U$13, U$15, U$16",,,,,,,,,,,,,
1,INFO,INFO,INFO,U$18,,A. Buchan/RSF,July 2018,Micro Mirror Drive,,,,,Biomimetic Millisystems Lab,,r1.0,,
4,IR2213,IR2213,SO16L,"U$4, U$11, U$14, U$17",,,,,,,,,,,,,
1,LM324D,LM324D,SO14,IC5,OP AMP,,,,,,,,,,,,
1,LMR64010,LMR64010,SOT23-5,U$6,,,,,,,,,,,,,
1,LP2985-33,LP2985-33,SOT23-5,U$7,,,,,,,,,,,,,
1,MBR0520,DIODE-SOD123,SOD123,D2,DIODE,,,,,,,,,,,,
1,POWER_JACKPTH_LOCK,POWER_JACKPTH_LOCK,POWER_JACK_PTH_LOCK,J1,Power Jack,,,,,,,,,PRT-00119,,,
1,Q50-5C,Q50-5C,Q50-5C,U$5,,,,,,,,,,,,,
4,SMA-142-0701-801/806,SMA-142-0701-801/806,J502-ND-142-0701-801/806,"X1, X2, X3, X4",SMA 50 Ohm End Launch Jack Receptacle - Round Contact,,,,JOHNSON COMPONENTS,142-0701-801,1608592,90F2624,,,,,
4,STAND-OFFTIGHT,STAND-OFFTIGHT,STAND-OFF-TIGHT,"H5, H6, H7, H8",Stand Off,,,,,,,,,,,,
1,TPS62160,TPS62160,TSSOP8,U8,,,,,,,,,,,,,
