col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47
Nuclear,Nuclear,gen_must_run,day,1,Uranium,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,Coal,gen_commit_cap,day,1,Coal,1.0,,,0.4,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas_CCGT,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas_CT,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Wind,gen_var,day,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Battery,Storage,stor,day,0,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,1.0,99.0,,,,,,,,,,,,,,,,,,
Hydro,Hydro,gen_hydro,day,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
Gas_CCGT_new,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas_CT_new,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Solar,gen_var,day,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Nuclear_z2,Nuclear,gen_must_run,day,1,Uranium,1.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal_z2,Coal,gen_commit_cap,day,1,Coal,1.0,,,,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas_CCGT_z2,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas_CT_z2,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind_z2,Wind,gen_var,day,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Battery_z2,Storage,stor,day,0,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,1.0,99.0,,,,,,,,,,,,,,,,,,
Gas_CCGT_new_z2,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas_CT_new_z2,Gas,gen_commit_cap,day,2,Gas,1.0,,,0.4,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
