col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
2019-04-04 18:47:01,9CcfAt8qtZvCTwFvwOFLcg==,2412000.0,,2018-12-19 00:00:00,2018-12-19 19:51:13,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,A/SkeDD5c3ejUyEFFoUHHg==,A/SkeDD5c3ejUyEFFoUHHg==,False,True,False,006q000000HddohAAB,True,True,,True,,,,TDK+SgtPSM3Vk67zX9aeRA==,$1m deal,,rQhle3uwQbFgFmLTF1WByg==,lNUPfU1ue2nQimeN6QVNKQ==,100.0,3QOHd+Q7F28PJtnwztV09Q==,GavUFuuf4DrnQAoiRGlWpQ==,,,+Gkf6SQ2fhAONAiFelNKVw==
2019-04-04 18:47:01,wfQo3+JVfsNIdcz/mUkZkA==,,,2018-12-18 00:00:00,2018-12-18 21:21:17,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,A/SkeDD5c3ejUyEFFoUHHg==,A/SkeDD5c3ejUyEFFoUHHg==,False,False,False,006q000000HdPzpAAF,True,True,,True,,,,Fbu50LvyXo0peN4RaMdJ3A==,Testing Opp Close,,nqxS50kwRjtOYb9ZB4/PoQ==,,100.0,3QOHd+Q7F28PJtnwztV09Q==,GavUFuuf4DrnQAoiRGlWpQ==,,,+Gkf6SQ2fhAONAiFelNKVw==
2018-12-18 18:20:30.829,wIXkC/s93lDAT+HVkwv6+A==,,,2018-12-18 00:00:00,2018-12-10 17:03:22,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,A/SkeDD5c3ejUyEFFoUHHg==,A/SkeDD5c3ejUyEFFoUHHg==,False,False,False,006q000000Hbmd1AAB,True,True,,True,,,,TDK+SgtPSM3Vk67zX9aeRA==,Test,,dVDxbGz10nJ2mKU213GZRQ==,,100.0,14mxIBMk0YX2Gz0r1Ktsuw==,GavUFuuf4DrnQAoiRGlWpQ==,,,+Gkf6SQ2fhAONAiFelNKVw==
2019-04-04 18:47:01,78HpxISq4/eSw+ycDPqSwA==,,,2018-12-13 00:00:00,2018-12-13 18:02:55,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,A/SkeDD5c3ejUyEFFoUHHg==,A/SkeDD5c3ejUyEFFoUHHg==,False,False,False,006q000000HcZXrAAN,True,True,,True,,,,pOz8cFdDlJkM8XvYPfSZ9w==,lu test 3,,9B1r0vK1wAVGaERpMleKGg==,,100.0,14mxIBMk0YX2Gz0r1Ktsuw==,GavUFuuf4DrnQAoiRGlWpQ==,,,+Gkf6SQ2fhAONAiFelNKVw==
2019-04-04 18:47:01,wfQo3+JVfsNIdcz/mUkZkA==,,,2018-12-07 00:00:00,2018-12-19 20:22:58,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,A/SkeDD5c3ejUyEFFoUHHg==,A/SkeDD5c3ejUyEFFoUHHg==,False,False,False,006q000000HddueAAB,True,True,,True,,,,dSJC2EuRkC62f+UuBPQeVg==,Chewbaca,,nqxS50kwRjtOYb9ZB4/PoQ==,,100.0,3QOHd+Q7F28PJtnwztV09Q==,GavUFuuf4DrnQAoiRGlWpQ==,,,dSJC2EuRkC62f+UuBPQeVg==
2019-04-04 18:47:01,TK5MTSsiOYoDQoJiSbkugA==,20000.0,,2018-11-21 00:00:00,2018-11-14 19:12:53,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,AloDHjNI+wntE4Eetriz+w==,AloDHjNI+wntE4Eetriz+w==,False,False,False,006q000000HK8jdAAD,True,True,,False,,,,MfuqnemFQBY2RwqM7YBkKA==,Evergreen Test,,QEaGoY7B8nGfro2vhOCMvA==,,0.0,14mxIBMk0YX2Gz0r1Ktsuw==,tXi3M8u3iPxq0ggxTSxMKw==,,,+Gkf6SQ2fhAONAiFelNKVw==
2019-04-04 18:47:01,78HpxISq4/eSw+ycDPqSwA==,,,2018-12-13 00:00:00,2018-12-13 18:00:11,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,AloDHjNI+wntE4Eetriz+w==,AloDHjNI+wntE4Eetriz+w==,False,False,False,006q000000HcZXXAA3,True,True,,False,,,,UN2fttk8geFc7Db/xJzQ+A==,lu test 1,,9B1r0vK1wAVGaERpMleKGg==,,0.0,14mxIBMk0YX2Gz0r1Ktsuw==,tXi3M8u3iPxq0ggxTSxMKw==,,,+Gkf6SQ2fhAONAiFelNKVw==
2019-04-04 18:47:01,tZX+Z0iWzZHHjNvRnCJzwg==,1.0,,2018-10-31 00:00:00,2018-10-31 17:43:42,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,AloDHjNI+wntE4Eetriz+w==,AloDHjNI+wntE4Eetriz+w==,False,False,False,006q000000GoP76AAF,True,True,,False,,,,,Blue Test -,,TLZtnkcZltX8lijWYSQqRg==,,0.0,14mxIBMk0YX2Gz0r1Ktsuw==,tXi3M8u3iPxq0ggxTSxMKw==,,,+Gkf6SQ2fhAONAiFelNKVw==
2019-04-04 18:47:01,78HpxISq4/eSw+ycDPqSwA==,,,2018-12-13 00:00:00,2018-12-13 18:01:22,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,AloDHjNI+wntE4Eetriz+w==,AloDHjNI+wntE4Eetriz+w==,False,False,False,006q000000HcZXcAAN,True,True,,False,,,,pOz8cFdDlJkM8XvYPfSZ9w==,lu test 2,,AwxR76rxgr77EfSnTHH57Q==,,0.0,14mxIBMk0YX2Gz0r1Ktsuw==,tXi3M8u3iPxq0ggxTSxMKw==,,,9Q0PuStPWLYgxG/8kpvo5g==
2019-04-04 18:47:01,wIXkC/s93lDAT+HVkwv6+A==,21000.0,,2018-12-19 00:00:00,2018-12-18 17:56:05,,,JxJ3Au0JjyhOOUE/UvIeOw==,4,2018,rq6uxRtOa4gSLxCtlqjecg==,rq6uxRtOa4gSLxCtlqjecg==,False,True,False,006q000000HdOhuAAF,False,True,,False,,,,Fbu50LvyXo0peN4RaMdJ3A==,Testing Order from Process,,dVDxbGz10nJ2mKU213GZRQ==,5x2qfGToAOo3bmSNM8fPjg==,65.0,3QOHd+Q7F28PJtnwztV09Q==,9RN9J3tlxr89gDctReax5w==,,,+Gkf6SQ2fhAONAiFelNKVw==
