col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
35201,JP-46,鹿児島県,薩摩地方,鹿児島・日置,鹿児島市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35202,JP-46,鹿児島県,薩摩地方,鹿児島・日置,日置市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35203,JP-46,鹿児島県,薩摩地方,鹿児島・日置,いちき串木野市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35204,JP-46,鹿児島県,薩摩地方,出水・伊佐,阿久根市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35205,JP-46,鹿児島県,薩摩地方,出水・伊佐,出水市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35206,JP-46,鹿児島県,薩摩地方,出水・伊佐,伊佐市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35207,JP-46,鹿児島県,薩摩地方,出水・伊佐,長島町,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35208,JP-46,鹿児島県,薩摩地方,川薩・姶良,薩摩川内市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35209,JP-46,鹿児島県,薩摩地方,川薩・姶良,霧島市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35210,JP-46,鹿児島県,薩摩地方,川薩・姶良,姶良市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35211,JP-46,鹿児島県,薩摩地方,川薩・姶良,さつま町,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35212,JP-46,鹿児島県,薩摩地方,川薩・姶良,湧水町,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35213,JP-46,鹿児島県,薩摩地方,甑島,薩摩川内市甑島,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35214,JP-46,鹿児島県,薩摩地方,指宿・川辺,枕崎市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35215,JP-46,鹿児島県,薩摩地方,指宿・川辺,指宿市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35216,JP-46,鹿児島県,薩摩地方,指宿・川辺,南さつま市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35217,JP-46,鹿児島県,薩摩地方,指宿・川辺,南九州市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
35218,JP-46,鹿児島県,大隅地方,曽於,曽於市,,,,,,,,,,,,,,,,,,1.0,,,,,,2021-02-24T09:20,https://www.jma.go.jp/jp/warn/352_table.html
