col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
BORON/ARGON/XENON,PARTICLE-DEVICES-BORON,PARTICLE-DEVICES-BORON,PARTICLE-DEVICES_BORON,Particle Boron Device for Carrier Board Placement,,,,,,,,,,,,,,,,,
C1,0.1uF,CAP0805,0805@1,Capacitor,,,,,,,,,,,,,,,,,
C2,1uF,CAP0805,0805@1,Capacitor,,,,,,,,,,,,,,,,,
C3,0.1uF,CAP0805,0805@1,Capacitor,,,,,,,,,,,,,,,,,
C4,0.1uF,CAP0805,0805@1,Capacitor,,,,,,,,,,,,,,,,,
C5,1uF,CAP0805,0805@1,Capacitor,,,,,,,,,,,,,,,,,
C8,470uF,CAPACITOR_P_10MM,CP10MM,Library:  MF_Passives,,,,,,,,1.0,,,,,,,,,
D1,MF-DIO-SOD123-BAT42,DIODES_BAT42_SOD-123,SOD-123,Library:  MF_Discrete_Semiconductor,YES,,,MF-DIO-SOD123-BAT42,,,,1.0,,,,,https://factory.macrofab.com/part/MF-DIO-SOD123-BAT42,MF-DIO-SOD123-BAT42,,,
D2,MF-DIO-SOD123-BAT42,DIODES_BAT42_SOD-123,SOD-123,Library:  MF_Discrete_Semiconductor,YES,,,MF-DIO-SOD123-BAT42,,,,1.0,,,,,https://factory.macrofab.com/part/MF-DIO-SOD123-BAT42,MF-DIO-SOD123-BAT42,,,
D3,MF-DIO-SOD123-BAT42,DIODES_BAT42_SOD-123,SOD-123,Library:  MF_Discrete_Semiconductor,YES,,,MF-DIO-SOD123-BAT42,,,,1.0,,,,,https://factory.macrofab.com/part/MF-DIO-SOD123-BAT42,MF-DIO-SOD123-BAT42,,,
F1,1.5A - SLOW BLOW,PPTC_HALF-AMP,1206,Resettable Fuse PPTC,,,,,,,,,RES-08585,,,,,6V/0.5A,,,
F2,500mA - FAST BLOW,PPTC_HALF-AMP,1206,Resettable Fuse PPTC,,,,,,,,,RES-08585,,,,,6V/0.5A,,,
F3,500mA - FAST BLOW,PPTC_HALF-AMP,1206,Resettable Fuse PPTC,,,,,,,,,RES-08585,,,,,6V/0.5A,,,
FD1,FIDUCIALUFIDUCIAL,FIDUCIALUFIDUCIAL,FIDUCIAL-MICRO,Fiducial Alignment Points,,,,,,,,,,,,,,,,,
FD2,FIDUCIALUFIDUCIAL,FIDUCIALUFIDUCIAL,FIDUCIAL-MICRO,Fiducial Alignment Points,,,,,,,,,,,,,,,,,
FRAME1,FRAME-LETTER,FRAME-LETTER,CREATIVE_COMMONS,Schematic Frame - Letter,,,,,,,,,,,,,,,,,
FRAME2,FRAME-LETTER,FRAME-LETTER,CREATIVE_COMMONS,Schematic Frame - Letter,,,,,,,,,,,,,,,,,
FRAME3,FRAME-LETTER,FRAME-LETTER,CREATIVE_COMMONS,Schematic Frame - Letter,,,,,,,,,,,,,,,,,
G1,D5V0L4B5TS,D5V0L4B5TS,SOT-23-5,4 CHANNEL LOW CAPACITANCE BI-DIRECTIONAL TVS ARRAY,,,,,,,,,,,,,,,,,
J1,H4P-SMD-2.0,GROVE-CONNECTOR-SMD(4+2P-2.0),HW4-SMD-2.0,320110030,,,,,,,,,,,,,,H4P-SMD-2.0,,,
J2,H4P-SMD-2.0,GROVE-CONNECTOR-SMD(4+2P-2.0),HW4-SMD-2.0,320110030,,,,,,,,,,,,,,H4P-SMD-2.0,,,
J3,,CONN_02,1X02,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,
J4,S2B-PH-SM4-TB(LF)(SN),JST_2MM_MALE,JST-2-SMD,JST 2MM MALE RA CONNECTOR,,,S2B-PH-SM4-TB(LF)(SN),,,,,,CONN-11443,PRT-08612,,,,,,,
J5,S2B-PH-SM4-TB(LF)(SN),JST_2MM_MALE,JST-2-SMD,JST 2MM MALE RA CONNECTOR,,,S2B-PH-SM4-TB(LF)(SN),,,,,,CONN-11443,PRT-08612,,,,,,,
JP1,,M06LOCK,1X06_LOCK,Header 6,,,,,,,,,,,,,,,,,
JP2,,M06LOCK,1X06_LOCK,Header 6,,,,,,,,,,,,,,,,,
JP3,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off,,,,,,,,,,,,,,,,,
JP4,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off,,,,,,,,,,,,,,,,,
JP5,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off,,,,,,,,,,,,,,,,,
JP6,STAND-OFF,STAND-OFF,STAND-OFF,Stand Off,,,,,,,,,,,,,,,,,
JP7,JUMPER-SMT_3_1-NC_TRACE_SILK,JUMPER-SMT_3_1-NC_TRACE_SILK,SMT-JUMPER_3_1-NC_TRACE_SILK,Normally closed trace jumper (1 of 2 connections),,,,,,,,,,,,,,,,,
JP9,JUMPER-SMT_2_NC_PASTE_SILK,JUMPER-SMT_2_NC_PASTE_SILK,SMT-JUMPER_2_NC_PASTE_SILK,Normally closed solder jumper,,,,,,,,,,,,,,,,,
Q1,MMBT2222A,TRANS_NPN-MMBT2222AL,SOT23-3,NPN transistor,,,,,,,,,TRANS-08049,,,,,600mA/40V,,,
R1,270k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
R2,270k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
R3,100k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
R4,100k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
R5,10k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
R6,4.7k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
R7,4.7k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
R10,10k,RESISTOR0805-RES,0805,Resistor,,,,,,,,,,,,,,,,,
