col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
0,Anchorage,AK,"Anchorage, AK",59,49,77,23,15,84,44,160
1,Chandler,AZ,"Chandler, AZ",101,83,30,67,49,39,0,88
2,Gilbert,AZ,"Gilbert, AZ",100,83,30,66,49,39,0,85
3,Glendale,AZ,"Glendale, AZ",100,83,29,66,49,38,0,79
4,Mesa,AZ,"Mesa, AZ",100,83,30,66,49,39,0,85
5,Phoenix,AZ,"Phoenix, AZ",102,84,28,67,50,38,1,74
6,Scottsdale,AZ,"Scottsdale, AZ",101,83,29,67,50,38,0,89
7,Tucson,AZ,"Tucson, AZ",93,76,37,64,45,39,1,93
8,Anaheim,CA,"Anaheim, CA",82,66,60,66,52,56,0,83
9,Bakersfield,CA,"Bakersfield, CA",95,65,32,62,42,58,0,106
10,Fresno,CA,"Fresno, CA",97,66,30,60,43,64,0,104
11,Long Beach,CA,"Long Beach, CA",78,65,67,65,53,59,0,73
12,Los Angeles,CA,"Los Angeles, CA",82,65,60,66,51,54,0,66
13,Oakland,CA,"Oakland, CA",73,56,73,58,46,72,0,97
14,Sacramento,CA,"Sacramento, CA",93,60,47,58,42,73,0,105
15,San Diego,CA,"San Diego, CA",76,65,71,64,52,62,0,104
16,San Francisco,CA,"San Francisco, CA",72,56,74,58,46,72,0,100
17,San Jose,CA,"San Jose, CA",81,57,61,60,43,70,0,96
18,Santa Ana,CA,"Santa Ana, CA",82,65,61,66,51,57,0,91
19,Aurora,CO,"Aurora, CO",85,59,43,43,24,61,64,167
20,Colorado Springs,CO,"Colorado Springs, CO",76,53,52,39,20,63,81,202
21,Denver,CO,"Denver, CO",83,58,42,42,23,62,67,191
22,Washington,DC,"Washington, DC",85,67,71,45,32,72,12,198
23,Fort Lauderdale,FL,"Fort Lauderdale, FL",87,82,72,75,67,72,0,289
24,Jacksonville,FL,"Jacksonville, FL",91,76,73,68,51,72,0,218
25,Miami,FL,"Miami, FL",86,82,71,75,68,73,0,277
26,Orlando,FL,"Orlando, FL",91,76,75,72,56,72,0,227
27,St. Petersburg,FL,"St. Petersburg, FL",67,54,76,28,20,92,95,220
28,Tallahassee,FL,"Tallahassee, FL",90,73,76,65,48,76,0,180
29,Tampa,FL,"Tampa, FL",90,78,72,71,56,72,0,219
30,Atlanta,GA,"Atlanta, GA",89,70,68,55,39,74,1,196
31,Augusta,GA,"Augusta, GA",88,73,53,59,45,72,1,107
32,Honolulu,HI,"Honolulu, HI",81,75,74,76,69,75,0,249
33,Des Moines,IA,"Des Moines, IA",81,63,79,34,20,79,37,186
34,Boise,ID,"Boise, ID",91,69,71,85,64,71,0,276
35,Chicago,IL,"Chicago, IL",76,66,76,33,24,80,45,235
36,Indianapolis,IN,"Indianapolis, IN",81,64,79,39,26,79,34,205
37,Wichita,KS,"Wichita, KS",90,70,62,47,30,66,10,157
38,Lexington,KY,"Lexington, KY",83,64,77,44,30,80,33,235
39,Louisville,KY,"Louisville, KY",85,65,75,44,30,79,18,207
40,Baton Rouge,LA,"Baton Rouge, LA",91,73,77,63,47,80,0,203
41,New Orleans,LA,"New Orleans, LA",89,79,72,64,53,75,0,193
42,Shreveport,LA,"Shreveport, LA",94,73,66,59,43,78,0,168
43,Boston,MA,"Boston, MA",80,63,72,37,25,75,35,201
