col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33
,0,,,,1,2,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>61.671000,71.431000,0.0 62.281000,72.041000,0.0</coordinates></LineString>","<LineString><coordinates>61.671000,71.431000,0.0 62.281000,72.041000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,1,,,,1,3,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>60.451000,70.882000,0.0 61.061000,71.492000,0.0</coordinates></LineString>","<LineString><coordinates>60.451000,70.882000,0.0 61.061000,71.492000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,2,,,,1,5,Freeway,1,0.416,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>62.220000,69.113000,0.0 62.830000,69.723000,0.0</coordinates></LineString>","<LineString><coordinates>62.220000,69.113000,0.0 62.830000,69.723000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,3,,,,2,1,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>60.939000,68.198000,0.0 61.549000,68.808000,0.0</coordinates></LineString>","<LineString><coordinates>60.939000,68.198000,0.0 61.549000,68.808000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,4,,,,2,4,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>62.830000,66.063000,0.0 63.440000,66.673000,0.0</coordinates></LineString>","<LineString><coordinates>62.830000,66.063000,0.0 63.440000,66.673000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,5,,,,2,5,Freeway,1,0.416,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>58.194000,69.967000,0.0 58.804000,70.577000,0.0</coordinates></LineString>","<LineString><coordinates>58.194000,69.967000,0.0 58.804000,70.577000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,6,,,,3,1,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>59.109000,67.954000,0.0 59.719000,68.564000,0.0</coordinates></LineString>","<LineString><coordinates>59.109000,67.954000,0.0 59.719000,68.564000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,0,0,0,,
,7,,,,3,4,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>55.327000,69.784000,0.0 55.937000,70.394000,0.0</coordinates></LineString>","<LineString><coordinates>55.327000,69.784000,0.0 55.937000,70.394000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,8,,,,4,2,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>54.168000,67.161000,0.0 54.778000,67.771000,0.0</coordinates></LineString>","<LineString><coordinates>54.168000,67.161000,0.0 54.778000,67.771000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,9,,,,4,3,Freeway,1,0.833,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>57.157000,66.490000,0.0 57.767000,67.100000,0.0</coordinates></LineString>","<LineString><coordinates>57.157000,66.490000,0.0 57.767000,67.100000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,10,,,,5,6,Freeway,1,0.416,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>57.279000,63.623000,0.0 57.889000,64.233000,0.0</coordinates></LineString>","<LineString><coordinates>57.279000,63.623000,0.0 57.889000,64.233000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,11,,,,6,3,Freeway,1,0.416,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>59.109000,63.989000,0.0 59.719000,64.599000,0.0</coordinates></LineString>","<LineString><coordinates>59.109000,63.989000,0.0 59.719000,64.599000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
,12,,,,6,4,Freeway,1,0.416,1,25,25,4950,1,180,12,,,0,0,"<LineString><coordinates>59.414000,61.976000,0.0 60.024000,62.586000,0.0</coordinates></LineString>","<LineString><coordinates>59.414000,61.976000,0.0 60.024000,62.586000,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0,,
