col0,col1,col2,col3,col4,col5
2006,Hipster Female Ped. 3,1411769330459,1417270007583,hipster-female-ped-3,https://www.igdb.com/characters/hipster-female-ped-3
2007,Homeless Female Ped. 2,1411769330531,1417270007856,homeless-female-ped-2,https://www.igdb.com/characters/homeless-female-ped-2
2008,Hipster Female Ped. 4,1411769330632,1417270008140,hipster-female-ped-4,https://www.igdb.com/characters/hipster-female-ped-4
2009,Hipster Female Ped. 5,1411769330704,1417270008376,hipster-female-ped-5,https://www.igdb.com/characters/hipster-female-ped-5
2010,Hipster Female Ped. 2,1411769330790,1417270008595,hipster-female-ped-2,https://www.igdb.com/characters/hipster-female-ped-2
2011,Russian-Accented Male Ped. 2,1411769330939,1417270008820,russian-accented-male-ped-2,https://www.igdb.com/characters/russian-accented-male-ped-2
2012,Russian-Accented Male Ped. 3,1411769331093,1417270009037,russian-accented-male-ped-3,https://www.igdb.com/characters/russian-accented-male-ped-3
2013,Hipster Male Ped. 2,1411769331180,1417270009287,hipster-male-ped-2,https://www.igdb.com/characters/hipster-male-ped-2
2014,Business Casual Male Ped. 1,1411769331284,1417270009520,business-casual-male-ped-1,https://www.igdb.com/characters/business-casual-male-ped-1
2015,Hipster Male Ped. 1,1411769331382,1417270009761,hipster-male-ped-1,https://www.igdb.com/characters/hipster-male-ped-1
2016,Hipster Male Ped. 7,1411769331494,1417270009984,hipster-male-ped-7,https://www.igdb.com/characters/hipster-male-ped-7
2017,Hipster Male Ped. 5,1411769331583,1417270010217,hipster-male-ped-5,https://www.igdb.com/characters/hipster-male-ped-5
2018,Homeless Male Ped. 7,1411769331689,1417270010448,homeless-male-ped-7,https://www.igdb.com/characters/homeless-male-ped-7
2019,Asian-Accented Male Ped. 1,1411769331826,1417270010689,asian-accented-male-ped-1,https://www.igdb.com/characters/asian-accented-male-ped-1
2020,Asian-Accented Male Ped. 2,1411769331916,1417270010918,asian-accented-male-ped-2,https://www.igdb.com/characters/asian-accented-male-ped-2
2021,Homeless Female Ped. 1,1411769332076,1417270011160,homeless-female-ped-1,https://www.igdb.com/characters/homeless-female-ped-1
2022,Hipster Female Ped. 11,1411769332181,1417270011390,hipster-female-ped-11,https://www.igdb.com/characters/hipster-female-ped-11
2023,Homeless Female Ped. 5,1411769332269,1417270011647,homeless-female-ped-5,https://www.igdb.com/characters/homeless-female-ped-5
2024,Russian-Accented Female Ped. 2,1411769332367,1417270011879,russian-accented-female-ped-2,https://www.igdb.com/characters/russian-accented-female-ped-2
2025,Russian-Accented Female Ped. 3,1411769332437,1417270012095,russian-accented-female-ped-3,https://www.igdb.com/characters/russian-accented-female-ped-3
2026,Asian-Accented Female Ped. 1,1411769332533,1417270012326,asian-accented-female-ped-1,https://www.igdb.com/characters/asian-accented-female-ped-1
2027,Asian-Accented Female Ped. 3,1411769332603,1417270012563,asian-accented-female-ped-3,https://www.igdb.com/characters/asian-accented-female-ped-3
2028,Working Class Male,1411769332819,1417270012794,working-class-male,https://www.igdb.com/characters/working-class-male
2029,Russian Bully 4,1411769332885,1417270013010,russian-bully-4,https://www.igdb.com/characters/russian-bully-4
2030,Working Class Male Ped.,1411769332953,1417270013277,working-class-male-ped,https://www.igdb.com/characters/working-class-male-ped
2031,Russian Bully 3,1411769333086,1417270013508,russian-bully-3,https://www.igdb.com/characters/russian-bully-3
