col0,col1,col2,col3,col4,col5,col6
Unknown,NPOC,01Feb18_Dam,2/1/2018,Dam,.,6.344
Unknown,NPOC,01Feb18_Desoto,2/1/2018,Desoto,.,6.143
Unknown,NPOC,01Feb18_Disch,2/1/2018,Disch,.,6.223
Unknown,NPOC,01Feb18_EastLimePond,2/1/2018,EastLimePond,.,11.234
Unknown,NPOC,01Feb18_OutletStream,2/1/2018,OutletStream,.,9.874
Unknown,NPOC,01Feb18_OverflowPond,2/1/2018,OverflowPond,.,10.17
Unknown,NPOC,01Feb18_RegionalDetention,2/1/2018,RegionalDetention,.,8.457
Unknown,NPOC,01Feb18_RundownPond,2/1/2018,RundownPond,.,15.344
Unknown,NPOC,01Feb18_Steve,2/1/2018,Steve,.,5.698
Unknown,NPOC,01Feb18_WestExt. ,2/1/2018,WestExt,.,17.91
Unknown,NPOC,01Feb18_WWTP,2/1/2018,WWTP,.,5.742
Unknown,NPOC,01Mar18_Dam,3/1/2018,Dam,.,5.924
Unknown,NPOC,01Mar18_Desoto,3/1/2018,Desoto,.,5.284
Unknown,NPOC,01Mar18_Disch,3/1/2018,Disch,.,6.233
Unknown,NPOC,01Mar18_Eudora,3/1/2018,Eudora,.,5.54
Unknown,NPOC,01Mar18_Steve,3/1/2018,Steve,.,5.558
Unknown,NPOC,01Mar18_WWTP,3/1/2018,WWTP,.,5.74
Unknown,NPOC,13Dec17_1600Rd,12/13/2017,1600Rd,.,6.011
Unknown,NPOC,13Dec17_8thStBoatRamp,12/13/2017,8thStBoatRamp,.,6.226
Unknown,NPOC,13Dec17_DesotoBoatRamp,12/13/2017,DesotoBoatRamp,.,6.118
Unknown,NPOC,13Dec17_EdwardsBr,12/13/2017,EdwardsBr,.,5.924
Unknown,NPOC,13Dec17_EudoraBr,12/13/2017,EudoraBr,.,4.626
Unknown,NPOC,13Dec17_LecompBr,12/13/2017,LecompBr,.,6.393
Unknown,NPOC,13Dec17_MassStBridge,12/13/2017,MassStBridge,.,6.138
Unknown,NPOC,13Dec17_MVDcreekBr,12/13/2017,MVDcreekBr,.,1.94
Unknown,NPOC,13Dec17_RiverfrontPark,12/13/2017,RiverfrontPark,.,6.224
Unknown,NPOC,13Dec17_StrangerCk,12/13/2017,StrangerCk,.,3.457
Unknown,NPOC,15Feb18_Dam,2/15/2018,Dam,.,5.674
Unknown,NPOC,15Feb18_Desoto,2/15/2018,Desoto,.,6.233
Unknown,NPOC,15Feb18_Disch,2/15/2018,Disch,.,36.376
Unknown,NPOC,15Feb18_Eudora,2/15/2018,Eudora,.,5.615
Unknown,NPOC,15Feb18_Steve,2/15/2018,Steve,.,5.556
Unknown,NPOC,15Feb18_WWTP,2/15/2018,WWTP,.,5.663
Unknown,NPOC,15Mar18_Site1,3/15/2018,Dam,.,6.569
Unknown,NPOC,15Mar18_Site10,3/15/2018,Site10,.,5.888
Unknown,NPOC,15Mar18_Site11,3/15/2018,Site11,.,6.403
Unknown,NPOC,15Mar18_Site12,3/15/2018,Desoto,.,6.593
Unknown,NPOC,15Mar18_Site2,3/15/2018,WWTP,.,7.512
Unknown,NPOC,15Mar18_Site3,3/15/2018,Disch,.,6.317
Unknown,NPOC,15Mar18_Site4,3/15/2018,Site4,.,6.859
Unknown,NPOC,15Mar18_Site5,3/15/2018,Site5,.,6.633
Unknown,NPOC,15Mar18_Site6,3/15/2018,Steve,.,6.82
Unknown,NPOC,15Mar18_Site7,3/15/2018,Site7,.,6.466
Unknown,NPOC,15Mar18_Site8,3/15/2018,Eudora,.,5.887
Unknown,NPOC,15Mar18_Site9,3/15/2018,Site9,.,6.716
Unknown,NPOC,17Apr18_Dam,4/17/2018,Dam,.,5.359
Unknown,NPOC,17Apr18_Desoto,4/17/2018,Desoto,.,5.545
Unknown,NPOC,17Apr18_Disch,4/17/2018,Disch,.,6.584
Unknown,NPOC,17Apr18_Steve,4/17/2018,Steve,.,5.654
Unknown,NPOC,17Apr18_WWTP,4/17/2018,WWTP,.,5.846
Unknown,NPOC,26Nov2017_site1,11/26/2017,site1,.,5.041
Unknown,NPOC,26Nov2017_site10,11/26/2017,site10,.,4.734
Unknown,NPOC,26Nov2017_site11,11/26/2017,site11,.,4.859
Unknown,NPOC,26Nov2017_site2,11/26/2017,WWTP,.,6.381
Unknown,NPOC,26Nov2017_site3,11/26/2017,Disch,.,5.099
Unknown,NPOC,26Nov2017_site4,11/26/2017,site4,.,5.265
Unknown,NPOC,26Nov2017_site5,11/26/2017,site5,.,5.361
Unknown,NPOC,26Nov2017_site6,11/26/2017,site6,.,5.33
Unknown,NPOC,26Nov2017_site7,11/26/2017,site7,.,4.92
Unknown,NPOC,26Nov2017_site8,11/26/2017,Eudora,.,5.078
Unknown,NPOC,26Nov2017_site9,11/26/2017,site9,.,5.135
Unknown,NPOC,27Mar18_Site1,3/27/2018,Dam,.,5.423
Unknown,NPOC,27Mar18_Site12,3/27/2018,Desoto,.,7.665
