col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49
ENCFF846DLR,bam,alignments,ENCSR972MUO,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,False,22/06/11,ENCODE,,,,1.0,,,50.0,,,,"ENCFF018NEO, ENCFF098VFT, ENCFF521VUV",2976491402.0,ENCODE Processing Pipeline,8e1c9067d47af90a2b0570f8839b98ea,,https://www.encodeproject.org/files/ENCFF846DLR/@@download/ENCFF846DLR.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,,
ENCFF911ZQM,bam,alignments,ENCSR972MUO,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,False,22/06/11,ENCODE,,,,2.0,,,50.0,,,,"ENCFF018NEO, ENCFF307HYZ, ENCFF533PES",3111713700.0,ENCODE Processing Pipeline,4b9217d154c290c030c8f3bfee6726f3,,https://www.encodeproject.org/files/ENCFF911ZQM/@@download/ENCFF911ZQM.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,,
ENCFF874RFY,bam,alignments,ENCSR087JEN,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,False,22/06/11,ENCODE,,,,1.0,,,50.0,,,,"ENCFF018NEO, ENCFF248LJY, ENCFF391TJE",2715110577.0,ENCODE Processing Pipeline,d6e90ee25f4e0c164ef29003b0149741,,https://www.encodeproject.org/files/ENCFF874RFY/@@download/ENCFF874RFY.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,"poor library complexity, severe bottlenecking",
ENCFF686DEV,bam,alignments,ENCSR087JEN,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,False,22/06/11,ENCODE,,,,2.0,,,50.0,,,,"ENCFF018NEO, ENCFF219CDV, ENCFF693KKN, ENCFF990VQL",2481495924.0,ENCODE Processing Pipeline,2c3bf5413530575e7b7fce2605fe4749,,https://www.encodeproject.org/files/ENCFF686DEV/@@download/ENCFF686DEV.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,"poor library complexity, severe bottlenecking",
ENCFF540HFT,bam,alignments,ENCSR066XXZ,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,False,29/06/10,ENCODE,,,,1.0,,,50.0,,,,"ENCFF002AHS, ENCFF018NEO",1241547090.0,ENCODE Processing Pipeline,cb6ab300b79224118abdd5a1d76f2e7b,,https://www.encodeproject.org/files/ENCFF540HFT/@@download/ENCFF540HFT.bam,mm10,,,released,,,"insufficient read depth, control insufficient read depth",
ENCFF562SMG,bam,alignments,ENCSR066XXZ,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,False,29/06/10,ENCODE,,,,2.0,,,50.0,,,,"ENCFF002AHT, ENCFF018NEO",1253959340.0,ENCODE Processing Pipeline,d025f4787834736ff6991b0de16dbee5,,https://www.encodeproject.org/files/ENCFF562SMG/@@download/ENCFF562SMG.bam,mm10,,,released,,,"insufficient read depth, control insufficient read depth",
ENCFF815MRR,bam,alignments,ENCSR227UTY,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,False,29/06/10,ENCODE,,,,1.0,,,36.0,,,,"ENCFF002AHP, ENCFF018NEO",1143467576.0,ENCODE Processing Pipeline,159639ad676080a2ecd22ee624bed065,,https://www.encodeproject.org/files/ENCFF815MRR/@@download/ENCFF815MRR.bam,mm10,,,released,low read length,,"insufficient read depth, control insufficient read depth",
ENCFF851MHM,bam,alignments,ENCSR227UTY,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,False,29/06/10,ENCODE,,,,2.0,,,36.0,,,,"ENCFF002AHQ, ENCFF018NEO",1064276749.0,ENCODE Processing Pipeline,f016c85453e255e3ccd21fa32bb7087f,,https://www.encodeproject.org/files/ENCFF851MHM/@@download/ENCFF851MHM.bam,mm10,,,released,low read length,,"control insufficient read depth, insufficient read depth",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
