col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Adair,"1,486",0,0,"1,486",0,0.0,0.00%,19_001,19.0,2.0,4.0,,
Adams,831,1,120,831,0,0.0,-100.00%,19_002,19.0,2.0,4.0,,
Allamakee,"2,857",0,0,"2,857",*,,,19_003,19.0,2.0,4.0,,
Appanoose,"2,496",0,0,"2,496",0,0.0,0.00%,19_004,19.0,2.0,4.0,,
Audubon,"1,354",1,74,"1,354",0,0.0,-100.00%,19_005,19.0,2.0,4.0,,
Benton,"5,423",1,18,"5,423",0,0.0,-100.00%,19_006,19.0,2.0,4.0,,
Black Hawk,"22,716",5,22,"22,716",5,22.0,0.00%,19_007,19.0,2.0,4.0,,
Boone,"4,969",2,40,"4,969",*,,,19_008,19.0,2.0,4.0,,
Bremer,"4,240",0,0,"4,240",0,0.0,0.00%,19_009,19.0,2.0,4.0,,
Buchanan,"4,562",0,0,"4,562",0,0.0,0.00%,19_010,19.0,2.0,4.0,,
Buena Vista,"3,985",1,25,"3,985",*,,,19_011,19.0,2.0,4.0,,
Butler,"2,820",1,35,"2,820",*,,,19_012,19.0,2.0,4.0,,
Calhoun,"1,920",0,0,"1,920",*,,,19_013,19.0,2.0,4.0,,
Carroll,"4,348",0,0,"4,348",0,0.0,0.00%,19_014,19.0,2.0,4.0,,
Cass,"2,631",1,38,"2,631",0,0.0,-100.00%,19_015,19.0,2.0,4.0,,
Cedar,"3,491",0,0,"3,491",0,0.0,0.00%,19_016,19.0,2.0,4.0,,
Cerro Gordo,"8,458",2,24,"8,458",*,,,19_017,19.0,2.0,4.0,,
Cherokee,"2,398",0,0,"2,398",0,0.0,0.00%,19_018,19.0,2.0,4.0,,
Chickasaw,"2,591",0,0,"2,591",*,,,19_019,19.0,2.0,4.0,,
Clarke,"1,819",0,0,"1,819",0,0.0,0.00%,19_020,19.0,2.0,4.0,,
Clay,"3,267",0,0,"3,267",*,,,19_021,19.0,2.0,4.0,,
Clayton,"3,602",2,56,"3,602",0,0.0,-100.00%,19_022,19.0,2.0,4.0,,
Clinton,"9,867",1,10,"9,867",*,,,19_023,19.0,2.0,4.0,,
Crawford,"3,335",1,30,"3,335",0,0.0,-100.00%,19_024,19.0,2.0,4.0,,
Dallas,"8,913",2,22,"8,913",*,,,19_025,19.0,2.0,4.0,,
Davis,"1,803",0,0,"1,803",0,0.0,0.00%,19_026,19.0,2.0,4.0,,
Decatur,"1,516",0,0,"1,516",*,,,19_027,19.0,2.0,4.0,,
Delaware,"4,038",0,0,"4,038",*,,,19_028,19.0,2.0,4.0,,
Des Moines,"7,893",2,25,"7,893",*,,,19_029,19.0,2.0,4.0,,
