col0,col1,col2
1,19,1
1,43,2
1,80,3
1,54,4
1,82,5
2,16,1
2,37,2
2,27,3
2,38,4
2,23,5
2,8,6
3,33,1
3,70,2
3,88,3
4,91,1
4,25,2
4,73,3
4,84,4
4,10,5
4,61,6
5,1,1
5,92,2
5,57,3
6,67,1
6,93,2
6,88,3
6,78,4
6,31,5
7,72,1
7,30,2
7,61,3
8,62,1
8,38,2
8,63,3
8,76,4
8,99,5
9,6,1
9,95,2
9,46,3
9,85,4
9,37,5
9,10,6
9,49,7
10,48,1
10,98,2
10,9,3
10,85,4
10,31,5
10,26,6
10,93,7
11,16,1
11,92,2
12,13,1
12,45,2
12,14,3
12,51,4
13,85,1
13,66,2
13,41,3
13,24,4
13,51,5
13,83,6
14,46,1
14,27,2
14,5,3
15,61,1
15,37,2
15,21,3
15,81,4
15,8,5
15,56,6
15,84,7
16,65,1
16,13,2
16,60,3
17,24,1
17,21,2
17,4,3
17,61,4
17,33,5
18,41,1
18,46,2
18,73,3
18,36,4
18,91,5
18,79,6
18,85,7
19,12,1
19,53,2
19,83,3
20,67,1
20,72,2
20,29,3
20,93,4
20,40,5
20,82,6
20,32,7
21,47,1
21,72,2
21,39,3
21,32,4
21,75,5
21,54,6
22,31,1
22,84,2
22,60,3
22,75,4
22,87,5
23,45,1
23,61,2
23,20,3
23,95,4
23,94,5
23,57,6
23,83,7
23,96,8
23,80,9
23,91,10
24,95,1
24,77,2
24,53,3
24,60,4
25,74,1
25,10,2
25,49,3
26,80,1
26,21,2
26,34,3
26,5,4
26,25,5
26,79,6
27,29,1
27,58,2
28,18,1
28,27,2
28,13,3
28,91,4
28,58,5
28,43,6
28,65,7
28,55,8
29,4,1
29,52,2
30,96,1
31,91,1
31,69,2
31,40,3
31,25,4
31,79,5
32,10,1
32,41,2
33,33,1
33,95,2
33,10,3
33,11,4
33,24,5
33,63,6
34,81,1
34,40,2
34,57,3
35,31,1
35,10,2
35,20,3
35,34,4
35,60,5
35,19,6
35,38,7
36,56,1
36,98,2
37,4,1
37,53,2
37,39,3
37,29,4
37,5,5
37,35,6
38,11,1
38,99,2
38,84,3
39,84,1
39,43,2
39,17,3
40,56,1
40,25,2
40,44,3
40,43,4
40,14,5
40,22,6
40,50,7
41,90,1
41,65,2
41,63,3
41,72,4
42,99,1
42,60,2
42,96,3
43,50,1
43,18,2
44,54,1
44,6,2
45,92,1
45,63,2
45,56,3
45,54,4
45,17,5
45,51,6
46,74,1
46,84,2
46,13,3
46,31,4
46,2,5
46,9,6
46,39,7
46,79,8
46,7,9
47,81,1
47,71,2
47,9,3
47,28,4
