col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
100000001,110N05711,VA-7_EASTBOUND,38.0,100000001,100000002,1,,"LINESTRING (-77.3715 39.0144,-77.3709 39.0141)",1,,0.03862,,,,,
100000002,110-05710,VA-7_EASTBOUND,39.0,100000002,100000003,1,,"LINESTRING (-77.3709 39.0141,-77.3684 39.0127)",1,,0.164895,,,,,
100000003,110N05710,VA-7_EASTBOUND,40.0,100000003,100000004,1,,"LINESTRING (-77.3684 39.0127,-77.3605 39.0086)",1,,0.512158,,,,,
100000004,110-05709,VA-7_EASTBOUND,41.0,100000004,100000005,1,,"LINESTRING (-77.3605 39.0086,-77.3502 39.0028)",1,,0.682589,,,,,
100000005,110-05708,VA-7_EASTBOUND,42.0,100000005,100000006,1,,"LINESTRING (-77.3502 39.0028,-77.3455 39.0005)",1,,0.2967309999999999,,,,,
100000006,110N05708,VA-7_EASTBOUND,42.1,100000006,100000007,1,,"LINESTRING (-77.3455 39.0005,-77.3454 39.0005)",1,,0.006842,,,,,
100000007,110-05707,VA-7_EASTBOUND,43.0,100000007,100000008,1,,"LINESTRING (-77.3454 39.0005,-77.3365 38.9946)",1,,0.6301680000000001,,,,,
100000008,110N05707,VA-7_EASTBOUND,43.1,100000008,100000009,1,,"LINESTRING (-77.3365 38.9946,-77.3364 38.9945)",1,,0.009041,,,,,
100000009,110-05706,VA-7_EASTBOUND,44.0,100000009,100000010,1,,"LINESTRING (-77.3364 38.9945,-77.3157 38.9778)",1,,1.61683,,,,,
100000010,110N05706,VA-7_EASTBOUND,45.0,100000010,100000011,1,,"LINESTRING (-77.3157 38.9778,-77.3147 38.9773)",1,,0.066453,,,,,
100000011,110-05705,VA-7_EASTBOUND,46.0,100000011,100000012,1,,"LINESTRING (-77.3147 38.9773,-77.3039 38.9738)",1,,0.629957,,,,,
100000012,110-05704,VA-7_EASTBOUND,47.0,100000012,100000013,1,,"LINESTRING (-77.3039 38.9738,-77.2915 38.9672)",1,,0.8116979999999999,,,,,
100000013,110-05703,VA-7_EASTBOUND,48.0,100000013,100000014,1,,"LINESTRING (-77.2915 38.9672,-77.2769 38.9597)",1,,0.95352,,,,,
100000014,110-05702,VA-7_EASTBOUND,49.0,100000014,100000015,1,,"LINESTRING (-77.2769 38.9597,-77.2747 38.958)",1,,0.165908,,,,,
100000015,110-05701,VA-7_EASTBOUND,50.0,100000015,100000016,1,,"LINESTRING (-77.2747 38.958,-77.2645 38.9514)",1,,0.717201,,,,,
100000016,110-05700,VA-7_EASTBOUND,51.0,100000016,100000017,1,,"LINESTRING (-77.2645 38.9514,-77.2552 38.9428)",1,,0.77588,,,,,
100000017,110-05699,VA-7_EASTBOUND,52.0,100000017,100000018,1,,"LINESTRING (-77.2552 38.9428,-77.2477 38.9351)",1,,0.666166,,,,,
100000018,110N05699,VA-7_EASTBOUND,53.0,100000018,100000019,1,,"LINESTRING (-77.2477 38.9351,-77.2435 38.9307)",1,,0.376643,,,,,
100000019,110-05698,VA-7_EASTBOUND,54.0,100000019,100000020,1,,"LINESTRING (-77.2435 38.9307,-77.2369 38.9238)",1,,0.597781,,,,,
100000020,110N05698,VA-7_EASTBOUND,55.0,100000020,100000021,1,,"LINESTRING (-77.2369 38.9238,-77.2368 38.9237)",1,,0.0090599999999999,,,,,
100000021,110-05697,VA-7_EASTBOUND,56.0,100000021,100000022,1,,"LINESTRING (-77.2368 38.9237,-77.2326 38.9196)",1,,0.36355,,,,,
100000022,110N05697,VA-7_EASTBOUND,57.0,100000022,100000023,1,,"LINESTRING (-77.2326 38.9196,-77.2302 38.9178)",1,,0.181803,,,,,
100000023,110-05696,VA-7_EASTBOUND,58.0,100000023,100000024,1,,"LINESTRING (-77.2302 38.9178,-77.227 38.9158)",1,,0.2224179999999999,,,,,
100000024,110N05696,VA-7_EASTBOUND,59.0,100000024,100000025,1,,"LINESTRING (-77.227 38.9158,-77.2262 38.9152)",1,,0.057548,,,,,
100000025,110-05695,VA-7_EASTBOUND,60.0,100000025,100000026,1,,"LINESTRING (-77.2262 38.9152,-77.2204 38.9119)",1,,0.38845,,,,,
100000026,110N05695,VA-7_EASTBOUND,61.0,100000026,100000027,1,,"LINESTRING (-77.2204 38.9119,-77.2152 38.9089)",1,,0.347257,,,,,
100000027,110-05694,VA-7_EASTBOUND,62.0,100000027,100000028,1,,"LINESTRING (-77.2152 38.9089,-77.2149 38.9088)",1,,0.016225,,,,,
100000028,110N05694,VA-7_EASTBOUND,62.1,100000028,100000029,1,,"LINESTRING (-77.2149 38.9088,-77.2146 38.9086)",1,,0.020786,,,,,
100000029,110-05693,VA-7_EASTBOUND,63.0,100000029,100000030,1,,"LINESTRING (-77.2146 38.9086,-77.1997 38.9006)",1,,1.00031,,,,,
100000030,110-05692,VA-7_EASTBOUND,64.0,100000030,100000031,1,,"LINESTRING (-77.1997 38.9006,-77.1996 38.9005)",1,,0.0074819999999999,,,,,
100000031,110N05692,VA-7_EASTBOUND,65.0,100000031,100000032,1,,"LINESTRING (-77.1996 38.9005,-77.1943 38.8971)",1,,0.368621,,,,,
100000032,110P05692,VA-7_WESTBOUND,22.0,100000033,100000034,1,,"LINESTRING (-77.1943 38.8973,-77.1992 38.9005)",1,,0.342733,,,,,
100000033,110+05693,VA-7_WESTBOUND,23.0,100000034,100000035,1,,"LINESTRING (-77.1992 38.9005,-77.1996 38.9007)",1,,0.0275279999999999,,,,,
100000034,110+05694,VA-7_WESTBOUND,24.0,100000035,100000036,1,,"LINESTRING (-77.1996 38.9007,-77.2145 38.9088)",1,,1.00352,,,,,
100000035,110P05694,VA-7_WESTBOUND,24.1,100000036,100000037,1,,"LINESTRING (-77.2145 38.9088,-77.2148 38.9089)",1,,0.019618,,,,,
100000036,110+05695,VA-7_WESTBOUND,25.0,100000037,100000038,1,,"LINESTRING (-77.2148 38.9089,-77.2154 38.9093)",1,,0.037918,,,,,
100000037,110P05695,VA-7_WESTBOUND,26.0,100000038,100000039,1,,"LINESTRING (-77.2154 38.9093,-77.2214 38.9125)",1,,0.391445,,,,,
