col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,administrator,1,,,,,Yes,[],[],7,0,0.0,45,3,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,blue-copper-sp100,1259953,Science,Teacher,11.0,Grade 8,No,[],[],7,0,0.0,45,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,brown-peacock-sp100,1260193,nemali,nemali,9.0,Grade 8,Yes,[],[],7,4,57.14285714285714,45,15,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,brown-ostrich-sp100,1260189,,,,,Yes,[],[],7,4,57.14285714285714,45,15,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,black-sparrow-mz17,17912,,,,,Yes,[],[],7,1,14.285714285714285,45,3,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,black-owl-mz17,17896,,,,,Yes,[],[],7,1,14.285714285714285,45,3,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,black-sheep-mz17,17910,,,,,Yes,[],[],7,1,14.285714285714285,45,3,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,black-panda-mz17,17897,,,,,Yes,[],[],7,1,14.285714285714285,45,3,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,black-seal-mz17,17908,,,,,Yes,[],[],7,0,0.0,45,1,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz17,GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,2031017,[u'Basic Astronomy'],ast-unit3-solar-system,black-octopus-mz17,17894,,,,,Yes,[],[],7,0,0.0,45,1,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
