col0,col1,col2,col3,col4,col5
Damping ,G,double,0.99,0.0,neato only
K ,GC,double,0.3,0,sfdp fdp only
URL ,ENGC,escString ,<none>,,svg postscript map only
arrowhead ,E,arrowType ,normal,,
arrowsize ,E,double,1.0,0.0,
arrowtail ,E,arrowType ,normal,,
aspect ,G,aspectType ,,,dot only
bb ,G,rect ,,,write only
bgcolor ,GC,color ,<none>,,
center ,G,bool ,false,,
charset ,G,string,"""UTF-8""",,
clusterrank ,G,clusterMode ,local,,dot only
color ,ENC,color colorList ,black,,
colorscheme ,ENCG,string,"""""",,
comment ,ENG,string,"""""",,
compound ,G,bool ,false,,dot only
concentrate ,G,bool ,false,,
constraint ,E,bool ,true,,dot only
decorate ,E,bool ,false,,
defaultdist ,G,double,1+(avg. len)*sqrt(|V|),epsilon,neato only
dim ,G,int,2,2,sfdp; fdp; neato only
dimen ,G,int,2,2,sfdp; fdp; neato only
dir ,E,dirType ,forward(directed) none(undirected),,
diredgeconstraints ,G,string bool ,false,,neato only
distortion ,N,double,0.0,-100.0,
dpi ,G,double,96.0 0.0,,"svg, bitmap output only"
edgeURL ,E,escString ,"""""",,"svg, map only"
edgehref ,E,escString ,"""""",,svg; map only
edgetarget ,E,escString ,<none>,,svg; map only
edgetooltip ,E,escString ,"""""",,svg; cmap only
epsilon ,G,double,.0001 * ,,
esep ,G,double pointf ,3,,not dot
fillcolor ,NC,color ,lightgrey(nodes) black(clusters),,
fixedsize ,N,bool ,false,,
fontcolor ,ENGC,color ,black,,
fontname ,ENGC,string,"""Times-Roman""",,
fontnames ,G,string,"""""",,svg only
fontpath ,G,string,system-dependent,,
fontsize ,ENGC,double,14.0,1.0,
group ,N,string,"""""",,dot only
headURL ,E,escString ,"""""",,"svg, map only"
headclip ,E,bool ,true,,
headhref ,E,escString ,"""""",,"svg, map only"
headlabel ,E,lblString ,"""""",,
headport ,E,portPos ,center,,
headtarget ,E,escString ,<none>,,"svg, map only"
headtooltip ,E,escString ,"""""",,"svg, cmap only"
height ,N,double,0.5,0.02,
href ,GCNE,escString ,"""""",,"svg, postscript, map only"
id ,GNE,escString ,"""""",,"svg, postscript, map only"
image ,N,string,"""""",,
imagescale ,N,bool string,false,,
label ,ENGC,lblString ,"""'N"" (nodes) """" (otherwise)",,
labelURL ,E,escString ,"""""",,"svg, map only"
label_scheme ,G,int,0,0,sfdp only
labelangle ,E,double,-25.0,-180.0,
labeldistance ,E,double,1.0,0.0,
labelfloat ,E,bool ,false,,
labelfontcolor ,E,color ,black,,
labelfontname ,E,string,"""Times-Roman""",,
labelfontsize ,E,double,14.0,1.0,
labelhref ,E,escString ,"""""",,"svg, map only"
labeljust ,GC,string,"""c""",,
labelloc ,NGC,string,"""t""(clusters) ""b""(root graphs)""c""(nodes)",,
labeltarget ,E,escString ,<none>,,"svg, map only"
labeltooltip ,E,escString ,"""""",,"svg, cmap only"
landscape ,G,bool ,false,,
layer ,EN,layerRange ,"""""",,
layers ,G,layerList ,"""""",,
layersep ,G,string,""" :'t""",,
layout ,G,string,"""""",,
len ,E,double,1.0(neato) 0.3(fdp),,"fdp, neato only"
levels ,G,int,MAXINT,0.0,sfdp only
levelsgap ,G,double,0.0,,neato only
lhead ,E,string,"""""",,dot only
lheight ,GC,double,,,write only
lp ,EGC,point ,,,write only
ltail ,E,string,"""""",,dot only
lwidth ,GC,double,,,write only
margin ,NG,double pointf ,<device-dependent>,,
maxiter ,G,int,100 * ,,
mclimit ,G,double,1.0,,dot only
mindist ,G,double,1.0,0.0,circo only
minlen ,E,int,1,0,dot only
mode ,G,string,major spring,,"sfdp, neato only"
model ,G,string,shortpath,,neato only
mosek ,G,bool ,false,,neato only
nodesep ,G,double,0.25,0.02,dot only
nojustify ,GCNE,bool ,false,,
normalize ,G,bool ,false,,not dot
nslimit ,G,double,,,dot only
ordering ,GN,string,"""""",,dot only
orientation ,N,double,0.0,360.0,
orientation ,G,string,"""""",,
