col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83
comp_93,s_08,D_14,A_19,Jaiswal,1996,Behavioural effects of prenatal and posnatal,J002,rats,Charles_Foster,calorie,-,50,,no,no,,,Brook_BondLipton,50%_Brook_BondLipton,1,22,pre,,,,no,,,,8.0,yes,yes,both,,,,,,,,,,,,,,,control,,Brook_Bondlipton,0,,90,ANXIETY,EXPLORATION,Open_Field,5,rearings,,,,,,,,,,,,,,,,,,,,,,,,,
comp_325,s_30,D_48,A_79,Garg,2012,Early postnatal caloric restriction protects,J046,rats,Sprague-Dawley,calorie,-,50,,yes,no,yes,yes,Garg_rat_chow,Garg_rat_chow,0,22,pre,,,,yes,single,22.0,12.0,6.0,yes,yes,m,,784.3,21.0,841.2,22.2,15.0,16.0,,,,,,,,control,yes,Garg_rat_chow,21,yes,304,ACTIVITY,EXPLORATION,Photocell_device,10,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
comp_328,s_30,D_49,A_80,Garg,2012,Early postnatal caloric restriction protects,J046,rats,Sprague-Dawley,calorie,-,50,,yes,no,yes,yes,Garg_rat_chow,Garg_rat_chow,22,43,lact,,,,yes,single,22.0,12.0,6.0,yes,yes,m,,784.3,21.0,663.5,14.4,15.0,15.0,,,,,,,,control,yes,Garg_rat_chow,21,yes,304,ACTIVITY,EXPLORATION,Photocell_device,10,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
comp_331,s_30,D_50,A_81,Garg,2012,Early postnatal caloric restriction protects,J046,rats,Sprague-Dawley,calorie,-,50,,yes,no,yes,yes,Garg_rat_chow,Garg_rat_chow,0,43,pre+lact,,,,yes,single,22.0,12.0,6.0,yes,yes,m,,784.3,21.0,664.1,11.9,15.0,15.0,,,,,,,,control,yes,Garg_rat_chow,21,yes,304,ACTIVITY,EXPLORATION,Photocell_device,10,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
comp_333,s_31,D_51,A_82,Gilbert,2010,Moderate developmental undernutrition: impact on,J018,rats,Sprague-Dawley,calorie,-,50,,no,no,yes,yes,Bioserv_food_pellets,Bioserv_food_pellets,21,43,lact,,,,yes,,22.0,12.0,16.0,,yes,m,pair,628.23,8.989,574.29,6.742,24.0,17.0,150.0,,,,,,,control,yes,Purina_Chow_5001,21,yes,90,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
comp_335,s_31,D_52,A_83,Gilbert,2010,Moderate developmental undernutrition: impact on,J018,rats,Sprague-Dawley,calorie,-,50,,no,no,yes,yes,Bioserv_food_pellets,Bioserv_food_pellets,3,21,pre,,,,yes,,22.0,12.0,8.0,,yes,m,pair,628.23,8.989,599.0,6.742,24.0,17.0,150.0,,,,,,,control,yes,Purina_Chow_5001,21,yes,90,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
comp_337,s_31,D_53,A_84,Gilbert,2010,Moderate developmental undernutrition: impact on,J018,rats,Sprague-Dawley,calorie,-,50,,no,no,yes,yes,Bioserv_food_pellets,Bioserv_food_pellets,3,43,pre+lact,,,,yes,,22.0,12.0,16.0,,yes,m,pair,628.23,8.989,556.31,8.988,24.0,17.0,150.0,,,,,,,control,yes,Purina_Chow_5001,21,yes,90,ACTIVITY,EXPLORATION,Photocell_device,30,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
comp_523,s_54,D_96,A_138,Smart,1974,Activity and exploratory behavior of ,J016,rats,Lister,calorie,-,50,,no,,yes,no,Oxoid_breeding_diet_London,Oxoid_breeding_diet_London,0,43,pre+lact,,10.0,11.0,no,single,,12.0,,no,no,m,group,360.0,40.0,264.0,19.0,15.0,14.0,110.0,6.1,0.8,5.4,0.6,69.0,80.0,control,yes,Oxoid_breeding_diet_London,25,yes,105,EXPLORATION,EXPLORATION,Open_Field,10,rearing_frequency,,,,,,,,,,,,,,,,,,,,,,,,,
comp_616,s_66,D_123,A_164,Kumon,2010,Maternal dietary restriction during lactation,J057,mice,C57BL/6J,calorie,-,70,,no,yes,yes,no,CE-2_Clea_Japan,CE-2_Clea_Japan,0,43,pre+lact,56.0,4.0,6.0,no,single,,12.0,5.0,yes,no,m,,8.53,0.59,5.75,0.2,17.0,17.0,21.0,,,,,,,control,yes,CE-2_Clea_Japan,22,yes,21,ACTIVITY,EXPLORATION,Open_Field,5,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
comp_681,s_78,D_141,A_185,Fernandez,1997,Oil enriched diets and behavioural,J009,rats,Wistar,calorie,-,50,,yes,yes,yes,no,A04_Panlab_Barcelona,A04_Panlab_Barcelona,0,42,pre+lact,72.0,12.0,10.0,no,single,23.0,12.0,8.0,yes,no,m,,356.2,3.8,272.4,2.3,15.0,14.0,90.0,5.88,0.07,4.89,0.06,15.0,42.0,control,yes,A04_Panlab_Barcelona,21,yes,120,EXPLORATION,EXPLORATION,Open_Field,3,rearing,,,,,,,,,,,,,,,,,,,,,,,,,
