col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39
cus_ImVzJQmSlYHjZL,2021-01-24 20:21:16,0,"097 Sanchez Islands Apt. 393
Port Tammy, ND 59217",,,,41942,,0,,2021-01-18 12:35:30,,,False,,"4217 Burton Brooks
Robinville, KS 17988",8311D827,,,False,True,Norma Fisher,,"097 Sanchez Islands Apt. 393
Port Tammy, ND 59217","08913 Charlene Flat
Joshuaburgh, NJ 52496",,,80118,"4666 Frank Crossroad Apt. 450
South Robertfort, PA 94504",,Norma Fisher,,,,none,,,,
cus_IzaB1l1LWzI6DZ,2021-02-22 14:21:04,0,"714 Mann Plaza Suite 839
Seanfurt, OK 32234",,,,00945,,0,,2021-02-22 09:48:04,,,False,,"24000 Erin Point Suite 590
Josephmouth, NE 49318",79EDFB49,,,False,True,Jorge Sullivan,,"714 Mann Plaza Suite 839
Seanfurt, OK 32234","7142 Wilson Drives
Melissaton, IL 89760",,,77360,"6097 Ellis Courts
Osbornetown, PA 81424",,Jorge Sullivan,,,,none,,,,
cus_J2eHEreSmx1eAe,2021-03-02 20:21:09,0,"09471 Erika Curve
North Megan, UT 71358",,,,28488,,0,,2021-03-02 14:13:25,,,False,,"69402 Joseph Junction
Jennifermouth, RI 05175",B3530880,,,False,True,Elizabeth Woods,,"09471 Erika Curve
North Megan, UT 71358","9097 Bowman Landing Apt. 369
Alanberg, MA 44739",,,31115,"85367 Nicole Ridge Suite 951
Kristinaberg, MS 39010",,Elizabeth Woods,,,,none,,,,
cus_IxqxnofljLKmqa,2021-02-17 20:21:10,0,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",,,,02374,,0,,2021-02-17 18:59:27,,,False,,"94568 Kelly Neck
North Kyle, NC 96008",612C196A,,,False,True,Susan Wagner,,"339 Riley Mission Suite 515
South Brendamouth, ID 32356","9004 Edward Prairie
Michaelside, LA 15560",,,03185,"PSC 1830, Box 6753
APO AA 47235",,Susan Wagner,,,,none,,,,
cus_J66nsZHMTFup1P,2021-03-11 20:21:13,0,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",,,,94522,,0,,2021-03-11 19:53:45,,,False,,"4611 Wells Ville Suite 171
Simmonsport, WA 90561",446D4207,,,False,True,Peter Montgomery,,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189","42814 Houston Hills
Rodriguezside, NJ 62629",,,86613,"07408 Jerry Trail
Hunterville, NE 74689",,Peter Montgomery,,,,none,,,,
cus_IvSD6mXKJ1pZeW,2021-02-11 14:21:12,0,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",,,,99428,,0,,2021-02-11 09:18:04,,,False,,"PSC 2961, Box 1133
APO AE 50939",89291D20,,,False,True,Theodore Mcgrath,,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961","71760 Rogers Spur Apt. 296
North Lindseyborough, IN 08516",,,00532,"61162 Lacey Meadows
Johnsonmouth, KS 10795",,Theodore Mcgrath,,,,none,,,,
cus_IrpAwGHpPSwzWv,2021-02-01 20:21:17,0,"87091 Gonzalez Knolls
Masseyshire, UT 88665",,,,00810,,0,,2021-02-01 16:45:09,,,False,,"847 Kramer Station Apt. 615
West Brenda, NE 25659",F0F08B37,,,False,True,Stephanie Collins,,"87091 Gonzalez Knolls
Masseyshire, UT 88665","8847 Kramer Station
South Christopher, KS 77208",,,97591,"0552 Maria Fort
Chadberg, AL 27343",,Stephanie Collins,,,,none,,,,
cus_IpSJ4exzUAFTHX,2021-01-26 14:21:03,0,"225 Wilson Mills
North Thomas, OK 67164",,,,89074,,0,,2021-01-26 08:59:52,,,False,,"087 David Locks
Jaredton, IL 82213",B761C599,,,False,True,Stephanie Sutton,,"225 Wilson Mills
North Thomas, OK 67164","51108 Goodwin Flats Apt. 764
Lake Bobby, IL 82213",,,24352,"045 Sarah Fort
East Shawn, MI 93231",,Stephanie Sutton,,,,none,,,,
cus_IvcMWh1c3qNhie,2021-02-11 20:22:51,0,"PSC 5642, Box 8071
APO AA 97365",,,,69752,,0,,2021-02-11 19:46:48,,,False,,"6582 Vanessa Oval
New Richard, NE 68819",08D6093C,,,False,True,Brian Hamilton,,"PSC 5642, Box 8071
APO AA 97365","6582 Vanessa Oval
New Richard, NE 68819",,,40142,"USNS Johnson
FPO AE 47980",,Brian Hamilton,,,,none,,,,
cus_J2lfqeIO1HDfEy,2021-03-03 08:21:17,0,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",,,,80725,,0,,2021-03-02 21:51:56,,,False,,"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",934E47FE,,,False,True,Susan Levy,,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742","7389 Alec Squares Suite 508
Port Jonathan, FL 50177",,,66935,"8529 Curtis Prairie Suite 262
Port Jeffrey, IA 31520",,Susan Levy,,,,none,,,,
