col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
2021,136,W,1,R1W1,,1276,1411,1,16,Michigan,TX Southern
2021,136,W,1,R1W2,,1104,1233,2,15,Alabama,Iona
2021,136,W,1,R1W3,,1400,1101,3,14,Texas,Abilene Chr
2021,136,W,1,R1W4,,1422,1199,13,4,UNC Greensboro,Florida St
2021,136,W,1,R1W5,,1160,1207,5,12,Colorado,Georgetown
2021,136,W,1,R1W6,,1140,1277,6,11,BYU,Michigan St
2021,136,W,1,R1W6,,1140,1417,6,11,BYU,UCLA
2021,136,W,1,R1W7,,1268,1163,10,7,Maryland,Connecticut
2021,136,W,1,R1W8,,1382,1261,9,8,St Bonaventure,LSU
2021,136,X,1,R1X2,,1234,1213,2,15,Iowa,Grand Canyon
2021,136,X,1,R1X3,,1242,1186,3,14,Kansas,E Washington
2021,136,X,1,R1X4,,1438,1325,4,13,Virginia,Ohio
2021,136,X,1,R1X5,,1166,1364,5,12,Creighton,UC Santa Barbara
2021,136,X,1,R1X6,,1179,1425,11,6,Drake,USC
2021,136,X,1,R1X7,,1332,1433,7,10,Oregon,VCU
2021,136,X,1,R1X8,,1328,1281,8,9,Oklahoma,Missouri
2021,136,Y,1,R1Y1,,1228,1180,1,16,Illinois,Drexel
2021,136,Y,1,R1Y2,,1222,1156,2,15,Houston,Cleveland St
2021,136,Y,1,R1Y3,,1452,1287,3,14,West Virginia,Morehead St
2021,136,Y,1,R1Y4,,1251,1329,13,4,Liberty,Oklahoma St
2021,136,Y,1,R1Y5,,1333,1397,12,5,Oregon St,Tennessee
2021,136,Y,1,R1Y6,,1393,1361,11,6,Syracuse,San Diego St
2021,136,Y,1,R1Y7,,1353,1155,10,7,Rutgers,Clemson
2021,136,Y,1,R1Y8,,1260,1210,8,9,Loyola-Chicago,Georgia Tech
2021,136,Z,1,R1Z1,,1124,1216,1,16,Baylor,Hartford
2021,136,Z,1,R1Z2,,1326,1331,2,15,Ohio St,Oral Roberts
2021,136,Z,1,R1Z3,,1116,1159,3,14,Arkansas,Colgate
2021,136,Z,1,R1Z4,,1317,1345,13,4,North Texas,Purdue
2021,136,Z,1,R1Z5,,1457,1437,12,5,Winthrop,Villanova
2021,136,Z,1,R1Z6,,1429,1403,11,6,Utah St,Texas Tech
2021,136,Z,1,R1Z7,,1196,1439,7,10,Florida,Virginia Tech
2021,136,Z,1,R1Z8,,1314,1458,8,9,North Carolina,Wisconsin
