col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65
a1xdxu43rjy8x7,54481,Submitted,4004.0,A1XDXU43RJY8X7,204.126.138.241/32,,0,2015-08-12T19:23:24+0000,,,2015-08-12T19:26:56+0000,,,,,,,24,,270415,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
aeloybhvzfdw9,54491,Submitted,4006.0,AELOYBHVZFDW9,73.46.73.170/32,,0,2015-08-12T19:24:28+0000,,,2015-08-12T19:31:29+0000,,,,,,,3,,270415,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
ap5zzisdsv0g0,54493,Submitted,4016.0,AP5ZZISDSV0G0,174.48.115.24/32,,0,2015-08-12T19:39:54+0000,,,2015-08-12T19:49:23+0000,,,,,,,7,,270415,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
a2wl2jc37be2qt,54483,Submitted,4012.0,A2WL2JC37BE2QT,50.105.245.14/32,,0,2015-08-12T19:29:07+0000,,,2015-08-12T19:35:09+0000,,,,,,,11,,270415,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
a1zdumham754ij,54492,Submitted,4010.0,A1ZDUMHAM754IJ,98.234.155.139/32,,0,2015-08-12T19:25:08+0000,,,2015-08-12T19:32:47+0000,,,,,,,17,,270415,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
a1tlnlb9d87h6,54484,Submitted,4008.0,A1TLNLB9D87H6,71.112.139.21/32,,0,2015-08-12T19:22:59+0000,,,2015-08-12T19:30:10+0000,,,,,,,12,,270415,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
a2qcbyreduoiwv,54485,Submitted,4007.0,A2QCBYREDUOIWV,172.12.219.53/32,,0,2015-08-12T19:23:05+0000,,,2015-08-12T19:29:51+0000,,,,,,,14,,270415,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
a38vmtks30tqzb,54488,Submitted,4005.0,A38VMTKS30TQZB,69.197.108.78/32,,0,2015-08-12T19:23:04+0000,,,2015-08-12T19:27:03+0000,,,,,,,29,,270415,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
a2416iyi3fqmag,54482,Submitted,4003.0,A2416IYI3FQMAG,71.10.50.245/32,,0,2015-08-12T19:23:06+0000,,,2015-08-12T19:26:20+0000,,,,,,,12,,270415,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
a3bl2zeodd79az,54487,Submitted,4002.0,A3BL2ZEODD79AZ,108.59.48.2/32,,0,2015-08-12T19:24:20+0000,,,2015-08-12T19:26:11+0000,,,,,,,14,,270415,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
,54490,Abandoned,,,,,0,,,,,,,,,,,0,,270415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54489,Returned,,,,,0,2015-08-12T19:23:01+0000,,,,,,,,,,0,,270415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54486,Returned,,,,,0,2015-08-12T19:23:01+0000,,,,,,,,,,0,,270415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
