col0,col1,col2
hybrid-workflow-messages.hybrid.workflow.error.invalid.destination,Invalid cloud-destination is set in process: {0}, 
hybrid-workflow-messages.hybrid.workflow.error.missing.package,Process does not have a package set, 
hybrid-workflow-messages.hybrid.workflow.error.missing.content,At least one content item is required to start a Cloud workflow, 
hybrid-workflow-messages.hybrid.workflow.disabled,Hybrid workflow functionality is disabled or sync is not enabled, 
hybrid-workflow-messages.hybrid.workflow.error.unsync.not.allowed,"Removing sync-set is not allowed, a hybrid workflow is active for this sync-set, workflow should be finished or cancelled first.", 
hybrid-workflow-messages.hybrid.workflow.error.assignees.permissions,The following user(s) are not part of the site you selected as destination: {0}. Invite them to the site in order to have them participate in the cloud-workflow., 
hybrid-workflow-messages.hybrid.workflow.error.content.already.in.hybrid.workflow,One of the selected documents is already syncronized with the Cloud. You can only use content that is not yet syncronized with the Cloud to start a new Hybrid Workflow., 
hybrid-workflow-messages.hybrid.workflow.error.content.permissions,You don't have sufficient permissions to sync '{0}' to the cloud., 
hybrid-workflow-messages.hybridAdhoc.workflow.title,Hybrid Task, 
hybrid-workflow-messages.hybridAdhoc.workflow.description,Assign a new task to someone on the Cloud, 
hybrid-workflow-messages.hybridAdhoc.task.wf_adhocTask.title,Task, 
hybrid-workflow-messages.hybridAdhoc.task.wf_adhocTask.description,Task, 
hybrid-workflow-messages.hybridReview.workflow.title,Hybrid Review, 
hybrid-workflow-messages.hybridReview.workflow.description,Request document approval from someone on the Cloud, 
hybrid-workflow-messages.hybridReview.task.wf_activitiReviewTask.title,Review, 
hybrid-workflow-messages.hybridReview.task.wf_activitiReviewTask.description,Review, 
sync-messages.sync.create.version.message,synced by '{0}' at '{1}' from '{2}', 
sync-messages.sync.create.version.conflict.message,synced with conflict by '{0}' at '{1}' from '{2}', 
sync-messages.sync.create.version.conflict.before.message,before conflict, 
sync-messages.sync.cloud.key.available,A key is provided for cloud sync, 
sync-messages.sync.cloud.key.not_available,"There is no key for cloud sync, cloud sync turned off", 
form-service.mbean.operations.start,Start, 
form-service.mbean.operations.stop,Stop, 
form-service.mbean.operations.loadLicense,Load License, 
form-service.error_invoke_operation,Failed to execute {0} operation due to: {1}, 
form-service.error_persist_attributes,Failed to persist attributes due to: {0}, 
hybrid-workflow-model-messages.cloudWorkflow.workflow.title,Cloud Task or Review, 
hybrid-workflow-model-messages.cloudWorkflow.workflow.description,Assign a task or review in Alfresco Content Services in the Cloud, 
hybrid-workflow-model-messages.cloudWorkflow.task.approvedTask.description,The document was reviewed and approved on Alfresco Content Services in the Cloud, 
hybrid-workflow-model-messages.cloudWorkflow.task.rejectedTask.description,The document was reviewed and rejected on Alfresco Content Services in the Cloud, 
hybrid-workflow-model-messages.cloudWorkflow.task.completedTask.description,The task was completed on Alfresco Content Services in the Cloud, 
hybrid-workflow-model-messages.cloudWorkflow.task.cancelledTask.description,The task was cancelled on Alfresco Content Services in the Cloud, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.type.hwf_submitCloudWorkflow.title,Start Cloud task or review, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.type.hwf_submitCloudWorkflow.title.NR1,Start a task or review on Alfresco Content Services in the Cloud, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_cloudDestination.title,Destination, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_workflowStatus.title,Hybrid worklfow status, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_assignment.title,Assignment, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_retainStrategy.title,After completion, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_lockOnPremiseCopy.title,Lock on-premise content, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_onPremiseWorkflowId.title,ID of on-premise workflow, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_status.title,Hybrid workflow status, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_workflowDescription.title,Description, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_workflowDueDate.title,Due date, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_workflowPriority.title,Priority, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_result.title,Cloud workflow result, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_requiredApprovalPercentage.title,Required approval percentage, 
hybrid-workflow-model-messages.hwf_hybridWorkflowModel.property.hwf_cloudWorkflowType.title,Type, 
hybrid-workflow-model-messages.listconstraint.hwf_allowedRetainStratagy.documentsSynced,Keep content synced on cloud, 
hybrid-workflow-model-messages.listconstraint.hwf_allowedRetainStratagy.documentsUnSynced,Keep content on cloud and remove sync, 
hybrid-workflow-model-messages.listconstraint.hwf_allowedRetainStratagy.documentsDelete,Delete content on cloud and remove sync, 
hybrid-workflow-model-messages.listconstraint.hwf_allowedCloudWorkflowType.task,Simple Cloud Task, 
hybrid-workflow-model-messages.listconstraint.hwf_allowedCloudWorkflowType.review,Cloud Review Task, 
