col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59
400145,BEATTON R 0.8 KM U/S OF PEACE R,56.1031,-120.3775,"RIVER,STREAM OR CREEK",19711119151500,19711119151500,TREND,,,,,"Omineca-Peace, Prince George",Equis Field,,Regular,Fresh Water,General,FE-T,Iron Total,EQ01,EQUIS (mg/L),,1.65,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400034,FRASER R 1.3 KM U/S BEAVERDYKE C - EAST,53.7089,-122.7075,"RIVER,STREAM OR CREEK",19750728154500,19750728154500,TREND,,,,Q509365W,"Omineca-Peace, Prince George",Equis Environmental Lab,,Regular,Fresh Water,General,1118,Phosphorus Ort.Dis-P,EQ01,EQUIS (mg/L),<,0.003,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400034,FRASER R 1.3 KM U/S BEAVERDYKE C - EAST,53.7089,-122.7075,"RIVER,STREAM OR CREEK",19750728154500,19750728154500,TREND,,,,Q509365W,"Omineca-Peace, Prince George",Equis Environmental Lab,,Regular,Fresh Water,General,K--D,Potassium Dissolved,EQ01,EQUIS (mg/L),,0.5,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400134,PEACE R 3.2 KM U/S OF FSJ DIS. NORTH,56.1922,-120.8647,"RIVER,STREAM OR CREEK",19720614163000,19720614163000,TREND,,,,Q7202405,"Omineca-Peace, Prince George",Equis Environmental Lab,,Regular,Fresh Water,General,CR-D,Chromium Dissolved,EQ01,EQUIS (mg/L),<,0.005,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400203,MORICE R AT BRIDGE NEAR HOUSTON,54.3756,-126.7486,"RIVER,STREAM OR CREEK",19841120000000,19841120000000,TREND,,,,Q412047W,Skeena,Equis Environmental Lab,,Regular,Fresh Water,General,P--T,Phosphorus Total,EQ01,EQUIS (mg/L),,0.004,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400203,MORICE R AT BRIDGE NEAR HOUSTON,54.3756,-126.7486,"RIVER,STREAM OR CREEK",19841219000000,19841219000000,TREND,,,,Q413220W,Skeena,Equis Environmental Lab,,Regular,Fresh Water,General,0102,Alkalinity Total 4.5,EQ01,EQUIS (mg/L),,22.2,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400203,MORICE R AT BRIDGE NEAR HOUSTON,54.3756,-126.7486,"RIVER,STREAM OR CREEK",19841219000000,19841219000000,TREND,,,,Q413220W,Skeena,Equis Environmental Lab,,Regular,Fresh Water,General,1108,Nitrogen Ammonia Dissolved,EQ01,EQUIS (mg/L),<,0.005,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400340,PUNCHAW L DEEP STN CENTER OF LAKE,53.4203,-123.0208,LAKE OR POND,19800813131500,19800813131500,TREND,,,,Q013523W,"Omineca-Peace, Prince George",Equis Environmental Lab,,Regular,Fresh Water,General,P--D,Phosphorus Total Dissolved,EQ01,EQUIS (mg/L),,0.012,mg/L,,mg/L,C,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400340,PUNCHAW L DEEP STN CENTER OF LAKE,53.4203,-123.0208,LAKE OR POND,19800903123000,19800903123000,TREND,,,,Q015047W,"Omineca-Peace, Prince George",Equis Environmental Lab,,Regular,Fresh Water,General,0110,Nitrogen NO3 Total,EQ01,EQUIS (mg/L),<,0.02,mg/L,,mg/L,C,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400341,HUSKY OIL PE0020101,53.9264,-122.6994,OUTFALL,19801027080000,19801028080000,PERMITTED DISCHARGE,,,SURFACE WATER (RIVER/LK/ESTRY),,Permittee,Equis Permittee,,Regular,Waste Water,Petroleum and chemical Industries,0014,Oxygen Dissolved,EQ01,EQUIS (mg/L),,0.9,mg/L,,mg/L,C,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
