col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
f14701dc-fb95-4e1c-b717-353a085c2489,Nordrhein Westfalen,Jens Spahn,CDU,124.0,männlich,Bundesminister für Gesundheit,https://de.wikipedia.org/wiki/Datei:2018-02-14_CDU_Th%C3%BCringen_Politischer_Aschermittwoch-5421.jpg,Parlamentarier Wiederwahl,https://de.wikipedia.org/wiki/Jens_Spahn,http://www.jens-spahn.de,jensspahn,299650387.0,True,92576009043.0,jensspahn,False,,,,,,,,,,2021-03-30 20:59:52,admin,2021-04-23 14:24:55,gw
e35bdc09-2ac0-4019-8105-c26f376da5e5,Berlin,Michael Müller,SPD,80.0,männlich,Auch  Listenplatz 1 für die Berliner SPD-Landesliste,https://de.wikipedia.org/wiki/Datei:2017-11-16_Michael_M%C3%BCller_(Wiki_Loves_Parliaments_2017_in_Berlin)_by_Sandro_Halank.jpg,,"https://de.wikipedia.org/wiki/Michael_M%C3%BCller_(Politiker,_1964)",https://michael-mueller.de/,,,False,,michael.mueller.berlin,True,,,,,,,,,,2021-04-23 12:00:22,gw,2021-04-23 14:24:06,gw
ac241868-d90d-4e01-be19-ea8e7276fa16,Nordrhein Westfalen,Lisa Ellermann,LINKE,125.0,weiblich,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,,,,,,False,,,False,,,,,,,,,,2021-04-23 14:15:11,gw,2021-04-23 14:23:45,gw
94ab9ed2-22fd-4a6b-a317-277e05293934,Nordrhein Westfalen,Friedrich Merz,CDU,147.0,männlich,,https://de.wikipedia.org/wiki/Datei:2020-01-17_Friederich_Merz_3788_(cropped).jpg,,https://de.wikipedia.org/wiki/Friedrich_Merz,https://www.friedrich-merz.de/,_FriedrichMerz,1.0593957482892328e+18,True,,MerzCDU,True,,,,,,,,,,2021-04-23 14:23:35,gw,2021-04-23 14:23:35,gw
7115fe76-67ec-4eef-8541-a0bbc70d6872,Brandenburg,Annalena Baerbock,GRÜNE,61.0,weiblich,,https://de.wikipedia.org/wiki/Datei:20180120_AB_HH.png,Parlamentarier Wiederwahl,https://de.wikipedia.org/wiki/Annalena_Baerbock,https://annalena-baerbock.de/,ABaerbock,2179010672.0,True,,abaerbock,True,,,,,,,,,,2021-04-23 15:36:39,gw,2021-04-23 15:36:39,gw
b667d887-69e8-4c7a-a2f6-479183283ea9,Brandenburg,Olaf Scholz,SPD,61.0,männlich,,https://de.wikipedia.org/wiki/Datei:2019-09-10_SPD_Regionalkonferenz_Olaf_Scholz_by_OlafKosinsky_MG_2532.jpg,Parlamentarier Wiederwahl,https://de.wikipedia.org/wiki/Olaf_Scholz,https://olaf-scholz.spd.de,OlafScholz,38150247.0,True,,,False,,,,,,,,,,2021-04-23 17:05:56,LiMo,2021-04-23 17:05:56,LiMo
125d6a02-0029-4ab6-8f4f-e1ff0028a270,Berlin,Petra Pau,LINKE,85.0,weiblich,,https://de.wikipedia.org/wiki/Datei:2018-06-09_Bundesparteitag_Die_Linke_2018_in_Leipzig_by_Sandro_Halank–070.jpg,Parlamentarier Wiederwahl,https://de.wikipedia.org/wiki/Petra_Pau,https://www.petrapau.de/,PetraPauMaHe,560467206.0,True,,,False,,,,,,,,,,2021-04-23 20:17:30,LiMo,2021-04-24 13:31:11,LiMo
9792f776-e401-4ba2-a92e-8bd1f3e434ac,Berlin,Dr. Monika Grütters,CDU,77.0,weiblich,,https://de.wikipedia.org/wiki/Datei:Monika_Gruetters_2009.jpg,Parlamentarier Wiederwahl,https://de.wikipedia.org/wiki/Monika_Gr%C3%BCtters,https://www.monika-gruetters.de/,,,False,,@MonikaGruetters ,True,,,,,,,,,,2021-04-26 10:29:02,LiMo,2021-04-26 10:31:31,LiMo
c6e65744-ccdf-4f8f-b288-e60e629cdb47,Berlin,Lisa Paus,CDU,80.0,weiblich,,https://de.wikipedia.org/wiki/Datei:2020-02-14_Lisa_Paus_(KPFC)_03.jpg,Parlamentarier Wiederwahl,https://de.wikipedia.org/wiki/Lisa_Paus,https://lisa-paus.de/,lisapaus,569166756.0,True,,,False,,,,,,,,,,2021-04-26 10:37:34,LiMo,2021-04-26 10:37:34,LiMo
6edfa80d-d603-4ec0-9b15-d32b2328ac91,Berlin,Christoph Meyer,FDP,80.0,männlich,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,,,,Meyer_FDP,8.61992050358616e+17,True,,,False,,,,,,,,,,2021-04-26 11:06:37,LiMo,2021-04-26 11:06:37,LiMo
