col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39
1.0,0.53075,0.05423,0.02222,892.6708,2.29662,0.94862,0.7675,10.0,0.0,0.50348,0.55,0.3,0.0,0.02222,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.055,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,
2.0,0.5018,0.065,0.02222,845.69754,2.1624,1.0,0.7675,10.0,0.0,0.5018,0.52,0.3,0.0,0.02222,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.065,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99995,0.99991,1.0,,0.00081,
3.0,0.73726,0.2,0.05113,1495.50008,3.38232,1.0,0.7675,10.0,0.0,0.73726,0.764,0.3,0.0,0.05113,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.94856,0.89711,1.0,,0.03359,
4.0,0.71314,0.2,0.03319,2425.27568,4.0,1.0,0.7675,10.0,0.0,0.71313,0.739,0.3,0.0,0.03319,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.95843,0.91687,1.0,,0.02503,
5.0,0.45355,0.0,0.00083,640411.16299,3.99747,0.94387,0.7675,10.0,0.0,0.42809,0.47,0.3,0.0,0.00083,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99752,0.99504,1.0,,0.00328,
6.0,0.4632,0.0,0.00031,585998.07862,3.74627,0.95426,0.7675,10.0,0.0,0.44201,0.48,0.3,0.0,0.00031,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99677,0.99353,1.0,,0.00396,
7.0,0.47382,0.2,0.00574,486024.17002,4.0,0.94523,0.7675,10.0,0.0,0.44786,0.491,0.3,0.0,0.00574,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.98372,0.96745,1.0,,0.00501,
8.0,0.621,0.2,0.00574,1532649.63976,3.86112,1.0,0.7675,10.0,0.0,0.621,0.631,0.3,0.0,0.00574,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99804,0.99607,1.0,,0.00226,
9.0,0.44776,0.08713,0.0,63001.93508,3.47836,0.83908,0.7675,10.0,0.0,0.37571,0.464,0.3,0.0,0.0,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.198,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,
10.0,0.39372,0.09177,0.0,617517.203,2.82334,0.93508,0.7675,10.0,0.0,0.36816,0.408,0.3,0.0,0.0,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,
11.0,0.45355,0.04285,0.00046,273166.26129,4.0,0.89764,0.7675,10.0,0.0,0.40712,0.47,0.3,0.0,0.00046,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9966,0.9932,1.0,,0.00389,
12.0,0.36188,0.2,0.00139,22749.03619,2.41501,0.99666,0.7675,10.0,0.0,0.36067,0.375,0.3,0.0,0.00139,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99852,0.99704,1.0,,0.0022,
13.0,0.334,0.0,0.00028,570198.23645,3.44031,1.0,0.7675,10.0,0.0,0.334,0.331,0.3,0.0,0.00028,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,10000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99478,0.98957,1.0,,0.00384,
