col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
1,14460,Boston-Cambridge-Newton,2013,0.2,8.6,4.9,27.5,8.1,2.5,15.2,10.2,2458317,3.5,2.3
2,14460,Boston-Cambridge-Newton,2014,0.3,8.9,5.3,27.1,8.1,2.8,14.7,9.9,2491650,3.5,2.4
3,14460,Boston-Cambridge-Newton,2015,0.3,9.0,5.2,27.5,7.8,2.7,15.3,9.9,2553286,3.7,2.1
4,14460,Boston-Cambridge-Newton,2016,0.3,8.7,5.4,27.0,8.1,2.5,15.3,10.0,2588273,3.4,2.3
5,14460,Boston-Cambridge-Newton,2017,0.3,8.5,5.5,27.6,7.9,2.5,15.6,9.8,2627364,3.7,2.1
6,14460,Boston-Cambridge-Newton,2018,0.3,8.7,5.3,27.4,7.8,2.4,16.1,9.6,2638204,3.7,2.0
7,14460,Boston-Cambridge-Quincy,2010,0.3,8.2,5.0,27.0,8.3,2.9,14.5,10.7,2321659,3.5,2.5
8,14460,Boston-Cambridge-Quincy,2011,0.3,8.1,5.1,27.2,8.6,2.4,14.2,10.7,2349039,3.5,2.5
9,14460,Boston-Cambridge-Quincy,2012,0.3,9.1,5.6,27.1,8.4,2.3,14.0,10.3,2406123,3.6,2.2
10,14860,Bridgeport-Stamford-Norwalk,2010,0.3,7.3,6.3,21.6,11.9,3.1,16.2,10.6,432039,3.1,2.8
11,14860,Bridgeport-Stamford-Norwalk,2011,0.2,7.8,6.6,22.4,12.0,2.8,14.9,10.5,448190,3.3,2.5
12,14860,Bridgeport-Stamford-Norwalk,2012,0.2,8.3,6.0,22.2,12.2,2.9,15.6,11.0,456529,3.2,2.3
13,14860,Bridgeport-Stamford-Norwalk,2013,0.3,8.6,6.6,20.9,11.5,2.6,17.0,11.1,463442,2.9,2.3
14,14860,Bridgeport-Stamford-Norwalk,2014,0.3,8.8,6.7,22.4,13.5,2.9,14.6,10.6,471048,2.8,2.4
15,14860,Bridgeport-Stamford-Norwalk,2015,0.3,7.7,6.9,22.9,12.0,2.8,15.7,10.3,472541,3.6,2.9
16,14860,Bridgeport-Stamford-Norwalk,2016,0.3,8.1,6.3,22.8,11.2,2.6,15.8,10.6,476587,3.5,2.7
17,14860,Bridgeport-Stamford-Norwalk,2017,0.3,8.6,6.7,23.0,11.1,3.2,15.9,10.4,479747,3.6,2.2
18,14860,Bridgeport-Stamford-Norwalk,2018,0.3,8.3,6.6,22.6,11.1,2.6,16.1,9.8,480867,3.7,2.5
19,25540,Hartford-West Hartford-East Hartford,2010,0.4,8.2,5.3,25.8,10.9,2.5,9.9,10.7,595596,3.9,2.4
20,25540,Hartford-West Hartford-East Hartford,2011,0.3,7.9,5.0,26.0,11.1,2.1,10.1,11.2,595323,4.2,2.5
21,25540,Hartford-West Hartford-East Hartford,2012,0.3,7.4,5.1,28.1,10.6,2.4,10.0,10.1,601087,3.7,2.5
22,25540,Hartford-West Hartford-East Hartford,2013,0.4,8.0,4.9,25.8,10.5,1.9,11.0,11.2,599081,3.5,2.9
