col0,col1,col2,col3,col4
0,1,Bulbasaur,1/615,"9,854"
1,4,Charmander,1/611,"8,554"
2,7,Squirtle,1/511,"3,578"
3,10,Caterpie,1/568,"10,224"
4,13,Weedle,1/757,"18,934"
5,16,Pidgey,1/516,"5,160"
6,19,Rattata,1/458,"21,542"
7,23,Ekans,1/647,"11,015"
8,25,Pikachu,1/273,"1,092"
9,27,Sandshrew,1/744,744
10,29,Nidoran♀,1/320,"8,001"
11,32,Nidoran♂,1/420,"8,838"
12,35,Clefairy,1/352,"1,058"
13,37,Vulpix,1/552,"11,605"
14,39,Jigglypuff,1/418,"1,674"
15,41,Zubat,1/401,"18,479"
16,43,Oddish,1/432,"7,355"
17,48,Venonat,1/790,"11,061"
18,50,Diglett,1/652,"5,217"
19,52,Meowth,1/454,"12,274"
20,54,Psyduck,1/446,"12,500"
21,56,Mankey,"1/1,074","13,964"
22,58,Growlithe,1/440,"39,612"
23,60,Poliwag,1/658,"3,292"
24,63,Abra,1/821,"2,463"
25,66,Machop,1/503,"14,595"
26,69,Bellsprout,1/535,"19,816"
27,72,Tentacool,1/648,"6,485"
28,74,Geodude,1/633,"9,496"
29,77,Ponyta,1/526,"4,215"
30,81,Magnemite,1/483,"2,418"
31,84,Doduo,1/505,"1,010"
32,86,Seel,1/251,"4,535"
33,88,Grimer,1/331,"3,642"
34,90,Shellder,1/474,"9,007"
35,92,Gastly,1/225,"1,128"
36,95,Onix,1/76,"1,829"
37,96,Drowzee,1/508,"3,557"
38,98,Krabby,1/548,"3,291"
39,100,Voltorb,1/949,"3,799"
40,102,Exeggcute,1/287,"5,756"
41,104,Cubone,1/723,"1,446"
42,108,Lickitung,1/79,318
43,109,Koffing,1/454,"21,828"
44,111,Rhyhorn,1/444,"24,433"
45,113,Chansey,1/117,588
46,114,Tangela,1/312,312
47,115,Kangaskhan,1/464,"3,251"
48,116,Horsea,"1/1,233","3,699"
49,120,Staryu,1/631,"3,787"
50,123,Scyther,1/62,"1,057"
51,126,Magmar,1/552,"2,210"
52,127,Pinsir,1/590,"3,543"
53,128,Tauros,1/367,"3,305"
54,129,Magikarp,1/402,"12,482"
55,131,Lapras,1/58,116
56,133,Eevee,1/496,"38,758"
57,137,Porygon,1/103,103
58,138,Omanyte,1/571,"2,856"
59,140,Kabuto,1/381,"1,524"
60,147,Dratini,1/353,706
61,152,Chikorita,1/677,"9,485"
62,155,Cyndaquil,1/530,"12,209"
63,158,Totodile,1/513,"4,623"
64,161,Sentret,1/460,"11,975"
65,165,Ledyba,1/646,"3,878"
66,170,Chinchou,1/414,"4,558"
67,177,Natu,1/549,"14,283"
68,179,Mareep,1/442,"2,657"
69,183,Marill,1/607,"1,215"
70,185,Sudowoodo,1/459,"4,594"
71,190,Aipom,1/691,"8,987"
72,191,Sunkern,1/484,"5,328"
73,193,Yanma,1/784,"10,197"
74,198,Murkrow,1/459,"17,005"
75,200,Misdreavus,1/510,"8,161"
76,204,Pineco,1/71,71
77,206,Dunsparce,1/507,"1,523"
78,207,Gligar,1/47,"2,224"
79,209,Snubbull,1/621,"13,044"
80,211,Qwilfish,1/431,"1,726"
81,213,Shuckle,1/481,"5,294"
82,215,Sneasel,1/112,564
