col0,col1,col2,col3,col4
Ag1_GW2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Ag1_J2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Ag2_GW2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Ag2_J3,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Desal1_Urb2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
GW1_Urb1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
GW2_Ag1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
GW2_Ag2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Hp1_SR4,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
J1_SR2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
J2_Ag2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
J2_J3,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
J3_EndPt,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
SR1_J1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
SR1_WTP1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
SR2_SR4,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
SR3_Hp1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
SR4_Ag1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
SR4_J2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
SR4_WTP2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Urb1_GW1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Urb2_J2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
WTP1_Urb1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
WTP2_Urb2,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
Urb1_J1,,(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1),(source;jsonplugin)(user_id;1)
