col0,col1,col2,col3,col4,col5,col6,col7,col8
hsa-miR-522-5p,ABCB5,ENSG00000004846,ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46],1168288.3152328,0.0048802373830717,MIRT734383,Flow//GFP reporter assay//qRT-PCR//Western blot,26043974
hsa-miR-1283,ATF4,ENSG00000128272,activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786],62549.9594859127,96.0907718423358,MIRT735484,Luciferase reporter assay//qRT-PCR//Western blot,27537404
hsa-miR-520a-3p,CCND1,ENSG00000110092,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582],324028.211242612,21.9334820583569,MIRT268278,Luciferase reporter assay//qRT-PCR//Western blot,28123641
hsa-miR-520a-3p,CD44,ENSG00000026508,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681],324028.211242612,5.27967632745755,MIRT732652,Luciferase reporter assay//qRT-PCR//Western blot,28123641
hsa-miR-520a-3p,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784],324028.211242612,30.2965562591034,MIRT000584,qRT-PCR//Luciferase reporter assay//Western blot,20190813
hsa-miR-519d-3p,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784],136568.833128259,30.2965562591034,MIRT000586,qRT-PCR//Luciferase reporter assay//Western blot,20190813
hsa-miR-520h,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784],98273.7874568172,30.2965562591034,MIRT000582,qRT-PCR//Luciferase reporter assay//Western blot,20190813
hsa-miR-519a-3p,CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784],47109.810315939,30.2965562591034,MIRT006234,Luciferase reporter assay//qRT-PCR//Western blot,22262409
hsa-miR-520h,DAPK2,ENSG00000035664,death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675],98273.7874568172,0.0768300111421871,MIRT734432,Luciferase reporter assay//qRT-PCR//Western blot,25982274
hsa-miR-522-3p,DENND2D,ENSG00000162777,DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192],137450.681694824,9.58890099102876,MIRT735045,Luciferase reporter assay//qRT-PCR//Western blot,26783084
hsa-miR-519a-3p,DICER1,ENSG00000100697,"dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]",47109.810315939,21.8273385078793,MIRT005571,Immunoblot//Luciferase reporter assay//qRT-PCR,21274007
hsa-miR-519a-3p,FOXF2,ENSG00000137273,forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810],47109.810315939,1.80323882026746,MIRT098706,Luciferase reporter assay//qRT-PCR//Western blot,26693396
hsa-miR-518b,FOXN1,ENSG00000109101,forkhead box N1 [Source:HGNC Symbol;Acc:HGNC:12765],176587.985420739,0.027578105212723,MIRT438123,Flow//Luciferase reporter assay//qRT-PCR//Western blot,24383669
hsa-miR-520h,HDAC1,ENSG00000116478,histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852],98273.7874568172,13.3629377035285,MIRT053589,Flow//Luciferase reporter assay//qRT-PCR//Western blot,24316511
