col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
0,0,1500,0,0,0,3,60,1.0,1.0,1,0,17,2.0,2.0,,,50,50,50,50,fist,fst_n_n,5,21,0,0,0,0,맨손,6,0.0,0,0,100
1,0,2000,0,100,0,4,60,3.0,4.0,2,7000,17,87.0,88.0,3.0,6.0,50,50,50,50,한손검,normal_slashing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,보통 베기 한손검 (long sword),6,1.0,2,28,100
2,0,1400,100,0,0,4,60,5.0,6.0,2,7000,17,89.0,90.0,,,50,50,50,50,단검,fast_piercing_sod,10,25,(item_level * 2 + 8) * item_grade,0,0,0,빠른 찌르기 단검 (stylet),6,1.0,1,27,100
3,0,2100,0,100,0,4,90,7.0,,3,9000,16,95.0,,,,50,50,50,50,양손검,2h_slashing_sod,10,16,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 베기 양손검 (bastard sword),9,1.15,3,29,150
4,0,1400,0,100,0,4,60,3.0,4.0,2,7000,17,87.0,88.0,90.0,90.0,50,50,50,50,단검,fast_slashing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,빠른 베기 단검 (knife),6,1.0,1,27,100
5,0,1600,0,100,0,4,60,3.0,4.0,2,7000,17,87.0,88.0,3.0,93.0,50,50,50,50,한손검,slow_slashing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,느린 베기 한손검 (broadsword),6,1.0,2,28,100
6,0,1600,100,0,0,4,60,87.0,87.0,2,7000,17,3.0,4.0,87.0,87.0,50,50,50,50,한손검,normal_piercing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,보통 찌르기 한손검 (estoc),4,1.0,2,28,100
7,0,1500,0,100,0,4,60,3.0,4.0,2,7000,17,87.0,88.0,91.0,93.0,50,50,50,50,한손도,nor_slashing_blade,10,16,(item_level * 2 + 8) * item_grade,0,0,0,보통 베기 한손도 (sabre),6,1.0,4,30,100
8,0,2000,0,100,0,4,90,7.0,,3,9000,16,95.0,,,,50,100,50,0,양손도,2h_slashing_blade,10,16,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 베기 양손도 (katana),9,1.15,5,31,150
9,0,1500,0,100,0,4,60,3.0,4.0,2,7000,17,87.0,88.0,,,50,50,50,50,한손도,fast_slashing_blade,10,16,(item_level * 2 + 8) * item_grade,0,0,0,빠른 베기 한손도 (scimitar),6,1.0,4,30,100
10,0,1700,0,100,0,4,60,3.0,4.0,2,7000,17,87.0,88.0,,,50,50,50,50,한손도끼,slow_slashing_axe,20,17,(item_level * 2 + 8) * item_grade,0,0,0,느린 베기 한손도끼 (francisca),6,1.0,6,32,100
11,0,2200,0,100,0,4,90,7.0,,3,9000,16,95.0,,,,50,100,50,0,양손도끼,2h_slashing_axe,20,17,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 베기 양손도끼 (battle axe),9,1.15,7,33,150
12,0,1700,0,0,100,4,60,91.0,93.0,2,7000,17,92.0,94.0,87.0,88.0,50,50,50,50,한손둔기,nor_blunt_mace,30,18,(item_level * 2 + 8) * item_grade,0,0,0,보통 때리기 한손둔기 (mace),6,1.0,8,34,100
13,0,2200,0,0,100,4,90,7.0,,3,9000,16,95.0,,,,50,100,50,0,양손둔기,2h_blunt_mace,30,18,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 때리기 양손둔기 (war hammer),9,1.15,9,35,150
14,0,1800,0,0,100,4,60,91.0,,2,7000,14,92.0,,92.0,,50,100,50,0,한손지팡이,slow_blunt_staff,10,23,((item_level * 2 + 8) * 0.9) * item_grade,((item_level * 2 + 8) * 0.8) * item_grade,0,0,느린 때리기 한손지팡이 (wand),6,1.0,10,39,100
15,0,2000,100,0,0,4,60,5.0,,2,7000,14,89.0,,,,50,100,50,0,한손창,slow_piercing_spear,15,22,(item_level * 2 + 8) * item_grade,0,0,0,느린 찌르기 한손창 (spear),6,1.0,12,36,100
16,0,2500,100,0,0,4,90,139.0,,3,9000,16,95.0,,,,100,100,0,0,양손창,2h_piercing_spear,25,22,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 찌르기 양손창 (lance),9,1.15,13,37,150
17,0,2300,0,0,100,4,90,8.0,,4,7000,16,96.0,,,,50,100,50,0,양손지팡이,2h_blunt_staff,20,23,((item_level * 2 + 8) * 1.1) * item_grade,((item_level * 2 + 8) * 1.25) * item_grade,0,0,느린 때리기 양손지팡이 (staff),9,1.15,11,38,150
18,0,1800,0,0,100,4,60,91.0,,2,7000,14,92.0,,,,50,100,50,0,한손지팡이,fast_blunt_staff,20,23,((item_level * 2 + 8) * 0.9) * item_grade,((item_level * 2 + 8) * 0.8) * item_grade,0,0,빠른 때리기 한손지팡이 (stick),6,1.0,10,39,100
19,0,1000,100,0,0,20,120,9.0,,2,10000,18,,,,,100,100,0,0,활,bow,10,24,(item_level * 2 + 8) * item_grade,0,0,0,,4,1.0,14,40,100
20,0,3500,0,80,20,4,120,91.0,93.0,2,7000,17,92.0,94.0,,,50,50,50,50,투척 무기,throw_weapon,20,27,(item_level * 1.6 + 8) * item_grade,0,0,0,,4,1.0,19,0,100
21,0,0,0,0,0,4,360,36.0,,5,10000,21,,,,,100,100,0,0,현악기,string_instrument,10,28,0,0,0,0,,2,1.0,15,0,100
22,0,3000,0,0,0,4,360,38.0,,5,10000,21,,,,,100,100,0,0,타악기,percussion_instrument,10,28,0,0,0,0,,2,1.0,16,0,100
23,0,3000,0,0,0,4,360,37.0,,5,10000,21,,,,,100,100,0,0,관악기,tube_instrument,10,28,0,0,0,0,,2,1.0,17,0,100
24,0,0,0,0,0,4,60,,28.0,2,0,20,,,,,100,100,0,0,방패,shield,30,15,0,0,floor(item_level ^ 1.1 * 45 + 100) * item_grade * 0.25,0,,8,1.2,18,69,100
