col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
1,STEWARDS,36,ARS-IAWC-IAWC225,1996-06-27,Water,ARS,Land,70801050907,US:19:015,SRID=4269;POINT(-93.6982205 41.9607224),1,CEAP,1,1
1,STEWARDS,36,ARS-IAWC-IAWC225,2015-05-17,sampleMediaStewards,ARS,Land,70801050907,US:19:015,SRID=4269;POINT(-93.6982205 41.9607224),2,projectIdStewards,1,1
1,STEWARDS,46,ARS-IAWC-IAWC410,1996-06-27,Water,ARS,Stream,7100004,US:19:015,SRID=4269;POINT(-93.7590729 41.9505493),3,CEAP,1,1
2,NWIS,1353690,USGS-05425700,1996-06-27,Water,USGS-WI,Stream,7090002,US:55:021,SRID=4269;POINT(-89.0320546 43.3466571),1,NAWQA,1,3
2,NWIS,1353690,USGS-05425700,2015-05-15,sampleMediaNwis,USGS-WI,Stream,7090002,US:55:021,SRID=4269;POINT(-89.0320546 43.3466571),2,projectIdNwis,1,1
2,NWIS,1360035,USGS-431925089002701,1996-06-27,Water,USGS-WI,Well,7090102,US:55:027,SRID=4269;POINT(-89.0076094 43.3236024),3,NAWQA,1,1
2,NWIS,61233184,USGS-11421000,1996-06-27,Water,USGS,Stream,18020107,US:06:115,SRID=4269;POINT(-121.5249647 39.1757251),4,SACR TDB,1,1
3,STORET,777,organization-siteId2,1999-12-30,sampleMedia,organization,siteType,0,XX:44:555,SRID=4269;POINT(-90.8989 43.333),16,projectId,1,3
3,STORET,777,organization-siteId2,1999-12-31,sampleMedia,organization,siteType,0,XX:44:555,SRID=4269;POINT(-90.8989 43.333),1,projectId,1,1
3,STORET,888,organization-siteId,1999-12-28,sampleMedia,organization,siteType,0,XX:44:555,SRID=4269;POINT(-89.8989 43.333),11,projectId,1,1
3,STORET,888,organization-siteId,1999-12-29,sampleMedia,organization,siteType,0,XX:44:555,SRID=4269;POINT(-89.8989 43.333),12,projectId,1,1
3,STORET,888,organization-siteId,1999-12-30,sampleMedia,organization,siteType,0,XX:44:555,SRID=4269;POINT(-89.8989 43.333),13,projectId,1,1
3,STORET,888,organization-siteId,1999-12-31,sampleMedia,organization,siteType,0,XX:44:555,SRID=4269;POINT(-89.8989 43.333),2,projectId,1,1
3,STORET,999,organization-siteId3,1999-12-31,sampleMedia,organization,siteType,0,XX:44:555,SRID=4269;POINT(-76.8989 43.333),3,projectId,1,1
3,STORET,1383,WIDNR_WQX-113086,1992-07-28,Water,WIDNR_WQX,Stream,70900011105,US:55:027,SRID=4269;POINT(-89.009255 43.348562),4,WR047,6,3
3,STORET,1383,WIDNR_WQX-113086,1992-07-28,Water,WIDNR_WQX,Stream,70900011105,US:55:027,SRID=4269;POINT(-89.009255 43.348562),5,Lake-BaselineMonitoringDNR,1,4
3,STORET,504707,21NYDECA_WQX-ONTARIO-02,1995-09-26,Sediment,21NYDECA_WQX,"Lake, Reservoir, Impoundment",4150200,CN:08:,SRID=4269;POINT(-76.67 44.0167),6,SAM,1,1
3,STORET,504707,21NYDECA_WQX-ONTARIO-02,1995-09-26,Sediment,21NYDECA_WQX,"Lake, Reservoir, Impoundment",4150200,CN:08:,SRID=4269;POINT(-76.67 44.0167),7,SAM,1,23
3,STORET,504707,21NYDECA_WQX-ONTARIO-02,1995-09-26,Sediment,21NYDECA_WQX,"Lake, Reservoir, Impoundment",4150200,CN:08:,SRID=4269;POINT(-76.67 44.0167),8,SAM,1,1
3,STORET,504707,21NYDECA_WQX-ONTARIO-02,1995-09-26,Sediment,21NYDECA_WQX,"Lake, Reservoir, Impoundment",4150200,CN:08:,SRID=4269;POINT(-76.67 44.0167),9,SAM,1,1
3,STORET,1043441,11NPSWRD-BICA_MFG_B,1996-06-25,Water,11NPSWRD,"Lake, Reservoir, Impoundment",70801050907,US:30:003,SRID=4269;POINT(-108.0188666 45.2756528009432),14,projectId,1,2
3,STORET,1043441,11NPSWRD-BICA_MFG_B,1996-06-26,Water,11NPSWRD,"Lake, Reservoir, Impoundment",70801050907,US:30:003,SRID=4269;POINT(-108.0188666 45.2756528009432),15,projectId,1,1
3,STORET,1043441,11NPSWRD-BICA_MFG_B,1996-06-27,Water,11NPSWRD,"Lake, Reservoir, Impoundment",70801050907,US:30:003,SRID=4269;POINT(-108.0188666 45.2756528009432),10,EPABEACH;SOMETHINGELSE,1,1
