col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
532255,Caw,,,,,New York,Students for a Democratic Society.,,1968,1969,,serial,Bimonthly,English,text,print,1 v. ill. 26-41 cm.,periodical,,,,,,,,0576-9698,,,
6570774,Caw!: magazine of Students for a Democratic Society,,,,,"New York, N.Y",Students for a Democratic Society,1968 -1969,1968,1969,,serial,Frequency varies,English,text,electronic|||electronic resource|||remote,1 online resource (4 v.) : ill. ; (26-41 cm.),Periodicals|||periodical,,Student movements,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371417
3979020,Free you,"Free you (Menlo Park, Calif.)|||Human Institute newsletter",,,,"Menlo Park, CA",Midpeninsula Free University,,196u,1971,,serial,Frequency varies|||Weekly,English,text,print,v. : ill. ; 28 cm.,periodical,,,,,,,,0016-0490,,,
548749,Free you,,,,,Minneapolis,Minnesota Free University,196-,196u,9999,,serial,Unknown,English,text,microfilm,v. : ill.,newspaper,,Underground newspapers,,Minnesota|||Minneapolis,,,,,,,
534719,Henderson Station,,,,,"State College, Pa",State College Free Press.,,1971,9999,,serial,Unknown,English,text,print,,periodical,,,,,,,,,,,
549166,NUC newsletter,,,,,Chicago,The Conference.,,1968,9999,,serial,Monthly,English,text,print,v. ill. 28 cm.,periodical,,Students|||Political activity|||Periodicals|||Student movements,,,,,,,,,
551747,"Radical teacher, The","Radical teacher (Chicago, Ill.)",,,,"Chicago, Ill.]",New University Conference,,196u,9999,,serial,Completely irregular,English,text,print,v. : ill. ; 28 cm.,periodical,,Teaching|||Periodicals|||Radicalism,,United States,,,,,,,
528477,Fire!,"Fire (Chicago, Ill.)",SDS fire,,,"Chicago, Illinois",[Students for a Democratic Society],"Nov. 7, 1969- 1969",1969,1969,,serial,Biweekly,English,text,print,v. : ill. ; 45 cm.,periodical,,,,,,New left notes (Students for a Democratic Society : 1966) (OCoLC)7582787,New left notes (Students for a Democratic Society : 1970) (OCoLC),0532-9299,,,
8825616,(SDS) Fire,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,0532-9299,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHHFFGE
549744,Fire!,"Fire (Chicago, Ill.)",SDS fire,,,"Chicago, Illinois",[Students for a Democratic Society],"Nov. 7, 1969-",1969,1969,,serial,Biweekly|||Unknown,English,text,microfilm|||microform,v. : ill. ; 45 cm.,periodical,,Underground newspapers,,Chicago|||Illinois,,New left notes (Students for a Democratic Society : 1966) (OCoLC)7582787,New left notes (Students for a Democratic Society : 1970) (OCoLC),,,,
549745,New left notes,New left notes (Students for a Democratic Society : 1970),SDS new left notes,,,"Boston, Mass",Students for a Democratic Society,1970-,1970,9999,,serial,Biweekly,English,text,print,v. : ill. ; 45 cm.,periodical,,Underground press publications,,Chicago|||Illinois,,"Fire (Chicago, Ill.) (OCoLC)1775564",,,,,
549120,New left notes,New left notes (Students for a Democratic Society : 1966),SDS new left notes,,,"Chicago, Illinois",Students for a Democratic Society,1966-1969,1966,1969,,serial,Weekly|||Unknown,English,text,microfilm|||microform,: ill. ; 43 cm.,newspaper,,Underground newspapers,,Chicago|||Illinois,,,"Fire(Chicago,Ill.) (OCoLC)8089379",0548-5908,,,
6570893,SDS new left notes,,New left notes|||S.D.S. new left notes,,,Chicago,Students for a Democratic Society,1966-1969,1966,1969,,serial,Weekly,English,text,electronic|||electronic resource|||remote,1 online resource ([4] p. : ill. ; 43 cm.),periodical,,,,United States,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371448
526488,SDS new left notes,,New left notes,,,"Chicago, Illinois",Students for a Democratic Society.,,1966,19uu,,serial,Weekly,English,text,print,v. ill. 43 cm.,newspaper,,,,,,,Fire (OCoLC)1775564,0548-5908,77009820.0,,
8825618,(SDS) New Left Notes,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,0548-5908,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHFJIIB
8825617,(SDS) New Left Notes,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=IAIJEAC
537667,SNCC newsletter,,Newsletter,,,"Atlanta, Ga",Student Nonviolent Coordinating Committee.,,1967,9999,,serial,Unknown,English,text,print,,,,,,,,,,,,,
9147738,"Water Tunnel, Vol. 1 no. 1, March 10, 1969",,,,,S.l.],State College Free Press,1969,,,,monographic,,,text,electronic|||electronic resource|||remote,,government publication,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702251
9147739,"Water Tunnel, Vol. 4 no. 3, October 26, 1970",,,,,S.l.],State College Free Press,1970,,,,monographic,,,text,electronic|||electronic resource|||remote,,government publication,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702252
