col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AST033,,"Land r/0 1-87 Weston Road, Aston Clinton",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.735945,51.798552,5.5,not owned by a public authority,yes,not permissioned,,,,,165,,,,165,165,,,,19-12-17,19-12-17,487263,211855
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL025,,"Elmhurst community centre, 36 Fairfax Crescent",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.806423,51.824499,0.15,not owned by a public authority,yes,permissioned,full planning permission,15-06-16,,,6,,,,6,6,,,,19-12-17,19-12-17,482356,214659
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL028,,Griffin Lane,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.827384,51.821383,4.43,not owned by a public authority,yes,permissioned,full planning permission,20-08-13,,,98,,,,98,98,,,,19-12-17,19-12-17,480917,214289
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL029,,Civic Quarter,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.810238,51.852627,0.78,not owned by a public authority,yes,permissioned,full planning permission,06-02-15,,,47,,,,47,47,,,,19-12-17,19-12-17,482042,217783
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL032,,Ardenham Lane,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.81638,51.819924,0.04,not owned by a public authority,yes,not permissioned,,,,,9,,,,9,9,,,,19-12-17,19-12-17,481678,214139
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL052,,"PO Sorting Office, Cambridge Street",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.809452,51.81856,0.92,not owned by a public authority,yes,not permissioned,,,,,23,,,,23,23,,,,19-12-17,19-12-17,482158,213995
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL059,,Land At Junction Of Buckingham Street And New Street,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.815393,51.819959,0.49,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,14,,,,19-12-17,19-12-17,481746,214144
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL068,,"Land North of Manor Hospital, Bierton Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.803464,51.821142,1.11,not owned by a public authority,yes,permissioned,full planning permission,01-04-16,,,50,,,,44,44,,,,19-12-17,19-12-17,482566,214289
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL076,,"Land east of Gatehouse Road, Gatehouse Quarter",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.824955,51.821611,4.07,not owned by a public authority,yes,not permissioned,,,,,25,,,,25,25,,,,19-12-17,19-12-17,481084,214317
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL082,,"Gatehouse Quarter, Gatehouse Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.822393,51.820821,4.34,not owned by a public authority,yes,permissioned,full planning permission,22-12-06,,,370,,,,370,370,,,,19-12-17,19-12-17,481262,214232
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL108,,"Kingsbury House, 2 George Street, Aylesbury",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.813969,51.817283,0.01,not owned by a public authority,yes,permissioned,full planning permission,04-04-13,,,6,,,,6,6,,,,19-12-17,19-12-17,481849,213848
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL110,,"Kingfisher House, 61 Walton Street, Aylesbury",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.808652,51.813696,0.42,not owned by a public authority,yes,permissioned,full planning permission,01-04-15,,,48,,,,48,48,,,,19-12-17,19-12-17,482222,213455
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL115,,"Rabans Lane, Aylesbury",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.847259,51.823765,6.6,not owned by a public authority,yes,not permissioned,,,,,200,,,,200,200,,,,19-12-17,19-12-17,479543,214532
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL116,,"Western House, 14 Rickfords Hill",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.815533,51.815735,0.04,not owned by a public authority,yes,permissioned,full planning permission,29-02-16,,,15,,,,15,15,,,,19-12-17,19-12-17,481744,213674
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL123,,37 Bicester Road,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.818208,51.821597,0.05,not owned by a public authority,yes,permissioned,full planning permission,07-09-16,,,8,,,,8,8,,,,19-12-17,19-12-17,481549,214323
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,BUC005,,Police Station and Land adjacent 38 Moreton Road,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.985464,52.003363,0.21,not owned by a public authority,yes,permissioned,full planning permission,11-05-15,,,13,,,,13,13,,,,19-12-17,19-12-17,469740,234365
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,BUC060,,"Land to south of the A421 and east of A413, London Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.970841,51.989857,5.1,not owned by a public authority,yes,permissioned,full planning permission,28-10-09,,,117,,,,117,117,,,,19-12-17,19-12-17,470765,232877
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,BUC064,,Land between  Bridge Street and Well Street (Neighbourhood Plan Site 'K'),https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-1.001816,52.035142,0.22,not owned by a public authority,yes,not permissioned,,,,,28,,,,28,28,,,,19-12-17,19-12-17,468569,237884
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,SMD011,,"Bucks Sport and Social Club, Lower Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.806232,51.794942,3.73,not owned by a public authority,yes,not permissioned,,,,,100,,,,100,100,,,,19-12-17,19-12-17,482423,211372
