col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Graphics,Launch,Market,Processor,Code name,Device ID,Clock rate (MHz),Core config,Direct3D,OpenGL,OpenCL,Vulkan,eDRAM (MiB),Memory bandwidth (GB/s)
HD Graphics,2015,Ultramobile,Atom x5-Z8300,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,200-500,96:12:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,12.8
HD Graphics,2015,Ultramobile,Atom x5-Z8500,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,200-600,96:12:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
HD Graphics,2015,Ultramobile,Atom x5-E8000 Celeron N3000 Celeron N3050,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,320-600,96:12:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
HD Graphics,2015,Ultramobile,Celeron N3150,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,320-640,96:12:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
HD Graphics,2015,Ultramobile,Atom x7-Z8700,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,200-600,128:16:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
HD Graphics,2015,Ultramobile,Pentium N3700,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,400-700,128:16:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
HD Graphics 400,2016,Ultramobile,Atom x5-Z8350,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,200-500,96:12:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
HD Graphics 400,2016,Ultramobile,Celeron N3010 Celeron N3060,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,320-600,96:12:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
HD Graphics 400,2016,Ultramobile,Celeron N3160,Cherryview Braswell (Gen8LP),22B0 22B1 22B2 22B3,320-640,96:12:2,11.2,4.3 4.6 ES 3.2,2.0 1.2,1.1,-,25.6
