col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
AP,,,,0.0,sim/cockpit/autopilot/autopilot_mode,,!2,,2,,2.0,sim/autopilot/servos_toggle,sim/autopilot/servos_toggle,Auto Pilot On,Auto Pilot Off,,,,,,
Ident,,,,1.0,sim/cockpit2/radios/indicators/transponder_id,,,,,,,sim/transponder/transponder_ident,,Transponder Ident,,sim/cockpit/radios/transponder_code,,0.0,7777.0,,Transponder set to [N]
XPDR Mode,,,1.0,1.0,sim/cockpit2/radios/actuators/transponder_mode,,,,,=2,,,,,,sim/cockpit2/radios/actuators/transponder_mode,,0.0,3.0,up-down,Transponder Off[=0];Transponder Standby[=1];Transponder On Mode A[=2];Transponder On Mode C[=3]
COM1,,,,2.0,sim/cockpit2/radios/actuators/audio_selection_com1,,!1,,1,,,sim/audio_panel/monitor_audio_com1,,,,sim/cockpit/radios/com1_freq_hz,100.0,,,,COM 1 Set to [n] Mega Hertz
COM1 XFR,,,,10.0,,,1,,,,,sim/radios/com1_standy_flip,,,,sim/cockpit/radios/com1_stdby_freq_hz,100.0,,,,COM 1 Stand By Set to [n] Mega Hertz
COM2,,,,3.0,sim/cockpit2/radios/actuators/audio_selection_com2,,<1,,>0,,,sim/audio_panel/monitor_audio_com2,,,,sim/cockpit/radios/com2_freq_hz,100.0,,,,COM 2 Set to [n] Mega Hertz
COM2 XFR,,,,11.0,,,1,,,,,sim/radios/com2_standy_flip,,,,sim/cockpit/radios/com2_stdby_freq_hz,100.0,,,,COM 2 Stand By Set to [n] Mega Hertz
NAV1,,,,4.0,sim/cockpit2/radios/actuators/audio_selection_nav1,,!1,,1,,,sim/audio_panel/monitor_audio_nav1,,,,sim/cockpit/radios/nav1_freq_hz,100.0,,,,NAV 1 Set to [n] Mega Hertz
NAV1 XFR,,,,12.0,,,1,,,,,sim/radios/nav1_standy_flip,,,,sim/cockpit/radios/nav1_stdby_freq_hz,100.0,,,,NAV 1 Stand By Set to [n] Mega Hertz
NAV2,,,,5.0,sim/cockpit2/radios/actuators/audio_selection_nav2,,!1,,1,,,sim/audio_panel/monitor_audio_nav2,,,,sim/cockpit/radios/nav2_freq_hz,100.0,,,,NAV 2 Set to [n] Mega Hertz
