col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS1,"Former Magistratesí Court, Pikes Hill, Lyndhurst, SO43 7AY",-1.57827,50.877638,,0.04,owned by a public authority,,not permissioned,,,,5,5,5,yes,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS2,"Garage Site, Foldsgate Close, Lyndhurst SO43 7BY",-1.578666,50.877882,,0.02,owned by a public authority,,not permissioned,,,,2,2,2,yes,,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS3,"Redmayne Engineering Site, Station Approach, Brockenhurst, SO42 7TW",-1.57353,50.81754,,0.39,not owned by a public authority,,permissioned,full planning permission,2018-11-20,,9,9,9,yes,"Demolition of redundant industrial buildings and construction of mixed use development including 9no dwellings, 4no office/retail units on ground floor and 5 no office units at first floor level, carports, parking and landscaping. Existing access retained.",2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS4,"Land at Railway Station, Brockenhurst, SO42 7TW",-1.575547,50.814319,,0.35,,,not permissioned,,,,10,10,10,yes,,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS5,"Former Service Station, 128 Lyndhurst Road, Ashurst, SO40 7AS",-1.522698,50.892675,,0.05,not owned by a public authority,,not permissioned,,,,2,2,2,yes,,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS6,"Land adjoining Cranleigh Paddock Residential Home, Calpe Avenue, Lyndhurst, SO43 7EP",-1.579084,50.875707,,0.35,not owned by a public authority,,not permissioned,,,,18,18,18,yes,,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS7,"Lyndhurst Park Hotel, 78 High Street, Lyndhurst, SO43 7NL",-1.572011,50.87204,,1.61,not owned by a public authority,,not permissioned,,,,50,50,50,yes,"Planning application refused; appeal lodged, public enquiry early 2019",2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS8,"Oak Lodge Dental Surgery, Rhinefield Road, Brockenhurst, SO42 7SR",-1.581436,50.82238,,0.15,not owned by a public authority,,permissioned,full planning permission,2005-08-15,,1,1,1,yes,"Planning application partly implemented. Demolition of existing, new access",2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS9,"Watersplash Hotel, The Rise, Brockenhurst, SO42 7ZP",-1.578147,50.818753,,0.5,not owned by a public authority,,permissioned,full planning permission,2017-04-26,,26,26,26,yes,Construction commenced 2018. 3 villas to create 24 age restricted apartments,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS10,"First and Second Floor, 49-49A High Street, Lyndhurst, SO43 7BE",-1.575217,50.872708,,0.03,not owned by a public authority,,permissioned,other,2016-08-15,,6,6,6,yes,Change of use of office building to 6 apartments,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS12,"Land To The Rear Of 35 High Street, Lyndhurst, SO43 7BE",-1.575727,50.872826,,0.02,not owned by a public authority,,permissioned,full planning permission,2016-06-21,,1,1,1,yes,New dwelling; associated landscaping,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS13,"Burwood Lodge, 27 Romsey Road, Lyndhurst, SO43 7AA",-1.576711,50.874053,,0.19,not owned by a public authority,,permissioned,full planning permission,2016-09-15,,1,1,1,yes,Conversion of Bed and Breakfast to create 2 dwellings,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS14,"Land Of Forest Park Hotel, Forest Park Road, Brockenhurst, SO42 7SW",-1.585894,50.822441,,0.39,not owned by a public authority,,permissioned,full planning permission,2016-06-16,,1,1,1,yes,New dwelling and garage,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS16,"Lloyds Tsb, Sway Road, Brockenhurst, SO42 7ZH",-1.575505,50.818959,,0.06,not owned by a public authority,,permissioned,full planning permission,2017-03-21,,2,2,2,yes,Change of use to dental practice; 2 flats; Internal alterations,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS17,"Rufus House Hotel, Southampton Road, Lyndhurst, SO43 7BQ",-1.573245,50.873599,,0.14,not owned by a public authority,,permissioned,full planning permission,2017-02-14,,2,2,2,yes,Conversion of owners accommodation to create 2 separate units of accommodation,2017-12-20,2018-12-06,
http://opendatacommunities.org/id/national-park-authority/new-forest,New Forest National Park,BFS18,"3No. Flats, 68 High Street, Lyndhurst, SO43 7BJ",-1.573245,50.872262,,0.18,not owned by a public authority,,permissioned,full planning permission,2016-11-10,,2,2,2,yes,"Conversion of flat, including loft space, to create 3No. Flats",2018-12-06,2018-12-06,
