col0,col1,col2,col3,col4,col5,col6,col7,col8
449720;449721,213,Niger,18.08.2020,1167.0,,,11568.0,individuals tested
449720;449721,213,Niger,17.08.2020,1167.0,,,,
449720;449721,213,Niger,16.08.2020,1167.0,,,,
449720;449721,213,Niger,15.08.2020,1166.0,,,,
449720;449721,213,Niger,14.08.2020,,,,,
449720;449721,213,Niger,13.08.2020,1161.0,,,,
449720;449721,213,Niger,12.08.2020,1161.0,,,,
449720;449721,213,Niger,11.08.2020,1158.0,,,,
449720;449721,213,Niger,10.08.2020,1158.0,,,,
449720;449721,213,Niger,09.08.2020,1158.0,,,,
449720;449721,213,Niger,08.08.2020,1157.0,,,,
449720;449721,213,Niger,07.08.2020,1153.0,,,,
449720;449721,213,Niger,06.08.2020,1153.0,,,,
449720;449721,213,Niger,05.08.2020,1152.0,,,,
449720;449721,213,Niger,04.08.2020,1152.0,,,,
449720;449721,213,Niger,03.08.2020,1152.0,,,,
449720;449721,213,Niger,02.08.2020,1147.0,,,,
449720;449721,213,Niger,01.08.2020,1138.0,,,,
449720;449721,213,Niger,31.07.2020,,,,,
449720;449721,213,Niger,30.07.2020,1134.0,,,,
449720;449721,213,Niger,29.07.2020,1134.0,,,,
449720;449721,213,Niger,28.07.2020,1132.0,,,,
449720;449721,213,Niger,27.07.2020,1132.0,,,,
449720;449721,213,Niger,26.07.2020,1132.0,,,,
449720;449721,213,Niger,25.07.2020,1124.0,,,,
449720;449721,213,Niger,24.07.2020,1124.0,,,,
449720;449721,213,Niger,23.07.2020,1124.0,,,,
449720;449721,213,Niger,22.07.2020,1122.0,,,,
449720;449721,213,Niger,21.07.2020,1113.0,,,,
449720;449721,213,Niger,20.07.2020,1105.0,,,,
449720;449721,213,Niger,19.07.2020,1104.0,,,,
449720;449721,213,Niger,18.07.2020,1104.0,,,,
449720;449721,213,Niger,17.07.2020,1102.0,,,,
449720;449721,213,Niger,16.07.2020,1102.0,,,,
449720;449721,213,Niger,15.07.2020,1100.0,,,,
449720;449721,213,Niger,14.07.2020,1099.0,,,,
449720;449721,213,Niger,13.07.2020,1099.0,,,,
449720;449721,213,Niger,12.07.2020,1099.0,,,,
449720;449721,213,Niger,11.07.2020,1099.0,,,,
449720;449721,213,Niger,10.07.2020,1099.0,,,,
449720;449721,213,Niger,09.07.2020,1097.0,,,,
449720;449721,213,Niger,08.07.2020,1097.0,,,,
449720;449721,213,Niger,07.07.2020,1094.0,,,,
449720;449721,213,Niger,06.07.2020,1093.0,,,,
449720;449721,213,Niger,05.07.2020,1093.0,,,,
449720;449721,213,Niger,04.07.2020,1088.0,,,,
449720;449721,213,Niger,03.07.2020,1082.0,,,,
449720;449721,213,Niger,02.07.2020,1081.0,,,,
449720;449721,213,Niger,01.07.2020,,,,,
449720;449721,213,Niger,30.06.2020,1075.0,7231.0,39.0,1075.0,individuals tested
449720;449721,213,Niger,29.06.2020,1075.0,7192.0,103.0,1075.0,individuals tested
449720;449721,213,Niger,28.06.2020,1074.0,7089.0,108.0,1074.0,individuals tested
449720;449721,213,Niger,27.06.2020,1068.0,6981.0,156.0,1068.0,individuals tested
449720;449721,213,Niger,26.06.2020,1062.0,6825.0,151.0,1062.0,tests processed
449720;449721,213,Niger,25.06.2020,1059.0,6674.0,119.0,1059.0,tests processed
449720;449721,213,Niger,24.06.2020,1056.0,6555.0,105.0,1056.0,tests processed
449720;449721,213,Niger,23.06.2020,1051.0,6450.0,111.0,1051.0,tests processed
449720;449721,213,Niger,22.06.2020,1046.0,6339.0,169.0,169.0,tests processed
449720;449721,213,Niger,21.06.2020,1036.0,6170.0,113.0,1036.0,tests processed
449720;449721,213,Niger,20.06.2020,1035.0,6057.0,160.0,1035.0,tests processed
449720;449721,213,Niger,19.06.2020,1026.0,5897.0,189.0,1026.0,tests processed
449720;449721,213,Niger,18.06.2020,1020.0,5708.0,52.0,1020.0,tests processed
449720;449721,213,Niger,17.06.2020,1020.0,5656.0,115.0,1020.0,tests processed
449720;449721,213,Niger,16.06.2020,1016.0,5541.0,155.0,1016.0,tests processed
449720;449721,213,Niger,15.06.2020,980.0,5386.0,6.0,980.0,tests processed
449720;449721,213,Niger,14.06.2020,980.0,5380.0,20.0,980.0,individuals tested
449720;449721,213,Niger,13.06.2020,980.0,5360.0,120.0,980.0,tests processed
449720;449721,213,Niger,12.06.2020,978.0,5240.0,69.0,978.0,tests processed
449720;449721,213,Niger,11.06.2020,974.0,5171.0,31.0,974.0,tests processed
449720;449721,213,Niger,10.06.2020,974.0,5140.0,42.0,974.0,tests processed
449720;449721,213,Niger,09.06.2020,974.0,5098.0,70.0,974.0,tests processed
449720;449721,213,Niger,08.06.2020,973.0,5028.0,13.0,973.0,tests processed
449720;449721,213,Niger,07.06.2020,973.0,5015.0,37.0,973.0,tests processed
449720;449721,213,Niger,06.06.2020,970.0,4978.0,54.0,970.0,tests processed
449720;449721,213,Niger,05.06.2020,966.0,4924.0,16.0,966.0,tests processed
449720;449721,213,Niger,04.06.2020,963.0,4908.0,101.0,963.0,tests processed
449720;449721,213,Niger,03.06.2020,961.0,4807.0,50.0,961.0,tests processed
449720;449721,213,Niger,02.06.2020,960.0,4757.0,34.0,960.0,tests processed
449720;449721,213,Niger,01.06.2020,958.0,4723.0,15.0,958.0,tests processed
449720;449721,213,Niger,31.05.2020,958.0,4708.0,45.0,958.0,tests processed
449720;449721,213,Niger,30.05.2020,956.0,4663.0,47.0,956.0,tests processed
449720;449721,213,Niger,29.05.2020,955.0,4616.0,45.0,955.0,tests processed
449720;449721,213,Niger,28.05.2020,955.0,4571.0,33.0,955.0,tests processed
449720;449721,213,Niger,27.05.2020,955.0,4538.0,125.0,955.0,tests processed
449720;449721,213,Niger,26.05.2020,952.0,4413.0,24.0,952.0,tests processed
449720;449721,213,Niger,25.05.2020,951.0,4389.0,44.0,951.0,tests processed
449720;449721,213,Niger,24.05.2020,945.0,4345.0,7.0,945.0,tests processed
449720;449721,213,Niger,23.05.2020,943.0,4338.0,47.0,943.0,tests processed
449720;449721,213,Niger,22.05.2020,937.0,4291.0,48.0,937.0,tests processed
449720;449721,213,Niger,21.05.2020,924.0,4243.0,213.0,924.0,tests processed
449720;449721,213,Niger,20.05.2020,920.0,4030.0,37.0,920.0,tests processed
449720;449721,213,Niger,19.05.2020,914.0,3993.0,53.0,914.0,tests processed
449720;449721,213,Niger,18.05.2020,909.0,3940.0,45.0,909.0,tests processed
449720;449721,213,Niger,17.05.2020,904.0,3895.0,96.0,889.0,tests processed
449720;449721,213,Niger,16.05.2020,889.0,3799.0,41.0,889.0,tests processed
449720;449721,213,Niger,15.05.2020,885.0,3758.0,43.0,885.0,tests processed
449720;449721,213,Niger,14.05.2020,876.0,3715.0,81.0,876.0,tests processed
449720;449721,213,Niger,13.05.2020,860.0,3634.0,63.0,860.0,tests processed
449720;449721,213,Niger,12.05.2020,854.0,3571.0,64.0,854.0,tests processed
449720;449721,213,Niger,11.05.2020,832.0,3507.0,40.0,832.0,tests processed
449720;449721,213,Niger,10.05.2020,821.0,3467.0,61.0,821.0,tests processed
449720;449721,213,Niger,09.05.2020,815.0,3406.0,95.0,815.0,tests processed
449720;449721,213,Niger,08.05.2020,795.0,3311.0,66.0,795.0,tests processed
449720;449721,213,Niger,07.05.2020,781.0,3245.0,50.0,781.0,tests processed
449720;449721,213,Niger,06.05.2020,770.0,3195.0,51.0,770.0,tests processed
449720;449721,213,Niger,05.05.2020,763.0,3144.0,47.0,763.0,tests processed
449720;449721,213,Niger,04.05.2020,755.0,3097.0,34.0,755.0,tests processed
449720;449721,213,Niger,03.05.2020,750.0,3063.0,48.0,750.0,tests processed
449720;449721,213,Niger,02.05.2020,736.0,3015.0,48.0,736.0,tests processed
449720;449721,213,Niger,01.05.2020,728.0,2967.0,46.0,728.0,tests processed
449720;449721,213,Niger,30.04.2020,719.0,2921.0,50.0,719.0,tests processed
449720;449721,213,Niger,29.04.2020,713.0,2871.0,54.0,713.0,tests processed
449720;449721,213,Niger,28.04.2020,709.0,2817.0,75.0,709.0,tests processed
449720;449721,213,Niger,27.04.2020,701.0,2742.0,30.0,701.0,tests processed
449720;449721,213,Niger,26.04.2020,696.0,2712.0,56.0,696.0,tests processed
449720;449721,213,Niger,25.04.2020,684.0,2656.0,21.0,684.0,tests processed
449720;449721,213,Niger,24.04.2020,681.0,2635.0,32.0,681.0,tests processed
449720;449721,213,Niger,23.04.2020,671.0,2603.0,29.0,671.0,tests processed
449720;449721,213,Niger,22.04.2020,662.0,2574.0,6.0,662.0,tests processed
449720;449721,213,Niger,21.04.2020,657.0,2568.0,16.0,657.0,tests processed
449720;449721,213,Niger,20.04.2020,655.0,2552.0,47.0,655.0,tests processed
449720;449721,213,Niger,19.04.2020,648.0,2505.0,30.0,648.0,tests processed
449720;449721,213,Niger,18.04.2020,639.0,2475.0,40.0,639.0,tests processed
449720;449721,213,Niger,17.04.2020,627.0,2435.0,65.0,627.0,tests processed
449720;449721,213,Niger,16.04.2020,609.0,2370.0,74.0,609.0,tests processed
449720;449721,213,Niger,15.04.2020,584.0,,,,
449720;449721,213,Niger,14.04.2020,570.0,,,,
449720;449721,213,Niger,13.04.2020,548.0,2140.0,99.0,548.0,tests processed
449720;449721,213,Niger,12.04.2020,529.0,2041.0,134.0,529.0,tests processed
449720;449721,213,Niger,11.04.2020,491.0,1907.0,215.0,491.0,tests processed
449720;449721,213,Niger,10.04.2020,448.0,1692.0,98.0,448.0,tests processed
