col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128
,26652,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Are You in the Game? Harnessing Millennial Learning Strategies to Market Your Library,,,games and libraries,,,,,,,,,,,,,,,,,,,,Educational games,Library orientation for college stuents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26651,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game On! Developing a game for library instruction,,,games in libraries,library instruction,,,,,,,,,,,,,,,,,,,Educational games,Library orientation for college stuents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26607,,"Allgood, Tammy","Johnson, Melissa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get Agile: Kill the Website Redesign Project,,,library web sites,redesigns,,,,,,,,,,,,,,,,,,,Agile software development,Library Web sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,28443,,"Kammerlocher, Lisa","Couture, Julianne","Sparks, Olivia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Literacy in Learning Landscapes: Flexible, Adaptable, Low-cost Solutions",,,,,,,,,,,,,,,,,,,,,,,Information literacy,Web based instruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,9500,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Library One Search: Implementing Web-Scale Discovery in an Academic Research Library,,,Summon,Web scale discovery,Lita,ALA,,,,,,,,,,,,,,,,,Library Web sites,Library catalogs,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,35834,,"Allgood, Tammy","Kush, Jordyn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Library One Search Usability at ASU,,,Usability,Discovery,,,,,,,,,,,,,,,,,,,Web based user interfaces,Library Web sites,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26608,,"Allgood, Tammy","Harp, Matthew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Podcasting 101,,,podcasting,,,,,,,,,,,,,,,,,,,,Podcasting,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26673,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Podcasting the Librarian Way,,,podcasting,academic libraries,,,,,,,,,,,,,,,,,,,Podcasting,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26674,,"Allgood, Tammy","Gallegos, Bee","Grondin, Karen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarantined: The Fletcher Library Game Project.,,,,,,,,,,,,,,,,,,,,,,,Educational games,Computer software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26628,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shh! This is a (Drupal-powered) Library Site!,,Typos in summary: Leveraging Drupal for your businessLeveraging Drupal for your business,,,,,,,,,,,,,,,,,,,,,Web site development,Library Web sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26625,,"Allgood, Tammy","Johnson, Melissa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Death of the Library Website Redesign,,"Extra new line summary: working software over /n.
comprehensive ",library website redesign,agile development,,,,,,,,,,,,,,,,,,,Agile software development,Library Web sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26622,,"Allgood, Tammy","Johnson, Carolyn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinking Outside the Box Office: A Learning Object for Curriculum Resources or Blockbuster Meets Academia,,"Extra new line summary: This presentation describes a learning object for the management of curriculum \n.
resources, ",,,,,,,,,,,,,,,,,,,,,Web databases,Educational technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
