col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35
Ceratophyllidae,Ceratophyllus unidentified,yes,FMNH,34,,,,,,,,,,,,,,,,,,,Ceratophyllus,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Dactylopsylla unidentified,yes,FMNH,42,,,,,,,,,,,,,,,,,,,Dactylopsylla,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Dasypsyllus unidentified,yes,FMNH,46,,,,,,,,,,,,,,,,,,,Dasypsyllus,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Foxella unidentified,yes,FMNH,64,,,,,,,,,,,,,,,,,,,Foxella,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Kohlsia unidentified,yes,FMNH,67,,,,,,,,,,,,,,,,,,,Kohlsia,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Malaraeus unidentified,yes,FMNH,69,,,,,,,,,,,,,,,,,,,Malaraeus,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Opisodasys unidentified,yes,FMNH,80,,,,,,,,,,,,,,,,,,,Opisodasys,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Orchopeas unidentified,yes,FMNH,100,,,,,,,,,,,,,,,,,,,Orchopeas,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Oropsylla (Diamanus) unidentified,yes,FMNH,102,,,,,,,,,,,,,,,,,,,Oropsylla,Diamanus,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Oropsylla (Opisocrostis) unidentified,yes,FMNH,111,,,,,,,,,,,,,,,,,,,Oropsylla,Opisocrostis,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Oropsylla (Oropsylla) unidentified,yes,FMNH,116,,,,,,,,,,,,,,,,,,,Oropsylla,Oropsylla,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Pleochaetis unidentified,yes,FMNH,119,,,,,,,,,,,,,,,,,,,Pleochaetis,,unidentified,,,,,,,,,,specificEpithet flagged
Ceratophyllidae,Thrassis unidentified,yes,FMNH,141,,,,,,,,,,,,,,,,,,,Thrassis,,unidentified,,,,,,,,,,specificEpithet flagged
Hystrichopsyllidae,Anomiopsyllus unidentified,yes,FMNH,150,,,,,,,,,,,,,,,,,,,Anomiopsyllus,,unidentified,,,,,,,,,,specificEpithet flagged
Hystrichopsyllidae,Atyphloceras unidentified,yes,FMNH,156,,,,,,,,,,,,,,,,,,,Atyphloceras,,unidentified,,,,,,,,,,specificEpithet flagged
