col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50
,variable,FTPINGROUNDSTEEL,Inground Steel Post,,,0,Colourbond Colours,"Basalt, Cottage Green, Domain, Dune, Evening Haze, Iron Stone, Jasper, Manor Red, Monument, Pale Eucalypt, Paperbark, Riversand, Shale Grey, Surfmist, Wilderness, Woodland Grey",1.0,1,Finish,"Night Sky, No Finish",1.0,1,Size,"1200 x 1475, 1200 x 2400, 1200 x 2450, 1200 x 3000, 1200 x 970, 1300, 1600, 1800, 2100, 2400, 2700, 50 x 50",1.0,1,Aluminium/Steel/Tubular,https://northernsuburbsfencing.local/wp-content/uploads/2021/03/fence-ezi-slat.jpg,1,0,visible,Inground Support Post Steel,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,
,variation,FTP5050INGRNOBS,Inground Steel Post,FTPINGROUNDSTEEL,56.0,2,Colourbond Colours,,,1,Finish,No Finish,,1,Size,50 x 50,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP5050INGRBS,Inground Steel Post,FTPINGROUNDSTEEL,65.0,0,Colourbond Colours,,,1,Finish,Night Sky,,1,Size,50 x 50,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP1800INGRNOBS,Inground Steel Post,FTPINGROUNDSTEEL,30.0,2,Colourbond Colours,,,1,Finish,No Finish,,1,Size,1800,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP1800INGRBS,Inground Steel Post,FTPINGROUNDSTEEL,45.0,0,Colourbond Colours,,,1,Finish,Night Sky,,1,Size,1800,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP2100INGRNOBS,Inground Steel Post,FTPINGROUNDSTEEL,35.0,2,Colourbond Colours,,,1,Finish,No Finish,,1,Size,2100,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP2100INGRBS,Inground Steel Post,FTPINGROUNDSTEEL,50.0,0,Colourbond Colours,,,1,Finish,Night Sky,,1,Size,2100,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP2400INGRNOBS,Inground Steel Post,FTPINGROUNDSTEEL,40.0,2,Colourbond Colours,,,1,Finish,No Finish,,1,Size,2400,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP2400INGRBS,Inground Steel Post,FTPINGROUNDSTEEL,55.0,0,Colourbond Colours,,,1,Finish,Night Sky,,1,Size,2400,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP2700INGRNOBS,Inground Steel Post,FTPINGROUNDSTEEL,50.0,2,Colourbond Colours,,,1,Finish,No Finish,,1,Size,2700,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTP2700INGRBS,Inground Steel Post,FTPINGROUNDSTEEL,65.0,0,Colourbond Colours,,,1,Finish,Night Sky,,1,Size,2700,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variable,FTPONSLABSTEEL,On Slab Steel Post,,,0,Colourbond Colours,"Basalt, Cottage Green, Domain, Dune, Evening Haze, Iron Stone, Jasper, Manor Red, Monument, Pale Eucalypt, Paperbark, Riversand, Shale Grey, Surfmist, Wilderness, Woodland Grey",1.0,1,Finish,"Night Sky, No Finish",1.0,1,Size,"1200 x 1475, 1200 x 2400, 1200 x 2450, 1200 x 3000, 1200 x 970, 1300, 1600, 1800, 2100, 2400, 2700, 50 x 50",1.0,1,Aluminium/Steel/Tubular,https://northernsuburbsfencing.local/wp-content/uploads/2021/03/fence-ezi-slat.jpg,1,0,visible,On slab support post,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,
,variation,FTPONSLAB1300NOBS,On Slab Steel Post,FTPONSLABSTEEL,38.0,2,Colourbond Colours,,,1,Finish,No Finish,,1,Size,1300,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTPONSLAB1300BS,On Slab Steel Post,FTPONSLABSTEEL,52.0,0,Colourbond Colours,,,1,Finish,Night Sky,,1,Size,1300,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTPONSLAB1600NOBS,On Slab Steel Post,FTPONSLABSTEEL,45.0,2,Colourbond Colours,,,1,Finish,No Finish,,1,Size,1600,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
,variation,FTPONSLAB1600BS,On Slab Steel Post,FTPONSLABSTEEL,58.0,0,Colourbond Colours,,,1,Finish,Night Sky,,1,Size,1600,,1,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,
