col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
7,Acanthocereus subinermis,199455,-96.35,16.9222222,,False,2,24.4,Equisetopsida,Caryophyllales,Cactaceae,1697,Terrestre,1906,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ab04889d587cfd1488a9567199fc92,00ab04889d587cfd1488a9567199fc92,No,NoDisponible,NoDisponible,,Si,,
17,Acanthocereus subinermis,189807,-97.169422,18.272354,,False,1,2.05,Equisetopsida,Caryophyllales,Cactaceae,1052,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00fab5eea0928442261637c3dcb9ce0a,00fab5eea0928442261637c3dcb9ce0a,No,NoDisponible,NoDisponible,,Si,,
11,Acanthocereus subinermis,194648,-97.025,17.525,,False,2,28.97,Equisetopsida,Caryophyllales,Cactaceae,1342,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=024676d9ed7d8639e7f7b8b3b41c153c,024676d9ed7d8639e7f7b8b3b41c153c,No,NoDisponible,NoDisponible,,Si,,
22,Acanthocereus subinermis,194678,-96.8416667,17.4916667,,False,2,28.38,Equisetopsida,Caryophyllales,Cactaceae,1105,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1400270c9e26983eec53f1fe94f0655d,1400270c9e26983eec53f1fe94f0655d,No,NoDisponible,NoDisponible,,Si,,
2,Acanthocereus subinermis,213640,-94.7616667,17.7566667,,True,0,-5.75,Equisetopsida,Caryophyllales,Cactaceae,12,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14e783d9f0a37802d2ca907676be28c4,14e783d9f0a37802d2ca907676be28c4,No,NoDisponible,NoDisponible,,Si,,
16,Acanthocereus subinermis,185275,-97.7908333,22.1705555,,False,1,11.85,Equisetopsida,Caryophyllales,Cactaceae,27,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15d5733d61922ebff45c68b29be216a9,15d5733d61922ebff45c68b29be216a9,No,NoDisponible,NoDisponible,,Si,,
23,Acanthocereus subinermis,194754,-97.1416667,18.1916667,,False,2,34.74,Equisetopsida,Caryophyllales,Cactaceae,900,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24d544ef38cf969823d95003210a8b1e,24d544ef38cf969823d95003210a8b1e,No,NoDisponible,NoDisponible,,Si,,
18,Acanthocereus subinermis,194666,-96.72,17.06778,,False,2,22.57,Equisetopsida,Caryophyllales,Cactaceae,1566,Terrestre,1906,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39b83c029cb984d4e7fab6072e446a26,39b83c029cb984d4e7fab6072e446a26,No,NoDisponible,NoDisponible,,Si,,
13,Acanthocereus subinermis,194648,-97.025,17.525,,False,2,28.97,Equisetopsida,Caryophyllales,Cactaceae,1342,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45179b2ec326a0ff7d80d1efc134acd8,45179b2ec326a0ff7d80d1efc134acd8,No,NoDisponible,NoDisponible,,Si,,
20,Acanthocereus subinermis,213657,-94.7069444,17.8652778,,False,1,7.26,Equisetopsida,Caryophyllales,Cactaceae,13,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5526da3af84c83a04a73939c43f0d364,5526da3af84c83a04a73939c43f0d364,No,NoDisponible,NoDisponible,,Si,,
