col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
lol,lol,63719.0,0.29153474,241274.0,0.33467189,882509.0,0.38820084,2083298.0,0.39771143,3281948.0,0.41044662,5020118.0,0.43762481,7548949.0,0.47476323,10467043.0,0.51682389,15189198.0,0.54439708,21404140.0,0.55932389,12263438,0.55970591
haha,ha,50889.0,0.2328334,196208.0,0.2721607,647712.0,0.28491759,1629267.0,0.31103477,2507590.0,0.31360394,3349881.0,0.29202322,4059995.0,0.25533837,4445584.0,0.2195065,5328650.0,0.19098451,6502422.0,0.16991853,3413330,0.1557851
ha,ha,20930.0,0.09576142,56167.0,0.07790941,139746.0,0.06147191,301229.0,0.05750604,463033.0,0.05790778,647988.0,0.05648784,813667.0,0.05117258,841035.0,0.0415272,955275.0,0.03423808,1131222.0,0.02956061,586156,0.02675228
heh,other,20283.0,0.09280119,45803.0,0.06353348,98599.0,0.04337204,177181.0,0.03382469,244618.0,0.03059239,314737.0,0.02743695,366573.0,0.02305425,366292.0,0.01808614,362392.0,0.01298852,365398.0,0.00954843,170043,0.0077608
haahahha,ha,11282.0,0.05161875,33157.0,0.04599217,94499.0,0.04156852,195952.0,0.03740816,276116.0,0.03453159,371280.0,0.03236604,471774.0,0.02967048,591297.0,0.02919606,842984.0,0.03021345,1045384.0,0.02731753,558478,0.02548905
hahaha,ha,11098.0,0.05077689,37041.0,0.05137968,118369.0,0.05206853,271260.0,0.05178482,381512.0,0.04771261,511807.0,0.04461637,635822.0,0.03998767,738277.0,0.03645339,957848.0,0.0343303,1205741.0,0.03150791,672277,0.03068286
hah,ha,8840.0,0.04044582,25409.0,0.0352449,61711.0,0.02714563,128889.0,0.02460552,178680.0,0.02234606,211894.0,0.01847169,247544.0,0.01556836,258246.0,0.01275123,277626.0,0.00995041,302927.0,0.00791596,150753,0.0068804
hehe,other,6847.0,0.03132721,18592.0,0.02578902,42935.0,0.01888638,87509.0,0.01670588,133996.0,0.01675779,180379.0,0.0157244,209152.0,0.01315384,229690.0,0.01134124,265861.0,0.00952874,324414.0,0.00847745,194870,0.00889391
ha ha,ha,6148.0,0.02812906,13397.0,0.01858302,27305.0,0.01201101,50370.0,0.00961587,67225.0,0.00840729,86151.0,0.00751015,104345.0,0.00656239,118664.0,0.00585919,142049.0,0.00509119,178563.0,0.00466613,69334,0.00316442
bahaha,ha,5368.0,0.02456031,14030.0,0.01946106,31301.0,0.01376878,54701.0,0.01044268,69759.0,0.00872419,83679.0,0.00729465,109454.0,0.0068837,124060.0,0.00612562,159135.0,0.00570357,180685.0,0.00472158,90319,0.00412218
lulz,lol,4803.0,0.02197526,11879.0,0.0164774,31549.0,0.01387787,38483.0,0.00734659,33668.0,0.00421058,36784.0,0.00320662,44008.0,0.00276772,51407.0,0.00253829,60470.0,0.00216731,58175.0,0.0015202,25604,0.00116857
hahah,ha,2275.0,0.01040885,8031.0,0.01113982,25078.0,0.01103139,56743.0,0.01083251,79167.0,0.00990077,105697.0,0.00921405,129615.0,0.00815166,147435.0,0.0072798,183075.0,0.0065616,235213.0,0.00614649,136011,0.00620757
lmao,acronym,1596.0,0.00730221,5976.0,0.00828933,23776.0,0.01045866,58715.0,0.01120897,100543.0,0.0125741,257389.0,0.02243768,701619.0,0.04412573,1283686.0,0.06338367,2364975.0,0.08476323,4215283.0,0.11015198,2790380,0.12735353
hehehe,other,1536.0,0.00702769,4356.0,0.00604222,10128.0,0.00445514,20678.0,0.00394753,37892.0,0.00473885,52608.0,0.00458606,52745.0,0.0033172,51591.0,0.00254737,67415.0,0.00241623,82043.0,0.00214391,44997,0.00205367
rofl,acronym,1404.0,0.00642375,3974.0,0.00551235,12656.0,0.00556716,22143.0,0.0042272,28918.0,0.00361654,45280.0,0.00394725,80537.0,0.00506508,91298.0,0.00450796,89622.0,0.00321215,93936.0,0.0024547,41526,0.00189526
lolol,lol,671.0,0.00307004,2729.0,0.0037854,13081.0,0.00575411,27287.0,0.00520922,31833.0,0.0039811,41822.0,0.0036458,59647.0,0.00375128,77346.0,0.00381906,109187.0,0.00391338,137442.0,0.00359158,75318,0.00343753
lmfao,acronym,322.0,0.00147325,1133.0,0.00157159,5263.0,0.00231511,13991.0,0.00267095,21997.0,0.00275099,42605.0,0.00371406,93584.0,0.00588562,166908.0,0.0082413,282716.0,0.01013284,473766.0,0.01238025,297726,0.01358828
jaja,other,243.0,0.0011118,891.0,0.00123591,3265.0,0.00143622,8626.0,0.00164674,10276.0,0.00128514,20426.0,0.00178062,36545.0,0.00229836,40843.0,0.00201668,52696.0,0.00188868,81502.0,0.00212978,45130,0.00205974
ded,text,152.0,0.00069545,305.0,0.00042307,974.0,0.00042845,2701.0,0.00051563,6893.0,0.00086205,17553.0,0.00153017,33512.0,0.00210761,48477.0,0.00239362,71011.0,0.00254511,92622.0,0.00242036,43524,0.00198644
lool,lol,147.0,0.00067257,537.0,0.00074487,2804.0,0.00123343,5945.0,0.00113493,8817.0,0.00110267,15246.0,0.00132906,26904.0,0.00169203,38707.0,0.00191121,63326.0,0.00226967,94034.0,0.00245726,53223,0.00242911
lel,lol,11.0,5.033e-05,38.0,5.271e-05,71.0,3.123e-05,3247.0,0.00061987,31560.0,0.00394695,57959.0,0.00505253,74459.0,0.00468282,74744.0,0.00369058,75443.0,0.00270396,62969.0,0.00164548,27533,0.00125661
kiki,other,,,,,,,,,,,,,,,,,,,,,18832,0.0008595
i’m laughing,text,,,,,,,,,,,,,,,,,,,,,17765,0.0008108
ha ha ha,ha,,,,,,,,,,,,,,,,,,,,,16476,0.00075197
heheh,other,,,,,,,,,,,,,,,,,,,,,15070,0.0006878
can’t stop laughing,text,,,,,,,,,,,,,,,,,,,,,12385,0.00056525
haaah,ha,,,,,,,,,,,,,,,,,,,,,11187,0.00051058
mwahah,ha,,,,,,,,,,,,,,,,,,,,,9471,0.00043226
teehee,other,,,,,,,,,,,,,,,,,,,,,8691,0.00039666
muahaha,ha,,,,,,,,,,,,,,,,,,,,,8616,0.00039324
ha ha ha ha,ha,,,,,,,,,,,,,,,,,,,,,6578,0.00030022
huehue,other,,,,,,,,,,,,,,,,,,,,,6215,0.00028365
haa,ha,,,,,,,,,,,,,,,,,,,,,4592,0.00020958
lawl,lol,,,,,,,,,,,,,,,,,,,,,4461,0.0002036
keke,other,,,,,,,,,,,,,,,,,,,,,3354,0.00015308
roflmao,acronym,,,,,,,,,,,,,,,,,,,,,2907,0.00013268
luls,lol,,,,,,,,,,,,,,,,,,,,,2351,0.0001073
buhaha,ha,,,,,,,,,,,,,,,,,,,,,2182,9.959e-05
sksksk,other,,,,,,,,,,,,,,,,,,,,,1850,8.443e-05
l0l,lol,,,,,,,,,,,,,,,,,,,,,1398,6.381e-05
lawlz,lol,,,,,,,,,,,,,,,,,,,,,1283,5.856e-05
i chortled,text,,,,,,,,,,,,,,,,,,,,,988,4.509e-05
pmsl,acronym,,,,,,,,,,,,,,,,,,,,,710,3.24e-05
i’m actually laughing,text,,,,,,,,,,,,,,,,,,,,,698,3.186e-05
ctfu,acronym,,,,,,,,,,,,,,,,,,,,,617,2.816e-05
i literally loled,text,,,,,,,,,,,,,,,,,,,,,356,1.625e-05
huahua,other,,,,,,,,,,,,,,,,,,,,,325,1.483e-05
eksdee,other,,,,,,,,,,,,,,,,,,,,,318,1.451e-05
lelel,lol,,,,,,,,,,,,,,,,,,,,,300,1.369e-05
i actually burst out laughing,text,,,,,,,,,,,,,,,,,,,,,228,1.041e-05
my stomach hurts from laughing,text,,,,,,,,,,,,,,,,,,,,,141,6.44e-06
muehehe,other,,,,,,,,,,,,,,,,,,,,,97,4.43e-06
dehd,text,,,,,,,,,,,,,,,,,,,,,29,1.32e-06
lolle,lol,,,,,,,,,,,,,,,,,,,,,28,1.28e-06
i’m literally cracking up,text,,,,,,,,,,,,,,,,,,,,,16,7.3e-07
that’s so jokes,text,,,,,,,,,,,,,,,,,,,,,8,3.7e-07
actulol,lol,,,,,,,,,,,,,,,,,,,,,3,1.4e-07
you just mad eme laugh like an idiot,text,,,,,,,,,,,,,,,,,,,,,3,1.4e-07
qltm,acronym,,,,,,,,,,,,,,,,,,,,,2,9e-08
that’s literally so funny,text,,,,,,,,,,,,,,,,,,,,,2,9e-08
