col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36
1,Abies,fir spp.,ABIES,ABIES,"<strong>USA</strong> (AK, AZ, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT, CA), <strong>FRA</strong> (SPM)",Gymnosperm,Pine family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
2,Abies alba,silver fir,ABAL3,ABAL3,<strong>USA</strong> (NC),Gymnosperm,Pine family,Perennial,Tree,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3,Abies amabilis,Pacific silver fir,ABAM,ABAM,"<strong>USA</strong> (AK, OR, WA), <strong>CAN</strong> (BC, CA)",Gymnosperm,Pine family,Perennial,Tree,"L48 (N), AK (N), CAN (N)",Spring and Summer,Yellow,Gray-Green,Dense,Dense,Brown,Slow,20,200,Long,No,Yes,Yes,Yes,None,Low,Medium,34,80,36,Tolerant,7,Late Spring,,,No
4,Abies balsamea,Balsam fir,ABBA,ABBA,"<strong>USA</strong> (CT, IA, IN, MA, MD, ME, MI, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV), <strong>CAN</strong> (AB, LB, MB, NB, NF, NS, NU, ON, PE, QC, SK), <strong>FRA</strong> (SPM)",Gymnosperm,Pine family,Perennial,Tree,"L48 (N), CAN (N), SPM (N)",Spring and Summer,Yellow,Green,Dense,Dense,Brown,Slow,18,60,Moderate,No,Yes,Yes,No,None,Low,Medium,13,60,20,Tolerant,-43,Mid Summer,Low,,No
5,Abies concolor,white fir,ABCO,ABCO,"<strong>USA</strong> (AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY), <strong>CAN</strong> (CA)",Gymnosperm,Pine family,Perennial,Tree,L48 (N),Spring and Summer,,Green,Dense,Dense,Brown,Slow,20,180,Long,No,Yes,Yes,No,None,Medium,Medium,18,80,40,Tolerant,-38,Late Spring,Low,,No
6,Abies fraseri,Fraser fir,ABFR,ABFR,"<strong>USA</strong> (GA, NC, TN, VA)",Gymnosperm,Pine family,Perennial,Tree,L48 (N),Spring and Summer,Purple,Dark Green,Moderate,Moderate,Brown,Moderate,20,70,Moderate,No,Yes,Yes,No,Low,Low,Medium,24,52,6,Tolerant,-23,Mid Spring,Low,Low,No
7,Abies lasiocarpa,subalpine fir,ABLA,ABLA,"<strong>USA</strong> (AK, AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY), <strong>CAN</strong> (AB, BC, NT, YT, CA)",Gymnosperm,Pine family,Perennial,Tree,"L48 (N), AK (N), CAN (N)",Spring and Summer,,Green,Dense,Dense,Brown,Slow,15,100,Long,No,Yes,Yes,No,None,Low,Medium,20,40,40,Tolerant,-51,Late Spring,Low,,No
8,Acacia karroo,karroothorn,ACKA2,ACKA2,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
9,Acacia koa,koa,ACKO,ACKO,<strong>USA</strong> (HI),Dicot,Pea family,Perennial,Tree,HI (N),Year Round,Yellow,Green,Moderate,Moderate,Brown,Moderate,100,110,Long,Yes,Yes,Yes,Yes,None,Medium,Medium,50,200,30,Intolerant,50,Spring,,,No
10,Acacia ligulata,acacia,ACLI8,ACLI8,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
11,Acacia mangium,,ACMA12,ACMA12,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
12,Acer,Maple,ACER,ACER,"<strong>USA</strong> (AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, CA), <strong>FRA</strong> (SPM)",Dicot,Maple family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
13,Acer barbatum,Florida maple,ACBA3,ACBA3,"<strong>USA</strong> (AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Dicot,Maple family,Perennial,Tree,L48 (N),Spring and Summer,Yellow,Green,Dense,Porous,Red,Moderate,30,60,Moderate,No,Yes,Yes,No,None,Low,Medium,40,65,24,Tolerant,-3,Mid Spring,Low,,Yes
