col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40
,VD17785626559,6342484216,ROUND,0.3,H,VVS1,EX,EX,EX,FNT,,4.31,4.33,2.65,61.3,57,None,GIA,MED to STK,100%,,,,China Star ,-42.20%,394,1313.8,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342484216.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568,,,
,UW04033136136,6345767151,ROUND,0.33,D,VVS2,EX,EX,EX,NON,,4.4,4.42,2.74,62.2,59,None,GIA,MED to STK,100%,,,,China Star ,-36.84%,572,1733.06,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6345767151.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568,,,
,B1-104,5346617617,ROUND,0.31,J,VVS1,EX,EX,EX,MED,Blue,4.35,4.38,2.68,61.3,57,None,GIA,MED,100%,Not brown,,Not milky,Super Solitaire Hk Ltd,-42.47%,351,1132.29,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5346617617.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4,,,
,LD19121826,6342316308,EMERALD,0.6,F,VS2,-,VG,VG,NON,,5.44,4.03,2.75,68.3,65,NON,GIA,THK to ETK,100%,Not brown,Not green,Not milky,Laxmi,-41.00%,880,1466.0,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTIxODI2,16.0,https://nivoda-images.s3.eu-west-2.amazonaws.com/7c9a38aa-bf36-423d-be9e-f8ae66b39eca.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19121826.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,,,
,AND2529,6305671772,ROUND,0.5,K,SI1,G,EX,VG,FNT,,4.9,4.94,3.25,65.9,57,None,GIA,STK to THK,,,,,AN Diamonds,-46.10%,542,1084.1,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6305671772.pdf,,,,IN,N,be33883a-4788-4e7c-be7a-60c088cfb705,,,
,627308701,7351188258,ROUND,1.0,F,VS2,G,EX,VG,STG,Blue,6.12,6.21,3.98,64.6,56,None,GIA,STK to VTK,100%,Not brown,Not green,Not milky,C Dinesh,-59.51%,3445,3445.02,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/eb04859c-dbca-4346-aa12-0f3ff9f63d8c.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7351188258.pdf,,,,HK,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59,,,
,L295022701,2356251833,ROUND,0.36,E,VVS2,EX,EX,EX,STG,Blue,4.51,4.55,2.82,62.3,59,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,C Dinesh,-36.50%,579,1607.33,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356251833.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59,,,
,118218,2346857208,ROUND,0.51,F,VS1,EX,VG,EX,MED,Blue,5.13,5.11,3.17,62.0,57,NON,GIA,MED to STK,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,-37.28%,1214,2379.47,,,,,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5,,,
,F181-113399,6332023026,OVAL,1.01,F,SI2,-,EX,VG,VST,Blue,8.5,5.55,3.34,60.1,63,None,GIA,THK to VTK,0%,Not brown,,,Shivam Jewels,-53.00%,2287,2264.23,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/7468d7a2-1548-4b58-a4b4-a3cb9cd498ce.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6332023026.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,,,
,G435-138032,5356153220,ROUND,1.01,K Faint Brown,VS2,EX,EX,EX,FNT,,6.5,6.54,3.89,59.7,61,None,GIA,MED to STK,95%,,,,Shivam Jewels,-44.64%,2407,2383.25,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f7ba9fb2-5661-4f39-9b3a-463d38c5b935.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5356153220.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,,,
