col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39
1,1,New top level taxon a | a auth Species marine,New taxon,,a,,a auth,Species,NBNSYS0000000028,,mollusc marine,99.0,,,,,Y,N,N,N,N,,,AN,0.0,TESTORG00000000A,not used,TESTTVK00000000A,not used,not used,not used,300.0,NHMSYS0000080088,NHMSYS0000079981,NHMSYS0000080017,,,1.0,01/01/2021 00:00
2,2,New top level taxon b | b auth Species marine,New taxon,,b,,b auth,Species,NBNSYS0000000028,,mollusc marine,99.0,,,,,Y,N,N,N,N,,,AN,0.0,TESTORG00000000B,not used,TESTTVK00000000B,not used,not used,not used,300.0,NHMSYS0000080088,NHMSYS0000079981,NHMSYS0000080017,,,1.0,01/01/2021 00:00
3,3,New taxon ab child of a,New taxon,,ab,,,Species,NBNSYS0000000028,,mollusc marine,99.0,,,,TESTORG00000000A,Y,N,N,N,N,,,AN,0.0,TESTORG0000000AB,not used,TESTTVK0000000AB,not used,not used,not used,300.0,NHMSYS0000080088,NHMSYS0000079981,NHMSYS0000080017,,,1.0,01/01/2021 00:00
4,4,Add synonym asyn to a,Add synonym,,asyn,,,,,,,,TESTORG00000000A,,,,,,,,,,,,,,,TESTTVK00000AENG,,,,,,,,,,,01/01/2021 00:00
5,5,Add synonym bsyn to b,Add synonym,,bsyn,,,,,,,,,b,,,,,,,,,,,,,,TESTTVK00000BENG,,,,,,,,,,,01/01/2021 00:00
6,6,asyn becomes preferred name for a,Promote name,,,,,,,,,,TESTORG00000000A,,,,,,,,,TESTTVK00000AENG,,,,TESTORG00000NEW,,,,,,,,,,,,1.0,01/01/2021 00:00
7,7,bsyn becomes preferred name for b and moves to child of asyn,Promote name,,,,,,,,,,TESTORG00000000B,,,TESTORG00000000A,,,,,,TESTTVK00000BENG,,,,TESTORG00000NEW,,,,,,,,,,,,1.0,01/01/2021 00:00
8,8,"Change asyn to ""amended name | agg | amended author"" in a different group and rank",Amend name,,amended,agg,amended author,Genus,,,,,,,,,,,,,,TESTTVK00000AENG,,,,,,,,,,,NHMSYS0000080034,,,,,,01/01/2021 00:00
9,9,"Amend taxon ab to reparent under bsyn, terrestrial and redundant",Amend taxon,,,,,,,,,,TESTORG0000000AB,,,TESTORG00000000B,N,Y,,,Y,,,,,,,,,,,,,,,,,,01/01/2021 00:00
10,10,Mark b as redundant,Deprecate name,,,,,,,,,,,,,,,,,,,TESTTVK00000000B,,,,,,,,,,,,,,,,,01/01/2021 00:00
11,11,New top level taxon ,New taxon,,c,,,Genus,NBNSYS0000000028,,mollusc marine,99.0,,,,,Y,N,N,N,N,,,AN,0.0,TESTORG00000000C,not used,TESTTVK00000000C,not used,not used,not used,300.0,NHMSYS0000080088,NHMSYS0000079981,NHMSYS0000080017,,,1.0,01/01/2021 00:00
12,12,New child of c,New taxon,,cchild,,,Species,NBNSYS0000000028,,mollusc marine,99.0,,,,TESTORG00000000C,Y,N,N,N,N,,,,,TESTORG000CCHILD,,TESTTVK000CCHILD,,,,,NHMSYS0000080088,,,,,,01/01/2021 00:00
13,13,Add synonym cchildsyn to cchildsyn,Add synonym,,cchildsyn,,,,,,,,TESTORG000CCHILD,,,,,,,,,,,,,,,TESTTVKCCHILDSYN,,,,,,,,,,,01/01/2021 00:00
14,14,Extract cchildsyn to own taxon,Extract name,,,,,,,,,,TESTORG000CCHILD,,,,,,,,,TESTTVKCCHILDSYN,,,,TESTORGCCHILDSYN,,,,,,,,,,,,,01/01/2021 00:00
15,15,Rename cchildsyn to d,Rename taxon,,d,,,Species,,,,,TESTORGCCHILDSYN,,,,Y,N,N,N,N,,,,,,,TESTTVK00000000D,,,,,NHMSYS0000080088,,,,,,01/01/2021 00:00
16,16,New child of c,New taxon,,cchild2,,,Species,NBNSYS0000000028,,mollusc marine,99.0,,,,,Y,N,N,N,N,,,,,TESTORG00CCHILD2,,TESTTVK00CCHILD2,,,,,NHMSYS0000080088,,,,,,01/01/2021 00:00
17,17,Merge d and cchild2,Merge taxa,,,,,,,,,,TESTORGCCHILDSYN,,,,,,,,,TESTORG00CCHILD2,,,,,,,,,,,,,,,,,01/01/2021 00:00
18,18,New top level taxon d,New taxon,,e,,,Genus,NBNSYS0000000028,,mollusc marine,99.0,,,,,Y,N,N,N,N,,,AN,0.0,TESTORG00000000E,not used,TESTTVK00000000E,not used,not used,not used,300.0,NHMSYS0000080088,NHMSYS0000079981,NHMSYS0000080017,,,1.0,01/01/2021 00:00
19,19,New top level taxon e,New taxon,,f,,,Genus,NBNSYS0000000028,,mollusc marine,99.0,,,,,Y,N,N,N,N,,,AN,0.0,TESTORG00000000F,not used,TESTTVK00000000F,not used,not used,not used,300.0,NHMSYS0000080088,NHMSYS0000079981,NHMSYS0000080017,,,1.0,01/01/2021 00:00
20,20,New synonym f of d,Add synonym,,g,,,,,,,,TESTORG00000000E,,,,,,,,,,,,,,,TESTTVK00000000G,,,,,,,,,,,01/01/2021 00:00
21,21,Move f to e,Move name,,,,,,,,,,TESTORG00000000F,,,,,,,,,TESTTVK00000000G,,,,,,,,,,,,,,,,,01/01/2021 00:00
