col0,col1,col2,col3
aa,Afar,afar,afar
ab,Abkhazian; Abkhaz,abkhaze; abkhazien,apsua byszwa
ae,Avestan,avestique,—
af,Afrikaans,afrikaans,Afrikaans
ak,Akan,akan,akana
am,Amharic,amharique,amarinja
ar,Arabic,arabe,arabiy
as,Assamese,assamais,asamī
av,Avar; Avarish,avar,avar mac‡
ay,Aymara,aymara,aymara
az,Azerbaijani,azéri; azerbaïdjanais,azarbaycan dil
ba,Bashkir,bachkir; bashkir,baskort
be,Belarusian,biélorusse,belaruskaâ mova
bg,Bulgarian,bulgare,"b""lgarski ezik"
bh,Bihari,bihari,bihārī
bi,Bislama,bichlamar; bislama,bislama
bm,Bambara,bambara,bambankan
bn,Bengali; Bangla,bengali,barila
bo,Tibetan,tibétain,bod skad
br,Breton,breton,Brezhoneg
bs,Bosnian,bosniaque,bosanski (jezik)
ca,Catalan,catalan,català
ce,Chechen,tchétchène,nohčijn mott; noxçiyn mott
ch,Chamorro,chamorro,Finu' Chamoru
co,Corsican,corse,corsu
cr,Cree,cree,nêhiyawa
cs,Czech,tchèque,český jazyk
cu,Old Slavonic; Old Church Slavonic; Church Slavonic; Church Slavic; Old Bulgarian,slavon d'église; slavon liturgique; vieux slave; vieux bulgare,cerkovno-slavânskij
cv,Chuvash,tchouvache,čăvaš čĕlhi
cy,Welsh,gallois,Cymraeg
da,Danish,danois,dansk
de,German,allemand,Deutsch
dv,Divehi; Maldivian,maldivien,dhivehi
dz,Dzongkha; Bhutani; Butanese,dzongkha; bhoutani,dzongkha
ee,Ewe,éwé,eve
el,Modern Greek (post 1453),grec moderne (après 1453),elliniká
en,English,anglais,English
eo,Esperanto,espéranto,esperanto
es,Spanish; Castilian,espagnol; castillan,español; castellano
et,Estonian,estonien,eesti keel
eu,Basque,basque,euskera; euskara
fa,Farsi; Persian,farsi; persan,fârsy
ff,Fulah; Fula; Fulani; Fulfulde; Peul,peul,fulfulde
fi,Finnish,finnois,suomi; suomen kieli
fj,Fijian,fidjien,Na Vosa Vakaviti
fo,Faroese; Faeroese,féroïen,føroyskt
fr,French,français,français
fy,Frisian,frison,frysk
ga,Irish,irlandais,Gaeilge
gd,Gaelic; Scottish Gaelic,gaélique; gaélique écossais,Gàidhlig
gl,Galician; Gallegan,galicien,galego
gn,Guarani,guarani,guaraní
gu,Gujarati,gujarati; goudjrati,gujarātī
gv,Manx,mannois; manx,Gaelg
ha,Hausa,haoussa,hausa
he,Hebrew,hébreu,ivrit
hi,Hindi,hindi,hindī
ho,Hiri Motu,hiri motu,Hiri Motu
hr,Croatian,croate,hrvatski jezik
hu,Hungarian,hongrois,magyar nyelv
hy,Armenian,arménien,hayeren lezow
hz,Herero,herero,otshiherero
ia,Interlingua (International Auxiliary Language Association),interlingua (langue auxiliaire internationale),interlingua
id,Indonesian,indonésien,bahasa Indonesia
ie,Interlingue,interlingue,interlingue
ig,Igbo,igbo,igbo
ik,Inupiaq,inupiaq,inupiaq
io,Ido,ido,ido
is,Icelandic,islandais,íslenska
it,Italian,italien,italiano
iu,Inuktitut,inuktitut,inuktitut
ja,Japanese,japonais,nihongo; nippongo
jv,Javanese,javanais,bahasa Jawa
ka,Georgian,géorgien,k'art'uli ena
kg,Kongo,kongo,kikongo
ki,Kikuyu; Gikuyu,kikuyu,Gikuyu
kj,Kwanyama; Kuanyama,kwanyama; kuanyama,oshikwanyama
kk,Kazakh,kazakh,qazaqsha
kl,Greenlandic; Kalaallisut,groenlandais,kalaallisut
km,Khmer; Cambodian,khmer; cambodgien,khmêr
kn,Kannada,kannada,kannada
ko,Korean,coréen,choson-o; hanguk-o
kr,Kanuri,kanouri,kanuri
ks,Kashmiri,kashmiri,kaśmīrī
ku,Kurdish,kurde,zimany kurdy
kv,Komi,komi,komi kyv
kw,Cornish,cornique,Kernewek
ky,Kyrgyz; Kirghiz,kirghize,kyrgyz tili
la,Latin,latin,lingua latina
lb,Luxembourgish,luxembourgeois,lëtzebuergesch
lg,Luganda; Ganda,louganda; ganda,luganda
ln,Lingala,lingala,lingala
lo,Laotian; Lao,laotien; lao,pha xa lao
lt,Lithuanian,lituanien,lietuvių kalba
lu,Luba-Katanga,luba-katanga,tshiluba
lv,Latvian,letton,latviešu valoda
mg,Malagasy,malgache,malagasy
mh,Marshallese,marshall,"M,ajet"
mi,Maori,maori,māori
mk,Macedonian,macédonien,makedonski
ml,Malayalam,malayalam,Malayāḷam
mn,Mongolian,mongol,mongol
mo,Moldavian,moldave,(limba) moldoveană
mr,Marathi,marathe,marathT
ms,Malay,malais,bahasa Malaysia
mt,Maltese,maltais,il-Malti
my,Myanmar; Burmese,birman,myanmasa
na,Nauruan,nauri,nauru
nb,Norwegian Bokmål,norvégien bokmål,bokmål
nd,North Ndebele,ndébélé du Nord,isiNdebele
ne,Nepali,népalais,nepālī
ng,Ndonga,ndonga,oshindonga
nl,Dutch,néerlandais,Nederlands
nn,Norwegian Nynorsk,norvégien nynorsk,nynorsk
no,Norwegian,norvégien,norsk
nr,South Ndebele,ndébélé du Sud,isiNdebele
nv,Navajo; Navaho,navaho,diné bizaad
ny,Chichewa; Chewa; Nyanja,chichewa; chewa; nyanja,tshichewa; tshinyanja
oc,Occitan; Provençal (post 1500),occitan; provençal (après 1500),occitan; provençal
oj,Ojibwa,ojibwa,chippewa; ojibwe
om,Oromo; Afan Oromo; Galla,oromo; afan oromo; galla,(afan) oromo
or,Oriya,oriya,oria
os,Ossetian; Ossetic,ossète,iron avzæg
pa,Punjabi; Panjabi,punjabi; panjabi; pendjabi,pañjābī
pi,Pali,pali,pāli bhāsa
pl,Polish,polonais,(język) polski
ps,Pashto; Pushto,pachto; pashto; pushto,pashto
pt,Portuguese,portugais,português
qu,Quechua,quechua; quichua,qhëtshwa
rm,Rhaeto-Romance,rhéto-roman,romontsch
rn,Kirundi; Rundi,kirundi; rundi,kirundi
ro,Romanian,roumain,(limba) română
ru,Russian,russe,russkij (âzyk)
rw,Kinyarwanda; Rwanda,kinyarwanda; rwanda,kinyarwanda
sa,Sanskrit,sanskrit,"saṃskṛtam,"
sc,Sardinian,sarde,sardu
sd,Sindhi,sindhi,sindhī
se,Northern Sami,sami du Nord,davvisámegiella
sg,Sango; Sangho,sango,sango
sh,Serbo-Croatian,serbo-croate,srpskohrvatski (jezik)
si,Sinhala; Sinhalese; Singhalese,singhalais,siṁhala
