col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
2019-05-17 13:00:50.383 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70038 automatic=true,2019-05-17T13:00:50.383-0400,,True,,1558017621,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70038,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.383 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70059 automatic=true,2019-05-17T13:00:50.383-0400,,False,,1558017621,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70059,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.383 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70001 automatic=true,2019-05-17T13:00:50.383-0400,,True,,1558017621,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70001,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70036 automatic=true,2019-05-17T13:00:50.383-0400,,False,,1558017621,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70036,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70105 automatic=true,2019-05-17T13:00:50.383-0400,,True,,1558017621,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70105,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70094 automatic=true,2019-05-17T13:00:50.383-0400,,False,,1558017621,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70094,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70061 automatic=true,2019-05-17T13:00:50.383-0400,,True,,1558017621,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70061,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.383 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70038 automatic=true,2019-05-17T13:00:50.383-0400,,False,,1558017620,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70038,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.383 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70059 automatic=true,2019-05-17T13:00:50.383-0400,,True,,1558017620,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70059,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.383 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70001 automatic=true,2019-05-17T13:00:50.383-0400,,False,,1558017620,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70001,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70036 automatic=true,2019-05-17T13:00:50.383-0400,,True,,1558017620,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70036,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70105 automatic=true,2019-05-17T13:00:50.383-0400,,False,,1558017620,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70105,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70094 automatic=true,2019-05-17T13:00:50.383-0400,,True,,1558017620,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70094,2019-05-17T17:00:50.382349Z,
2019-05-17 13:00:50.382 [info] ml_datapoint terminal_datapoint generation=1558017621 timestamp=2019-05-17T17:00:50.382349Z terminal_stop_id=70061 automatic=true,2019-05-17T13:00:50.383-0400,,False,,1558017620,http-inputs-mbta.splunkcloud.com,rtr-prod,1,,--_::._[]___=_=--::._=_=,lambda:rtr-prod,httpevent,idx-i-0cf1a53c73d4fcb35.mbta.splunkcloud.com,,,,70061,2019-05-17T17:00:50.382349Z,
