col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Adair,"8,243",74,0.90%,"7,714",54,0.70%,-22.00%,19_001,19.0,2.0,4.0,,
Adams,"4,482",43,1.00%,"4,192",43,1.00%,6.90%,19_002,19.0,2.0,4.0,,
Allamakee,"14,675",97,0.70%,"14,796",180,1.20%,84.00%,19_003,19.0,2.0,4.0,,
Appanoose,"13,721",491,3.60%,"13,422",347,2.60%,-27.80%,19_004,19.0,2.0,4.0,,
Audubon,"6,830",64,0.90%,"6,278",62,1.00%,5.40%,19_005,19.0,2.0,4.0,,
Benton,"25,308",267,1.10%,"26,962",288,1.10%,1.20%,19_006,19.0,2.0,4.0,,
Black Hawk,"128,012","4,235",3.30%,"126,106","3,123",2.50%,-25.10%,19_007,19.0,2.0,4.0,,
Boone,"26,224",212,0.80%,"26,584",269,1.00%,25.20%,19_008,19.0,2.0,4.0,,
Bremer,"23,325",201,0.90%,"23,837",167,0.70%,-18.70%,19_009,19.0,2.0,4.0,,
Buchanan,"21,093",260,1.20%,"21,045",221,1.10%,-14.80%,19_010,19.0,2.0,4.0,,
Buena Vista,"20,411",259,1.30%,"20,091",211,1.10%,-17.20%,19_011,19.0,2.0,4.0,,
Butler,"15,305",161,1.10%,"15,073",135,0.90%,-14.90%,19_012,19.0,2.0,4.0,,
Calhoun,"11,115",126,1.10%,"10,437",85,0.80%,-28.20%,19_013,19.0,2.0,4.0,,
Carroll,"21,421",170,0.80%,"20,963",145,0.70%,-12.80%,19_014,19.0,2.0,4.0,,
Cass,"14,684",220,1.50%,"14,124",194,1.40%,-8.30%,19_015,19.0,2.0,4.0,,
Cedar,"18,187",166,0.90%,"18,326",110,0.60%,-34.20%,19_016,19.0,2.0,4.0,,
Cerro Gordo,"46,447",619,1.30%,"44,384",565,1.30%,-4.50%,19_017,19.0,2.0,4.0,,
Cherokee,"13,035",157,1.20%,"12,094",95,0.80%,-34.80%,19_018,19.0,2.0,4.0,,
Chickasaw,"13,095",160,1.20%,"12,412",129,1.00%,-14.90%,19_019,19.0,2.0,4.0,,
Clarke,"9,133",163,1.80%,"9,156",81,0.90%,-50.40%,19_020,19.0,2.0,4.0,,
Clay,"17,372",212,1.20%,"16,801",236,1.40%,15.10%,19_021,19.0,2.0,4.0,,
Clayton,"18,678",100,0.50%,"18,251",173,0.90%,77.00%,19_022,19.0,2.0,4.0,,
Clinton,"50,149","1,372",2.70%,"49,782","1,341",2.70%,-1.50%,19_023,19.0,2.0,4.0,,
Crawford,"16,942",238,1.40%,"16,948",322,1.90%,35.20%,19_024,19.0,2.0,4.0,,
Dallas,"40,750",252,0.60%,"54,525",395,0.70%,17.10%,19_025,19.0,2.0,4.0,,
Davis,"8,541",91,1.10%,"8,602",88,1.00%,-4.00%,19_026,19.0,2.0,4.0,,
Decatur,"8,689",161,1.90%,"8,656",123,1.40%,-23.30%,19_027,19.0,2.0,4.0,,
Delaware,"18,404",207,1.10%,"17,848",206,1.20%,2.60%,19_028,19.0,2.0,4.0,,
Des Moines,"42,351","1,291",3.00%,"40,885","1,053",2.60%,-15.50%,19_029,19.0,2.0,4.0,,
Dickinson,"16,424",130,0.80%,"16,924",121,0.70%,-9.70%,19_030,19.0,2.0,4.0,,
Dubuque,"89,143","1,293",1.50%,"92,384","1,440",1.60%,7.50%,19_031,19.0,2.0,4.0,,
Emmet,"11,027",111,1.00%,"10,479",95,0.90%,-9.90%,19_032,19.0,2.0,4.0,,
Fayette,"22,008",458,2.10%,"20,996",376,1.80%,-13.90%,19_033,19.0,2.0,4.0,,
Floyd,"16,900",301,1.80%,"16,441",244,1.50%,-16.70%,19_034,19.0,2.0,4.0,,
Franklin,"10,704",94,0.90%,"10,708",109,1.00%,15.90%,19_035,19.0,2.0,4.0,,
Fremont,"8,010",181,2.30%,"7,737",139,1.80%,-20.50%,19_036,19.0,2.0,4.0,,
Greene,"10,366",148,1.40%,"9,809",87,0.90%,-37.90%,19_037,19.0,2.0,4.0,,
Grundy,"12,369",66,0.50%,"12,320",82,0.70%,24.70%,19_038,19.0,2.0,4.0,,
Guthrie,"11,353",134,1.20%,"11,344",61,0.50%,-54.40%,19_039,19.0,2.0,4.0,,
Hamilton,"16,438",183,1.10%,"16,087",162,1.00%,-9.50%,19_040,19.0,2.0,4.0,,
Hancock,"12,100",88,0.70%,"11,680",73,0.60%,-14.10%,19_041,19.0,2.0,4.0,,
Hardin,"18,812",239,1.30%,"17,791",191,1.10%,-15.50%,19_042,19.0,2.0,4.0,,
Harrison,"15,666",181,1.20%,"15,745",227,1.40%,24.80%,19_043,19.0,2.0,4.0,,
Henry,"20,336",219,1.10%,"20,405",291,1.40%,32.40%,19_044,19.0,2.0,4.0,,
Howard,"9,932",101,1.00%,"9,677",97,1.00%,-1.40%,19_045,19.0,2.0,4.0,,
Humboldt,"10,381",123,1.20%,"9,975",110,1.10%,-6.90%,19_046,19.0,2.0,4.0,,
Ida,"7,837",65,0.80%,"7,180",47,0.70%,-21.10%,19_047,19.0,2.0,4.0,,
Iowa,"15,671",108,0.70%,"16,140",108,0.70%,-2.90%,19_048,19.0,2.0,4.0,,
Jackson,"20,296",274,1.40%,"20,290",266,1.30%,-2.90%,19_049,19.0,2.0,4.0,,
Jasper,"37,213",459,1.20%,"37,409",513,1.40%,11.20%,19_050,19.0,2.0,4.0,,
Jefferson,"16,181",287,1.80%,"15,945",343,2.20%,21.30%,19_051,19.0,2.0,4.0,,
Johnson,"111,006","1,057",1.00%,"118,038","1,212",1.00%,7.80%,19_052,19.0,2.0,4.0,,
Jones,"20,221",225,1.10%,"20,505",196,1.00%,-14.10%,19_053,19.0,2.0,4.0,,
Keokuk,"11,400",198,1.70%,"11,081",186,1.70%,-3.40%,19_054,19.0,2.0,4.0,,
Kossuth,"17,163",145,0.80%,"16,011",147,0.90%,8.70%,19_055,19.0,2.0,4.0,,
Lee,"38,052","1,164",3.10%,"36,338",807,2.20%,-27.40%,19_056,19.0,2.0,4.0,,
Linn,"191,701","3,162",1.60%,"201,853","3,556",1.80%,6.80%,19_057,19.0,2.0,4.0,,
Louisa,"12,183",277,2.30%,"11,858",227,1.90%,-15.80%,19_058,19.0,2.0,4.0,,
Lucas,"9,422",219,2.30%,"9,543",162,1.70%,-27.00%,19_059,19.0,2.0,4.0,,
Lyon,"11,763",91,0.80%,"11,636",70,0.60%,-22.20%,19_119,19.0,2.0,4.0,,
Madison,"14,019",98,0.70%,"15,547",127,0.80%,16.90%,19_121,19.0,2.0,4.0,,
Mahaska,"22,335",435,1.90%,"22,298",532,2.40%,22.50%,19_123,19.0,2.0,4.0,,
Marion,"32,052",332,1.00%,"32,987",385,1.20%,12.70%,19_125,19.0,2.0,4.0,,
Marshall,"39,311",899,2.30%,"39,555",762,1.90%,-15.80%,19_127,19.0,2.0,4.0,,
Mills,"14,547",270,1.90%,"15,595",190,1.20%,-34.40%,19_129,19.0,2.0,4.0,,
Mitchell,"10,874",52,0.50%,"10,856",48,0.40%,-7.50%,19_131,19.0,2.0,4.0,,
Monona,"10,020",96,1.00%,"9,343",97,1.00%,8.40%,19_133,19.0,2.0,4.0,,
Monroe,"8,016",141,1.80%,"7,725",120,1.60%,-11.70%,19_135,19.0,2.0,4.0,,
Montgomery,"11,771",238,2.00%,"11,365",221,1.90%,-3.80%,19_137,19.0,2.0,4.0,,
Muscatine,"41,722","1,104",2.60%,"42,883",789,1.80%,-30.50%,19_139,19.0,2.0,4.0,,
O'Brien,"15,102",110,0.70%,"14,409",154,1.10%,46.70%,19_141,19.0,2.0,4.0,,
Osceola,"7,003",46,0.70%,"6,629",28,0.40%,-35.70%,19_143,19.0,2.0,4.0,,
Page,"16,976",432,2.50%,"16,263",278,1.70%,-32.80%,19_145,19.0,2.0,4.0,,
Palo Alto,"10,147",68,0.70%,"9,549",66,0.70%,3.10%,19_147,19.0,2.0,4.0,,
Plymouth,"24,849",186,0.70%,"24,906",121,0.50%,-35.10%,19_149,19.0,2.0,4.0,,
Pocahontas,"8,662",127,1.50%,"7,794",82,1.10%,-28.20%,19_151,19.0,2.0,4.0,,
Polk,"374,601","7,873",2.10%,"408,888","5,920",1.40%,-31.10%,19_153,19.0,2.0,4.0,,
Pottawattamie,"87,704","2,225",2.50%,"90,218","2,057",2.30%,-10.10%,19_155,19.0,2.0,4.0,,
Poweshiek,"18,815",192,1.00%,"19,007",203,1.10%,4.70%,19_157,19.0,2.0,4.0,,
Ringgold,"5,469",71,1.30%,"5,289",49,0.90%,-28.60%,19_159,19.0,2.0,4.0,,
Sac,"11,529",101,0.90%,"10,682",46,0.40%,-50.80%,19_161,19.0,2.0,4.0,,
Scott,"158,668","5,632",3.50%,"162,621","3,651",2.20%,-36.70%,19_163,19.0,2.0,4.0,,
Shelby,"13,173",122,0.90%,"12,489",101,0.80%,-12.70%,19_165,19.0,2.0,4.0,,
Sioux,"31,589",177,0.60%,"32,525",115,0.40%,-36.90%,19_167,19.0,2.0,4.0,,
Story,"79,981",597,0.70%,"80,145",649,0.80%,8.50%,19_169,19.0,2.0,4.0,,
Tama,"18,103",211,1.20%,"17,890",188,1.10%,-9.80%,19_171,19.0,2.0,4.0,,
Taylor,"6,958",88,1.30%,"6,540",40,0.60%,-51.60%,19_173,19.0,2.0,4.0,,
Union,"12,309",176,1.40%,"12,093",206,1.70%,19.10%,19_175,19.0,2.0,4.0,,
Van Buren,"7,809",131,1.70%,"7,836",132,1.70%,0.40%,19_177,19.0,2.0,4.0,,
Wapello,"36,051","1,237",3.40%,"36,010","1,177",3.30%,-4.70%,19_179,19.0,2.0,4.0,,
Warren,"40,671",357,0.90%,"43,926",400,0.90%,3.70%,19_181,19.0,2.0,4.0,,
Washington,"20,670",259,1.30%,"21,529",212,1.00%,-21.40%,19_183,19.0,2.0,4.0,,
Wayne,"6,730",164,2.40%,"6,542",94,1.40%,-41.00%,19_185,19.0,2.0,4.0,,
Webster,"40,235","1,053",2.60%,"38,960",825,2.10%,-19.10%,19_187,19.0,2.0,4.0,,
Winnebago,"11,723",88,0.80%,"11,216",135,1.20%,60.30%,19_189,19.0,2.0,4.0,,
Winneshiek,"21,310",116,0.50%,"21,263",118,0.60%,1.90%,19_191,19.0,2.0,4.0,,
Woodbury,"103,877","2,318",2.20%,"102,972","2,035",2.00%,-11.40%,19_193,19.0,2.0,4.0,,
Worth,"7,909",28,0.40%,"7,698",44,0.60%,61.50%,19_195,19.0,2.0,4.0,,
Wright,"14,334",144,1.00%,"13,419",220,1.60%,63.20%,19_197,19.0,2.0,4.0,,
State,"2,926,324","51,844",1.80%,"2,982,085","44,803",1.50%,-15.20%,,19.0,2.0,4.0,,
Rural,"496,961","5,374",1.10%,"486,214","4,839",1.00%,-8.00%,,,,,,IA_Rural_Counties
Small Urban,"1,104,670","18,078",1.60%,"1,112,646","16,321",1.50%,-10.40%,,,,,,IA_Urban_Counties
Metropolitan,"1,324,693","28,392",2.10%,"1,383,225","23,643",1.70%,-20.30%,,,,,,IA_Metropolitan_Counties
United States,"281,421,906","5,778,034",2.10%,"299,398,484","4,230,189",1.40%,-31.20%,,,,,US_National,
