col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48
2016,49,2016-05-28.TEX201605280,TEX,,PIT,3,39.7,9.999,99,5.0,3,1,1,1,7,0,0,1.8,19,81,51,18,12,5,6,4,0,0,63,,,2,0,0,18,0,0,0,0,0,0,0.85,0.179,1.72,,,0,27
2016,54,2016-06-03.TEX201606030,TEX,,SEA,4,45.2,9.998,5,5.2,6,3,3,1,5,0,0,3.38,24,88,56,14,10,9,9,4,1,0,49,,,0,0,0,22,2,0,0,0,1,0,0.91,0.072,0.02,,,0,32
2016,59,2016-06-08.TEX201606080,TEX,,HOU,-2,39.7,,4,5.0,3,1,1,4,7,1,0,2.87,21,76,46,19,7,3,6,3,0,1,60,,,2,0,0,17,1,0,0,0,0,0,1.0,0.181,1.72,,,0,27
2016,92,2016-07-16.CHN201607160,TEX,@,CHC,-2,37.8,3.999,37,4.1,2,2,2,4,9,0,0,3.15,20,90,54,16,13,3,4,2,1,0,56,,,1,0,0,16,1,0,0,0,0,0,1.14,-0.076,-0.41,,,3,28
2016,97,2016-07-22.KCA201607220,TEX,@,KCR,-2,46.6,3.998,5,6.0,7,3,2,1,11,1,0,3.12,26,91,59,12,17,4,10,5,1,0,58,,,3,0,0,25,0,1,0,0,0,0,0.78,-0.059,0.11,,,3,36
2016,102,2016-07-27.TEX201607270,TEX,,OAK,-2,46.3,,4,6.0,4,2,2,0,6,1,0,3.09,22,93,64,14,9,8,8,1,1,0,62,,,1,0,0,21,1,1,0,0,1,0,0.87,0.133,1.26,,,0,33
2016,107,2016-08-02.BAL201608020,TEX,@,BAL,-4,51.0,3.997,5,6.1,6,3,3,1,9,3,0,3.29,24,94,64,15,13,5,9,5,2,0,57,,,0,0,0,23,0,0,0,2,0,0,0.82,0.002,0.35,,,3,40
2016,112,2016-08-07.HOU201608070,TEX,@,HOU,2,53.2,,4,7.0,5,0,0,0,8,0,0,2.78,26,93,62,16,13,8,10,3,2,0,75,,,0,0,0,26,1,0,0,0,0,0,1.36,0.476,3.34,,,3,42
2016,117,2016-08-12.TEX201608120,TEX,,DET,3,51.8,9.997,4,6.2,5,4,2,1,5,1,1,2.77,28,107,71,19,11,7,14,6,2,0,56,,,0,0,0,26,2,0,0,0,0,1,0.52,0.107,0.47,,,0,38
2016,122,2016-08-17.TEX201608170,TEX,,OAK,4,56.2,9.996,4,7.0,8,2,2,1,9,2,0,2.75,29,99,65,18,15,4,15,10,0,0,61,,,0,0,0,28,1,0,0,1,0,0,1.18,0.176,1.17,,,0,42
2016,127,2016-08-24.CIN201608240,TEX,@,CIN,1,46.6,,6,6.0,4,5,3,5,5,0,1,2.91,28,100,56,15,5,5,12,7,2,0,48,,,0,0,0,21,1,0,1,0,1,0,1.48,-0.241,-2.0,,,3,36
2016,132,2016-08-29.TEX201608290,TEX,,SEA,3,51.8,9.995,4,6.2,6,3,3,2,9,0,0,3.01,28,110,76,18,13,6,11,4,0,0,57,,,1,0,0,26,1,0,0,0,0,0,0.67,0.216,2.28,,,0,38
2016,137,2016-09-04.TEX201609040,TEX,,HOU,-1,33.1,3.996,5,4.0,7,5,5,3,4,1,0,3.45,22,80,51,11,8,9,6,2,1,0,29,,,1,0,0,19,1,0,0,0,0,0,0.92,-0.236,-2.83,,,0,21
2016,142,2016-09-09.ANA201609090,TEX,@,LAA,1,52.1,,4,6.2,3,1,1,1,9,0,1,3.28,25,95,61,17,13,10,4,1,1,0,72,,,1,0,0,23,0,1,0,0,0,0,1.33,0.13,2.02,,,3,41
2016,149,2016-09-17.TEX201609170,TEX,,OAK,-9,39.7,3.995,7,5.0,7,7,7,4,8,2,0,3.81,26,86,50,16,7,4,10,6,0,0,29,,,0,0,0,21,0,0,0,0,1,0,0.66,-0.292,-4.28,,,0,27
2016,155,2016-09-24.OAK201609240,TEX,@,OAK,5,53.2,9.994,6,7.0,2,0,0,1,9,0,0,3.53,24,99,67,18,18,7,7,3,0,0,81,,,0,0,0,23,0,0,0,0,0,0,0.88,0.35,3.41,,,3,42
2016,160,2016-09-30.TEX201609300,TEX,,TBR,2,46.3,9.993,5,6.0,3,1,1,1,12,0,0,3.41,24,97,70,18,17,3,8,4,2,0,73,,,1,0,0,23,1,0,0,0,0,2,1.14,0.248,2.26,,,0,33
