col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,SHELAA 556,"Wombourne Police Station, Wombourne",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,387770,293162,0.4,not owned by a public authority,yes,not permissioned,,,,,11,The site is suitable,,,,,,,,,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,KV 361,"The Burgesses, High Street, Kinver",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,384712,283222,0.24,not owned by a public authority,yes,permissioned,full planning permission,13/12/2018,18/00322/FUL,,20,Demolition of existing bungalows. Erect 3 Storey residential apartments (20no 1 bedroom apartments) with communal lounge and providing 12 new car parking spaces to rear of building.,,,,,,,,,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,SHELAA 141,"154a Walsall Road, Great Wyrley",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,399254,307504,1.2,owned by a public authority,yes,not permissioned,,,,,27,The site is suitable,,,,,,,,21/11/2017,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,SHELAA 228,Adult Training Centre off Histons Hill,https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,386931,303222,0.7,owned by a public authority,yes,not permissioned,,,,,19,The site is suitable,,,,,,,,21/11/2017,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,SHELAA 281,"Land off Giggetty Lane, Wombourne",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,386420,292911,1.06,not owned by a public authority,yes,permissioned,outline planning permission,15/05/2015,14/00428/OUT,,19,"Demolition of 3 no. redundant industrial buildings/warehouses, re-configuartion of an existing accessway and the principle of the erection of 19 no. dwellings.",,,,,,,,21/11/2017,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,AC 82,"Springslade Works, Cannock Road, Bednall",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,396628,317152,0.7,not owned by a public authority,yes,permissioned,full planning permission,,,,6,Redevelopment of the existing buildings in general industrial (Class B2) use by way of the erection of 6 no. dwellinghouses with associated works,,,,,,,,21/11/2017,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,CD 191,"Terrace Nurseries, Oaken Drive, Codsall",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,385923,302783,0.79,not owned by a public authority,yes,permissioned,full planning permission,,,,12,Demolition of existing single- and two-storey buildings and development of 12 dwellings,,,,,,,,21/11/2017,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,ES/101,"Old Mitre, Bursnips Road, Essington",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,396968,303502,0.89,not owned by a public authority,yes,permissioned,,19/07/2018,18/00107/FUL,,9,"Existing building (Old Mitre public house) demolished. Proposed residential development to form 9 apartments (all 2 bed), with associated parking, cycle and bin storage. Existing vehicle access altered.",,,,,,,,,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,SHELAA 168,"Brinsford Lodge, Featherstone",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,393233,305197,2.5,not owned by a public authority,yes,not permissioned,,,,,60,The Site is suitable,,,,,,,,,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,GW 165,"Hazelbrook Indsutrial Estate, Hazel Lane, Great Wyrley",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,399982,306785,2.7,not owned by a public authority,yes,permissioned,reserved matters approval,03/03/2017,16/01023/REM,,17,The scale and appearance of the dwellings and landscaping of the site,,,,,,,,21/11/2017,19/02/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,PK 165,"Lyne Hill (Phase 3), Boscomoor Lane, Penkridge",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,392269,313191,5.5,not owned by a public authority,yes,permissioned,reserved matters approval,19/09/2016,15/01091/REM,,154,Revision of application for the approval of reserved matters to outline permission 12/00497/OUT. The application is for 154 units (increased from 144),,,,,,,,21/11/2017,19/03/2019
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,SHELAA 281b,"Land at Ounsdale, Wombourne",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB36,386441,293006,1.0,not owned by a public authority,yes,permissioned,full planning permission,07/02/2019,18/00432/FUL,,72,"Full planning application for the construction of a Class C2 66 bed care home, Class D1 children's day nursery and 6 no.2 bed apartment building.",,,,,,,,10/04/2019,
http://opendatacommunities.org/id/district-council/south-staffordshire,South Staffordshire District Council,SE01,"Boulton Farm, Boulton Lane, Saredon",https://www.sstaffs.gov.uk/planning/brownfield-land-register.cfm,OSGB37,395263,308608,1.0,not owned by a public authority,yes,permissioned,full planning permission,08/03/2019,18/00852/FUL,,5,Conversion of redundant barns to five dwellings with associated works,,,,,,,,10/04/2019,
