col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
1,10,144,144,144,custom01,,20,22,29,f,52,56,46
2,10,144,144,144,custom02,,20,22,29,f,35,35,31
3,11,177,173,169,custom02,,47,54,62,f,55,56,48
4,11,181,174,168,custom01,,47,54,62,f,56,60,51
5,16,118,112,129,custom01,,33,37,46,f,68,82,65
6,16,118,122,129,custom02,,33,37,46,f,56,82,65
7,17,175,174,196,custom01,,26,29,36,f,55,63,52
8,17,143,157,160,custom02,,17,19,34,f,67,74,68
9,20,232,233,234,custom01,brop01,210,210,210,f,55,55,55
10,20,232,233,234,custom02,brop02,210,210,210,f,55,55,55
11,21,232,233,234,custom01,brop01,210,210,210,f,55,55,55
12,21,232,233,234,custom02,brop02,210,210,210,f,55,55,55
13,18,201,204,176,custom01,,47,32,39,f,56,68,53
14,18,227,226,225,custom02,,47,32,39,f,61,70,51
15,19,201,204,176,custom01,,47,54,62,f,55,55,55
16,19,175,185,205,custom02,,47,54,62,f,63,67,75
17,17,177,173,169,custom03,,33,37,46,f,40,57,74
18,16,118,122,129,custom03,,33,37,46,f,56,87,97
19,18,227,226,225,custom03,,47,32,39,f,29,27,20
20,19,175,185,205,custom03,,47,54,62,f,38,31,28
21,10,144,144,144,custom03,,20,22,29,f,23,20,15
22,11,177,173,169,custom03,,47,54,62,f,27,26,24
23,20,232,233,234,custom03,brop03,210,210,210,f,55,55,55
24,20,232,233,234,custom04,blup01,210,210,210,f,55,55,55
25,20,232,233,234,custom05,blup02,210,210,210,f,55,55,55
26,20,232,233,234,custom06,blup03,210,210,210,f,55,55,55
27,20,232,233,234,custom07,grap01,210,210,210,f,55,55,55
28,20,232,233,234,custom08,grap02,210,210,210,f,55,55,55
29,20,232,233,234,custom09,grap03,210,210,210,f,55,55,55
30,21,232,233,234,custom03,brop03,210,210,210,f,55,55,55
31,21,232,233,234,custom04,grap01,210,210,210,f,55,55,55
32,21,232,233,234,custom05,grap02,210,210,210,f,55,55,55
33,21,232,233,234,custom06,grap03,210,210,210,f,55,55,55
34,21,232,233,234,custom07,whtp01,210,210,210,f,55,55,55
35,21,232,233,234,custom08,whtp02,210,210,210,f,55,55,55
36,21,232,233,234,custom09,whtp03,210,210,210,f,55,55,55
37,10,144,144,144,custom04,,41,57,61,f,45,60,57
38,10,99,91,84,custom05,,20,19,23,f,15,15,13
39,10,144,144,144,custom06,,27,26,22,f,41,58,43
40,11,177,173,169,custom04,,47,54,62,f,52,67,65
41,11,177,173,169,custom05,,34,30,26,f,13,12,11
42,11,174,168,181,custom06,,50,58,53,f,43,48,37
43,18,227,226,225,custom04,,49,40,30,f,56,78,66
44,18,227,226,225,custom05,,52,34,27,f,67,78,56
45,18,150,146,122,custom06,,37,39,44,f,34,32,23
46,19,208,202,172,custom04,,49,45,64,f,61,78,77
47,19,175,185,205,custom05,,62,60,47,f,57,72,81
48,19,203,191,177,custom06,,47,54,62,f,24,19,16
49,16,177,173,169,custom04,,44,50,29,f,54,75,75
50,16,163,174,182,custom05,,40,32,13,f,60,78,58
51,16,177,173,169,custom06,,47,32,37,f,36,38,40
52,17,201,208,209,custom04,,54,65,78,f,61,72,57
53,17,201,208,209,custom05,,50,60,71,f,41,69,73
54,17,207,205,190,custom06,,39,44,33,f,39,46,58
