col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,21800327,1610612753,ORL,Orlando,203613,Jonathon Simmons,F,,20:27,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,4.0,-10.0
1,21800327,1610612753,ORL,Orlando,203932,Aaron Gordon,F,,34:03,8.0,12.0,0.667,1.0,4.0,0.25,1.0,1.0,1.0,1.0,5.0,6.0,3.0,1.0,0.0,1.0,1.0,18.0,11.0
2,21800327,1610612753,ORL,Orlando,202696,Nikola Vucevic,C,,31:54,11.0,20.0,0.55,2.0,5.0,0.4,1.0,2.0,0.5,1.0,14.0,15.0,3.0,1.0,1.0,2.0,3.0,25.0,15.0
3,21800327,1610612753,ORL,Orlando,203095,Evan Fournier,G,,32:12,2.0,8.0,0.25,1.0,4.0,0.25,2.0,3.0,0.667,0.0,5.0,5.0,4.0,1.0,0.0,3.0,4.0,7.0,18.0
4,21800327,1610612753,ORL,Orlando,201571,D.J. Augustin,G,,28:44,6.0,9.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,2.0,0.0,16.0,9.0
5,21800327,1610612753,ORL,Orlando,1628371,Jonathan Isaac,,,26:29,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,12.0
6,21800327,1610612753,ORL,Orlando,203082,Terrence Ross,,,30:49,7.0,15.0,0.467,2.0,6.0,0.333,5.0,7.0,0.714,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,21.0,11.0
7,21800327,1610612753,ORL,Orlando,1626170,Jerian Grant,,,19:16,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0
8,21800327,1610612753,ORL,Orlando,1628964,Mo Bamba,,,16:06,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0
9,21800327,1610612753,ORL,Orlando,203920,Khem Birch,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
10,21800327,1610612753,ORL,Orlando,1628515,Isaiah Briscoe,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11,21800327,1610612753,ORL,Orlando,1628411,Wes Iwundu,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
12,21800327,1610612753,ORL,Orlando,1626185,Jarell Martin,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,21800327,1610612756,PHX,Phoenix,1628367,Josh Jackson,F,,38:14,5.0,21.0,0.238,0.0,4.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,7.0,1.0,0.0,1.0,1.0,10.0,-14.0
14,21800327,1610612756,PHX,Phoenix,2772,Trevor Ariza,F,,33:40,4.0,6.0,0.667,1.0,3.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,2.0,2.0,10.0,-10.0
15,21800327,1610612756,PHX,Phoenix,1629028,Deandre Ayton,C,,31:37,9.0,16.0,0.563,0.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,2.0,0.0,0.0,1.0,2.0,19.0,-17.0
16,21800327,1610612756,PHX,Phoenix,1628969,Mikal Bridges,G,,19:58,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,-10.0
17,21800327,1610612756,PHX,Phoenix,1629059,Elie Okobo,G,,28:55,4.0,11.0,0.364,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,3.0,9.0,2.0
18,21800327,1610612756,PHX,Phoenix,201583,Ryan Anderson,,,20:14,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0
19,21800327,1610612756,PHX,Phoenix,2037,Jamal Crawford,,,30:46,5.0,13.0,0.385,3.0,6.0,0.5,5.0,6.0,0.833,0.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,18.0,-10.0
20,21800327,1610612756,PHX,Phoenix,1626158,Richaun Holmes,,,16:23,2.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,3.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0
21,21800327,1610612756,PHX,Phoenix,1629001,De'Anthony Melton,,,4:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-10.0
22,21800327,1610612756,PHX,Phoenix,203584,Troy Daniels,,,15:57,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,8.0,-2.0
23,21800327,1610612756,PHX,Phoenix,1627733,Dragan Bender,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
24,21800327,1610612756,PHX,Phoenix,1626164,Devin Booker,,DND - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
