col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33
C1,0.1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C2,10 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C3,0.1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C5,4.7 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C6,0.1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C7,0.1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C8,4.7 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C9,1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C10,0.1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C11,0.1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C12,10 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C13,0.1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
C14,1 uF,C-EUC0201,C0201,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,C,,,,
IC4,CAT24M01HU5I-GT3,CAT24M01HU5I-GT3,SON50P300X200X55-9N,EEPROM 1MB I2C SERIAL EEPROM,70300250.0,http://www.alliedelec.com/on-semiconductor-cat24m01hu5i-gt3/70300250/,,,EEPROM 1MB I2C SERIAL EEPROM,,,0.55mm,,,ON Semiconductor,CAT24M01HU5I-GT3,,,863-CAT24M01HU5I-GT3,https://www.mouser.com/Search/Refine.aspx?Keyword=863-CAT24M01HU5I-GT3,,,,,,,7814831P,http://uk.rs-online.com/web/p/products/7814831P,,,,,
J1,,CONN_01PTH_NO_SILK_YES_STOP,1X01_NO_SILK,Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,,CONN_01PTH_NO_SILK_SMALL,1X01_SMALL,Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J3,,CONN_01PTH_NO_SILK_YES_STOP,1X01_NO_SILK,Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J4,,CONN_031X03_1.27_NO_SILK,1X03_1.27MM_NO_SILK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5,,CONN_041.27MM_NO_SILK,1X04_1.27MM_NO_SILK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J6,,CONN_041.27MM_NO_SILK,1X04_1.27MM_NO_SILK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J7,,CONN_07NO_SILK,1X07_NO_SILK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP1,JUMPER-SMT_2_NC_TRACE_NO-SILK,JUMPER-SMT_2_NC_TRACE_NO-SILK,SMT-JUMPER_2_NC_TRACE_NO-SILK,Normally closed trace jumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,FERRITE_BEAD-120_OHM_TIGHT,FERRITE_BEAD-120_OHM_TIGHT,0402-TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L4,FERRITE_BEAD-120_OHM_TIGHT,FERRITE_BEAD-120_OHM_TIGHT,0402-TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PDTA143TMB,1",TINYPICO-PNPAMB,TINYPICO-PNPAMB,SOT883(B),PNP general purpose transistorsAAL Eindhoven MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PDTA143TMB,315",TINYPICO-PNPAMB,TINYPICO-PNPAMB,SOT883(B),PNP general purpose transistorsAAL Eindhoven MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,4.7 k,R-EU_R0201,R0201,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,R,,,,
R2,4.7 k,R-EU_R0201,R0201,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,R,,,,
R3,10k,R-EU_R0201,R0201,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,R,,,,
R4,100k,R-EU_R0201,R0201,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,R,,,,
R5,100k,R-EU_R0201,R0201,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,R,,,,
R6,10 M,R-EU_R0201,R0201,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,R,,,,
R7,4.7 M,R-EU_R0201,R0201,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,0.0,,,,,,R,,,,
U$1,SCD40,SCD40,SCD40_LGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U1,TYPEABZ,TYPEABZ,TYPEABZ,CMWX1ZZABZ-078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U2,UBLOX_ZOE_M8-0-10,UBLOX_ZOE_M8-0-10,UBLOX_ZOE_M8-0-10,UBLOX ZOE-M8Q-0-10,,,,,,,,,,,,,,,,,,,,,IC-14251,,,,,,,,
U3,MICROCHIP_MCP1810T-33I-J8AMICROCHIP_MCP1810T-33I-J8A_0_0,MICROCHIP_MCP1810T-33I-J8AMICROCHIP_MCP1810T-33I-J8A_0_0,MICROCHIP_MCP1810T-33I-J8A_0,Ultra-Low Quiescent Current LDO Regulator,,,No,http://ww1.microchip.com/downloads/en/DeviceDoc/20005623A.pdf,,IC REG LINEAR 150MA 8-VDFN,MCP1810T-33I/J8ACT-ND,,DFN200X200X85-8,yes,,,Microchip,C04-3207A,579-MCP1810T-33I/J8A,,MCP1810T-33I/J8A,VDFN8,,U,,yes,,,,+85°C,-40°C,,
U5,BME680BME680,BME680BME680,LGA3.0X3.0,Bosch BME680 &ndash; Combined Humidity and Pressure Sensor,,,,,,,,,,,,,,,,,,,,,IC-14656,,,,,,,,
Y1,32.768kHz,CRYSTAL-32.768KHZ,CRYSTAL-SMD-1.0X1.2MM,32.768kHz Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC12S-7PF20PPM,
Y2,W3011,GPS_CHIP_ANTENNAW3011,W3011,,,,,,,,,,,,,,,,,,,,,,ANT-14304,,,,,,,,
