col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
John Hoeven,North Dakota,2016,268788,342501,78%,3797124,Indian Affairs,C,4,2016,Hoeven,John,ND,78
Michael B. Enzi,Wyoming,2014,121554,171153,71%,3772045,Budget,B,3,1997,Enzi,Michael,WY,71
James Lankford,Oklahoma,2016,980892,1448047,68%,7243412,Ethics,C,4,2014,Lankford,James,OK,68
James M. Inhofe,Oklahoma,2014,558166,820733,68%,4841285,Armed Services,SA,1,1994,Inhofe,James,OK,68
Susan M Collins,Maine,2014,413505,616996,67%,6228159,Aging,B,3,1996,Collins,Susan,ME,67
John Barrasso,Wyoming,2018,136210,203420,67%,7380997,Environment and Public Works,A,2,2019,Barrasso,John,WY,67
Mike Crapo,Idaho,2016,449017,678943,66%,5875081,"Banking, Housing and Urban Affairs",A,2,1999,Crapo,Mike,ID,66
James E. Risch,Idaho,2014,285596,437170,65%,2902855,Foreign Relations,SA,1,2009,Risch,James,ID,65
Richard C. Shelby,Alabama,2016,1335104,2087444,64%,4890271,Appropriations,SA,1,1987,Shelby,Richard,AL,64
Jerry Moran,Kansas,2016,732376,1177922,62%,6617848,Veterans' Affairs,B,3,2007,Moran,Jerry,KS,62
Lamar Alexander,Tennessee,2014,850087,1374065,62%,8201067,"Health, Education, Labor and Pensions",A,2,2003,Alexander,Lamar,TN,62
Chuck Grassley,Iowa,2016,926007,1541036,60%,9828566,Finance,SA,1,1981,Grassley,Chuck,IA,60
Lindsey Graham,South Carolina,2014,672941,1240075,54%,11056889,Judiciary,A,2,2003,Graham,Lindsey,SC,54
Pat Roberts,Kansas,2014,460350,866191,53%,8040544,"Agriculture, Nutrition and Forestry",A,2,1997,Roberts,Pat,KS,53
Marco Rubio,Florida,2016,4835191,9301820,52%,25254738,Intelligence & Small Business and Entrepreneurship,"A,B","2,3",2011,Rubio,Marco,FL,52
Ron Johnson,Wisconsin,2014,1125999,2171331,52%,18631193,Homeland Security and Governmental Affairs,A,2,2011,Johnson,Ron,WI,52
Richard Burr,North Carolina,2016,2395376,4691133,51%,8910533,Intelligence,A,2,2004,Burr,Richard,NC,51
Roy Blunt,Missouri,2016,1378458,2802641,49%,15893492,Rules and Administration,B,3,2011,Blunt,Roy,MO,49
Lisa Murkowski,Alaska,2016,138149,311441,44%,6058418,Energy and Natural Resources,A,2,2002,Murkowski,Lisa,AK,44
Roger F. Wicker,Mississippi,2018,547619,1843803,30%,6568817,"Commerce, Science and Transportation",A,2,2007,Wicker,Roger,MS,30
