col0,col1,col2,col3,col4
adyg1241-ap1,Adyghe Antipassive Construction 1,,adyg1241,LetuchiyA.B2012;ArkadievLetuchiy2021
bant1281-ap1,Bantawa Antipassive Construction 1,,bant1281,Doornenbal2009
bant1281-ap2,Bantawa Antipassive Construction 2,,bant1281,Doornenbal2009
cavi1250-ap1,Cavineña Antipassive Construction 1,,cavi1250,Guillaume2008;GuillaumeVuillermet2010
cavi1250-ap2,Cavineña Antipassive Construction 2,,cavi1250,Guillaume2008;GuillaumeVuillermet2010
cent2127-ap1,Central Alaskan Yupik Antipassive Construction 1,,cent2127,Miyaoka2012
cent2127-ap2,Central Alaskan Yupik Antipassive Construction 2,,cent2127,Miyaoka2012
cham1312-ap1,Chamorro Antipassive Construction 1,,cham1312,Cooreman1987
chuk1273-ap1,Chukchi Antipassive Construction 1,,chuk1273,Dunn1999
chuk1273-ap2,Chukchi Antipassive Construction 2,,chuk1273,Dunn1999
coma1245-ap1,Comanche Antipassive Construction 1,,coma1245,Charney1993
khin1240-ap1,Dargwa-Tanty Antipassive Construction 1,,khin1240,SumbatovaLander2014
dyir1250-ap1,Dyirbal Antipassive Construction 1,,dyir1250,Dixon1972
esee1248-ap1,Ese_ejja Antipassive Construction 1,,esee1248,Guillaume2008;GuillaumeVuillermet2010
halk1245-ap1,Halkomelem Antipassive Construction 1,,halk1245,GerdtsHukari2005
hinu1240-ap1,Hinuq Antipassive Construction 1,,hinu1240,Forker2013
east2534-ap1,Inuktitut Antipassive Construction 1,,east2534,Spreng2002;Spreng2005
popt1235-ap1,Jacaltec Antipassive Construction 1,,popt1235,Grinvald-Craig1979
jiar1240-ap1,Japhug (Rgyalrong) Antipassive Construction 1,,jiar1240,Jacques2014
kaqc1270-ap1,Kaqchikel Antipassive Construction 1,,kaqc1270,Heaton2016
kaqc1270-ap2,Kaqchikel Antipassive Construction 2,,kaqc1270,Heaton2016
kana1291-ap1,Katukina-Kanamari Antipassive Construction 1,,kana1291,Queixalo2012
mamm1241-ap1,Mam Antipassive Construction 1,,mamm1241,England1983
nezp1238-ap1,Nez Perce Antipassive Construction 1,,nezp1238,Rude1985
nyam1271-ap1,Ngarla Antipassive Construction 1,,nyam1271,Westerlund2013
pari1256-ap1,Päri Antipassive Construction 1,,pari1256,Andersen1988
puma1239-ap1,Puma Antipassive Construction 1,,puma1239,Sharma2014
waru1264-ap1,Warrungu (Warrongo) Antipassive Construction 1,,waru1264,Tsunoda2011
kala1399-ap1,West Greenlandic (Kalaallisut) Antipassive Construction 1,,kala1399,Bittner1994;Schmidt2003
yakk1236-ap1,Yakkha Antipassive Construction 1,,yakk1236,Schackow2015
yidi1250-ap1,Yidiny Antipassive Construction 1,,yidi1250,Dixon1977
taga1270-ap1,Tagalog Antipassive Construction 1,,taga1270,Aldridge2012
akaw1239-ap1,Akawaio Antipassive Construction 1,,akaw1239,SapiénMeira2021
cari1279-ap1,Kari’Nja (Carijona) Antipassive Construction 1,,cari1279,SapiénMeira2021
hixk1239-ap1,Hixkaryana Antipassive Construction 1,,hixk1239,SapiénMeira2021
moco1246-ap1,Mocoví Antipassive Construction 1,,moco1246,JuarezGonzalez2019
como1259-ap1,Sliammon Antipassive Construction 1,,como1259,Watanabe2003
coeu1236-ap1,Cœur D'Alene Antipassive Construction 1,,coeu1236,Doak1997
nort2943-ap1,Malimiut Inupiaq Antipassive Construction 1,,nort2943,Lanz2010
mats1244-ap1,Matsés Antipassive Construction 1,,mats1244,Fleck2003
mats1244-ap2,Matsés Antipassive Construction 2,,mats1244,Fleck2003
movi1243-ap1,Movima Antipassive Construction 1,,movi1243,Haude2006;Haude2016
gang1267-ap1,Yukulta Antipassive Construction 1,,gang1267,Keen1983
