col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
Warrior,WARRIOR,Warrior,,PET,1,0,0,626008,0,1,791568,5170,0,71,5,1,0,0,1,4
Paladin,PALADIN,Paladin,,PET,2,0,0,626003,0,1,791563,4154,0,70,5,0,0,0,1,10
Hunter,HUNTER,Hunter,,PET,3,0,0,626000,0,1,791560,406,0,253,2,2,1,1,0,9
Rogue,ROGUE,Rogue,,PET,4,0,0,626005,0,1,791565,4098,0,259,3,3,1,1,0,8
Priest,PRIEST,Priest,,PET,5,0,0,626004,0,1,791564,2,0,256,0,0,0,0,0,6
Death Knight,DEATHKNIGHT,Death Knight,,PET,6,236082,236082,135771,1560617,55,791558,9338,165,251,5,6,0,0,1,15
Shaman,SHAMAN,Shaman,,PET,7,0,0,626006,0,1,791566,26,0,262,0,0,0,1,0,11
Mage,MAGE,Mage,,PET,8,0,0,626001,0,1,791561,4098,0,62,0,0,0,0,0,3
Warlock,WARLOCK,Warlock,,DEMON,9,0,0,626007,0,1,791567,134,0,265,0,0,0,0,0,5
Monk,MONK,Monk,,PET,10,0,0,626002,0,1,791562,1538,0,268,2,3,0,1,0,53
Druid,DRUID,Druid,,PET,11,0,0,625999,0,1,791559,10,0,102,0,0,0,1,0,7
Demon Hunter,DEMONHUNTER,Demon Hunter,,PET,12,1305036,1305036,236415,1560446,98,1004940,75,0,577,3,17,0,1,0,107
