col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44
1,+,+,+,+,+,-,<E>,-,désigner,+,-,-,+,<E>,+,+,+,+,+,-,à,+,+,-,-,-,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,Max désigne Luc à Léa pour faire ce travail
2,+,+,+,+,-,-,<E>,-,distinguer,+,-,-,-,<E>,+,+,+,+,-,-,de,+,-,+,+,-,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,Max distingue Luc pour accepter ce poste
3,+,+,+,-,+,-,<E>,-,donner,+,-,-,+,<E>,-,-,+,+,+,-,à,+,+,-,-,-,pour,-,+,-,+,-,+,+,-,-,-,-,+,-,+,+,-,Max donne Huit jours à Luc pour se décider
4,+,+,+,+,-,-,<E>,-,donner,+,-,-,-,à,+,+,-,-,-,-,comme,-,-,+,-,-,<E>,-,+,-,-,+,-,+,+,-,-,-,+,+,-,-,+,Max a donné à Luc comme principe qu'il devait avouer
5,+,+,+,+,-,-,<E>,-,enrégimenter,+,-,+,+,<E>,+,+,-,-,+,-,dans,-,-,+,+,-,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,On a enrégimenté Max dans l'armée pour laver les toilettes
6,+,+,+,+,-,-,<E>,-,enrôler,+,-,-,+,<E>,+,+,-,-,+,-,parmi,+,-,-,-,-,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,Max a enrôlé Luc dans son équipe pour laver les vitres
7,+,+,+,+,-,-,<E>,-,équiper,+,-,+,+,<E>,+,+,-,-,+,-,avec,-,-,+,-,-,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,On a équipé Max d'un chrono pour mesurer la cadence
8,+,-,-,-,-,-,<E>,-,excuser,+,-,-,+,<E>,+,+,-,-,+,-,auprès de,+,-,-,-,-,de+pour,+,+,-,+,-,-,+,+,-,-,-,+,+,+,+,-,Max excuse Léa auprès de Luc de n'être pas venu
9,+,+,+,+,-,-,<E>,-,mandater,+,-,+,+,<E>,+,+,-,-,+,-,de,-,-,+,+,-,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,Max a mandaté Luc d'une procuration pour retirer les fonds
10,+,-,-,-,-,-,<E>,-,miser,+,-,-,+,<E>,-,-,+,+,+,+,sur,+,-,+,-,+,pour,-,+,+,-,-,-,+,-,-,-,-,+,-,+,+,+,Max mise sur le courage de Luc pour qu'il fasse le travail
