col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
Bitmessage,Jonathan Warren,2012 Nov,Open standard,Alphanumeric address,Yes,Yes,Yes,Yes,No,Yes,Yes (through proof-of-work),Yes,No,No,Yes,No,Yes,Bitmessage
Bonjour,Apple Inc.,2002 August,Proprietary Freeware; portions under the Apache license,Username,No,No,No,Yes,No,multicast,Medium,No,No,No,Yes,No,Yes,Bonjour
Briar,Briarproject.org,2018 May 9,Open standard,Public & Private key (via QR Codes),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Briar
Gadu-Gadu,GG Network,2000 Jul 17,Proprietary,Unique number e.g. 12345678,Yes,Yes,No,Yes,No,Centralistic,Yes 5 (simple),Yes,Yes,Yes,Yes,No,No,Gadu-Gadu
IRC,Jarkko Oikarinen,1988 Aug,Open standard,"Nickname!Username@hostname (or ""hostmask"") e.g. user!~usr@a.b.com1","Yes, but via a memo system that differs from the main system","Yes, depending on individual server support",OTR by DM to client-to-client only,No3,No,Simplistic multicast,Medium,"Yes (everyone, multiple simultaneous, any size)",No,No,Yes,No,No,IRC
Echo,spot-on.sf.net / goldbug.sf.net,2013,Open standard,Key,Yes,"Yes, optional",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Echo
Matrix,Matrix.org,2014 Sep[1][failed verification],Open standard,Matrix user ID (MXID),Yes,"Yes, mandatory","Yes, default for private conversations[2]",Yes,Yes,Yes,Yes (using pluggable server-side filtering modules),Yes,Yes,Yes,Yes,Yes,Yes,Matrix
"MSNP (Windows Live Messenger, etc.)",Microsoft,1999 Jul,Proprietary,Email address (Microsoft account),Yes,No,No,Only for certified robots,No,Centralistic,Yes,Yes,Yes,Yes,Yes,Yes,No,"MSNP (Windows Live Messenger, etc.)"
MTProto (Telegram),Telegram Messenger LLP,2013 Aug,Open standard,"Phone number (e.g. +1234567890), nickname (e.g. @example)",Yes,Yes,No end-to-end encryption for group chats on any client. No end-to-end encrypted one-on-one chats on desktop clients,Yes,No,Yes,"Yes, contact blocking",Yes,Yes[3],Yes,Yes,Yes,No,MTProto (Telegram)
Mumble,Thorvald Natvig,1999 Jul,Open standard,Username,Yes,Yes,No,Only for certified robots,No,Centralistic,Yes,Yes,Yes,No,Yes,No,No,Mumble
