col0,col1,col2,col3,col4,col5,col6,col7,col8
Actinomyces neuii,679502255.0,http://dbpedia.org/resource/Actinomycetaceae,1985,Actinomyces,lightgrey,47252764,Actinomyces neuii,http://dbpedia.org/resource/Bacteria
Meiothermus timidus,675376017.0,http://dbpedia.org/resource/Thermaceae,,,lightgrey,47237837,,http://dbpedia.org/resource/Bacteria
Sporomusa ovata,676874154.0,http://dbpedia.org/resource/Negativicutes,Möller et al. 1984,Sporomusa,,47523875,Sporomusa ovata,http://dbpedia.org/resource/Bacteria
Sphaerisporangium cinnabarinum,681644678.0,http://dbpedia.org/resource/Streptosporangiaceae,,Sphaerisporangium,lightgrey,47862592,,http://dbpedia.org/resource/Bacteria
Sphaerisporangium melleum,681644828.0,http://dbpedia.org/resource/Streptosporangiaceae,,Sphaerisporangium,lightgrey,47862572,,http://dbpedia.org/resource/Bacteria
Sphaerisporangium rubeum,681644589.0,http://dbpedia.org/resource/Streptosporangiaceae,,Sphaerisporangium,lightgrey,47862583,,http://dbpedia.org/resource/Bacteria
Proteus (bacterium),676107231.0,,,,,663974,,
Sporichthya,679087154.0,Sporichthyaceae (Rainey et al. 1997 emend. Zhi et al. 2009),,Sporichthya (Lechevalier et al. 1968),,34004526,,http://dbpedia.org/resource/Bacteria
Tetracoccus (bacterium),637046529.0,,,,,12861495,,
真正細菌,683386317.0,,,,,9028799,,
Planctomycetes,678161052.0,,,,,954774,,
Rickettsia rickettsii,,,,,,993373,,
Alkalibacter,678460537.0,http://dbpedia.org/resource/Carnobacteriaceae,Ntougias and Russell 2001,Alkalibacterium,,31911496,,http://dbpedia.org/resource/Bacteria
Coriobacteriaceae,659887367.0,,,,,3530476,,
Stappia,675093091.0,,,,,12861417,,
Citreicella,675078402.0,,,,,12857535,,
Propionibacterineae,679019756.0,,,,,34037508,,http://dbpedia.org/resource/Bacteria
Syntrophus buswellii,651612980.0,,Mountfort et al. 1984,,,40421582,Syntrophus buswellii,http://dbpedia.org/resource/Bacteria
Thermoanaerobacter mathranii,495510273.0,http://dbpedia.org/resource/Thermoanaerobacteraceae,,Thermoanaerobacter,,35997067,,http://dbpedia.org/resource/Bacteria
