col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
1.0,0.44836,0.11912,0.00039,21966.96591,1.79737,1.0,1.79738,1.0,0.0,0.44836,0.46462,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,25.31934
7.0,0.59964,0.11912,0.00068,22744.74369,1.80897,1.0,1.80886,1.0,0.0,0.59964,0.62139,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,79.61464
13.0,0.42335,0.06597,0.0039,2579507.25942,3.49846,1.0,3.49493,0.67495,0.0,0.42335,0.43871,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,92.74774
19.0,0.41708,0.07958,0.00059,23271.69965,1.81661,1.0,1.81661,1.0,0.0,0.41708,0.4322,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,56.98101
25.0,0.46568,0.18197,0.00705,22010.04388,1.79803,1.0,1.79826,1.0,0.0,0.46568,0.48257,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.00079
31.0,0.5099,0.18197,0.00245,98626.79183,2.34787,1.0,2.33176,0.83358,0.0,0.5099,0.52839,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.00077
37.0,0.40105,0.09319,0.00625,5074.71467,1.87984,1.0,1.86743,0.08905,0.0,0.40105,0.41559,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,43.62272
43.0,0.4662,0.11288,0.00165,21122.12901,1.7843,1.0,1.7843,1.0,0.0,0.4662,0.48311,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,49.35046
49.0,0.64611,0.16415,0.00596,21966.84738,1.79737,1.0,1.79737,1.0,0.0,0.64611,0.66955,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,76.79886
61.0,0.55486,0.14685,0.00399,22300.5401,1.8024,1.0,1.8024,1.0,0.0,0.55486,0.57499,0.3,0.0,6e-05,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,100000000000000.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,42.59178
