col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
1,always_friendly,SYSTEM,-1,15,1,0,f,t,f,0
2,always_neutral,SYSTEM,-1,15,1,0,f,t,f,0
3,always_hostile,SYSTEM,-1,15,1,0,f,t,f,0
101,초승달 왕좌,,1,1,1,148,f,t,f,0
102,이즈나 왕가,,1,2,1,148,f,t,f,0
103,꿈의 유배자들,,1,3,1,148,f,t,f,0
104,안델프,,1,4,1,148,f,t,f,0
105,위어드윈드,,1,5,1,148,f,t,f,0
106,트리스테,,1,6,1,148,f,t,f,0
107,노르예트,,1,7,1,148,f,t,f,0
108,동방 이슈바라,,1,8,1,149,f,t,f,0
109,서방 이슈바라,,1,9,1,149,f,t,f,0
110,남방 이슈바라,,1,10,1,149,f,t,f,0
111,북방 이슈바라,,1,11,1,149,f,t,f,0
112,기도자의 성,,1,12,1,149,f,t,f,0
113,이동하는 제국,,1,13,1,149,f,t,f,0
114,무법자,,1,14,1,0,f,t,f,0
115,몬스터,,1,29,1,0,f,f,f,0
116,동물,,1,331,1,0,f,t,f,0
117,temp_whistler,,1,435,1,0,f,t,f,0
118,temp_murderer,,1,585,1,0,t,t,f,0
119,temp_silence_forrest,,1,609,1,0,f,t,f,0
120,temp_watchman_of_forrest,,1,3679,1,0,f,t,f,0
121,temp_not_attack_station_man,,1,678,1,0,f,t,f,0
122,temp_station_association,,1,852,1,0,f,t,f,0
123,towerD_offroad,,1,5136,1,0,f,t,f,0
124,towerD_onroad,,1,5138,1,0,f,t,f,0
125,towerD_mercenary,,1,5141,1,0,f,t,f,0
126,towerD_target,,1,5133,1,0,f,t,f,0
127,towerO_tanker,,1,5143,1,0,f,t,f,0
128,towerO_destroyer,,1,5144,1,0,f,t,f,0
129,towerO_annihilator,,1,5145,1,0,f,t,f,0
130,towerO_assassin,,1,5146,1,0,f,t,f,0
131,안델프 원로원 A파 (삭제 예정 사용 금지),,1,16,1,0,f,t,f,0
132,안델프 원로원 B파 (삭제 예정 사용 금지),,1,22,1,0,f,t,f,0
133,피묻은 손 변장,,1,4971,1,0,f,t,f,0
134,살리움,,1,2442,1,0,f,f,f,149
135,일리온,,1,2441,1,0,f,f,f,148
136,피묻은 손 변장감지,,1,4950,1,0,f,t,f,0
137,피묻은 손,,1,4955,1,0,f,t,f,0
138,mahadevi_wereshark,,1,2501,1,0,t,t,f,0
139,mahadevi_Lashya,,1,5205,1,0,t,t,f,0
140,mahadevi_monster,,1,2521,1,155,f,f,f,0
141,mahadevi_hill_astra,,1,3013,1,0,f,t,f,0
142,고고학회,,1,1696,1,0,f,t,f,0
143,3군단,,1,15,1,0,t,t,f,0
144,이즈나 경비대,,1,17,1,0,t,t,f,0
145,누이아 NPC 연합 - 삭제 예정,,1,5942,1,148,f,t,f,0
146,하리하라 NPC 연합 - 삭제 예정,,1,5943,1,149,f,t,f,0
147,중립 NPC 연합,,1,5944,1,0,f,t,f,0
148,누이아 연합,,1,5945,1,0,f,t,t,0
149,하리하라 연합,,1,5946,1,0,f,t,t,0
150,중립 NPC 연합 A,,1,5947,1,0,f,t,f,0
151,중립 NPC 연합 B,,1,5948,1,0,f,t,f,0
152,초식 NPC,,1,5951,1,153,f,t,f,0
153,보호받을 NPC 연합,,1,5952,1,0,f,t,f,0
154,포식자 NPC,,1,5950,1,155,f,t,f,0
155,생태계 NPC 연합 ,,1,5949,1,0,f,t,f,0
156,ostera,,1,5526,1,147,f,t,f,0
157,naryana,,1,3399,1,0,f,t,f,0
158,evergreen,,1,3433,1,0,f,t,f,0
159,홍군,,1,6545,1,0,f,t,f,0
160,청군,,1,6546,1,0,f,t,f,0
161,해적,,1,18,1,114,f,t,f,0
162,중립 가드,,1,8242,1,0,f,t,f,0
163,피 묻은 손 변장(동부),,1,8639,1,0,f,t,f,0
164,반 해적 연합,,1,8767,1,0,f,t,f,0
165,PC_friendly,,1,19,1,0,f,t,f,0
166,국가 독립 기본 세력 설정,,1,20,1,0,f,t,f,0
167,누이아 경비병,,1,8172,1,0,f,t,f,148
168,하리하라 경비병,,1,8174,1,0,f,t,f,149
169,"중립 경비병(사용 안함, 중립 가드 사용)",,1,1067,1,0,f,t,f,0
170,허수아비,,1,7511,1,0,f,f,f,0
171,서대륙 전선 감시,,1,13135,1,0,f,t,f,148
172,어류,,1,21,1,0,f,f,f,0
173,동대륙 전선 감시,,1,13136,1,0,f,t,f,149
174,해적 전선 감시,,1,13142,1,0,f,t,f,0
175,필드 전쟁(누이아측),,1,23,1,0,f,t,f,0
176,필드 전쟁(하리하라측),,1,24,1,0,f,t,f,0
177,사용자 국가 우호(누이 하리 해적 적대),,1,25,1,0,f,t,f,0
