col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
,general,,,,,,,,,,,,,,,
food,bite-small3,food,,0.5,50.0,,True,,,,,,,,,food
worker,,!Icons/ui:worker,0,0.0,100.0,,True,,,,,,,,,
inhabitant,,inhabitant,0,0.0,100.0,,True,,,,,,,,,
gold,,gold,5,0.25,50.0,,,,,,,,,,,
buildTime,,build,0,0.0,,,True,,,,,,,,,
tool,,tool,14,1.0,50.0,,,,,,,,,,,
religion,,religion,,,,,True,,,,,,,,,
construction,,construction,,,,,True,,,,,,,,,construction
,light,,,,,,,,,,,,,,,
wood,interface5,!Icons/base:wood,4,1.0,50.0,,,!Icons/timeFantasy_craft16:wood1=1,!Icons/timeFantasy_craft16:wood100=100,,,1.0,,buildTime=50%,construction;fuel,
cobblestone,,!Icons/base:cobblestone,5,1.25,,,,,,,,1.5,,buildTime=150%,construction,
water,,!Icons/magic:water,1,1.0,,,,,,,,,,,,
fish,,!Icons/base:fish,2,,,,,,,,,,,,food,
meat,,!Icons/base:meat,2,,,,,,,,,,,,food,
research,,research,0,0.0,50.0,,True,,,,,,,,,
,shadow,,,,,,,,,,,,,,,
stone,metalPot3,!Icons/icons:stone,6,1.0,50.0,,,!Icons/timeFantasy_craft16:stone1=1,!Icons/timeFantasy_craft16:stone50=50,!Icons/timeFantasy_craft16:stone250=250,!Icons/timeFantasy_craft16:stone500=500,2.0,,buildTime=200%,construction,
dirt,,!Icons/timeFantasy_craft:dirt,2,1.0,,,,,,,,1.0,,buildTime=50%,construction,
sand,,!Icons/timeFantasy_craft:sand,1,1.0,,,,,,,,0.5,,buildTime=200%,construction,
mushroom,,!Icons/magic:mushroom,3,,,,,,,,,,,,food,
,earth,,,,,,,,,,,,,,,
copper,,!Icons/mining:copper,3,,,,,!Icons/timeFantasy_craft16:copper1=1,!Icons/timeFantasy_craft16:copper50=50,!Icons/timeFantasy_craft16:copper250=250,!Icons/timeFantasy_craft16:copper500=500,,,,metal,
ironore,,!Icons/mining:ironore,,,,,,!Icons/timeFantasy_craft16:ironore1=1,!Icons/timeFantasy_craft16:ironore50=50,!Icons/timeFantasy_craft16:ironore250=250,!Icons/timeFantasy_craft16:ironore500=500,,,,metal,
iron,,!Icons/mining:iron,,,,,,,,,,2.5,,buildTime=300%,construction,
