col0,col1,col2,col3,col4,col5,col6,col7
99,100101.0,no,instock,no,0,simple,
96,100201.0,yes,instock,yes,12,simple,
93,100301.0,yes,instock,yes,10,variable,
139,,yes,instock,yes,100,product-variant,93.0
140,,yes,instock,no,30,product-variant,93.0
141,,yes,instock,no,30,product-variant,93.0
142,,yes,instock,no,0,product-variant,93.0
143,,yes,instock,no,0,product-variant,93.0
131,,yes,instock,no,0,product-variant,93.0
132,,yes,instock,no,0,product-variant,93.0
133,,yes,instock,no,0,product-variant,93.0
134,,yes,instock,no,0,product-variant,93.0
135,,yes,instock,no,0,product-variant,93.0
136,,yes,instock,no,0,product-variant,93.0
137,,yes,instock,no,0,product-variant,93.0
138,,yes,instock,no,0,product-variant,93.0
122,100304.0,yes,instock,no,0,product-variant,93.0
123,100305.0,yes,instock,no,0,product-variant,93.0
124,100306.0,yes,instock,no,0,product-variant,93.0
125,100307.0,yes,instock,no,0,product-variant,93.0
126,100308.0,yes,instock,no,0,product-variant,93.0
127,100309.0,yes,instock,no,0,product-variant,93.0
128,,yes,instock,no,0,product-variant,93.0
129,,yes,instock,no,0,product-variant,93.0
130,,yes,instock,no,0,product-variant,93.0
120,100302.0,yes,instock,yes,10,product-variant,93.0
121,100303.0,yes,instock,no,20,product-variant,93.0
90,,no,instock,no,0,simple,
87,,yes,instock,no,22,simple,
83,,yes,instock,yes,13,simple,
79,,no,outofstock,notify,4,simple,
76,,yes,instock,no,25,simple,
73,,yes,instock,no,33,simple,
70,,no,instock,no,24,simple,
67,,yes,instock,no,18,simple,
60,,yes,instock,no,32,simple,
56,,yes,instock,no,26,simple,
53,,yes,instock,no,22,simple,
50,,yes,instock,no,15,simple,
47,,yes,instock,no,18,simple,
40,,no,instock,no,0,variable,
41,,,,,0,product-variant,40.0
42,,,,,18,product-variant,40.0
37,,yes,instock,no,28,simple,
34,,yes,instock,no,29,simple,
31,,yes,instock,no,19,simple,
22,,no,instock,no,0,variable,
24,,,,,0,product-variant,22.0
23,,,,,0,product-variant,22.0
19,,yes,instock,no,21,simple,
15,,yes,instock,no,4,simple,
