col0,col1,col2,col3
1,1,1,0
2,2,1,2
3,2,1,1
4,1,1,0
5,2,1,0
6,1,1,0
7,1,1,0
8,1,1,0
9,0,1,0
10,2,1,2
13,2,1,2
14,2,1,2
15,2,1,6
17,2,2,3
18,2,1,2
19,2,3,4
20,2,1,6
21,4,2,7
22,2,1,1
23,2,1,1
24,2,1,2
25,2,1,2
26,2,2,3
27,2,1,2
28,2,3,4
29,2,1,2
30,2,1,2
31,2,1,2
32,2,1,2
33,2,1,2
34,2,1,2
35,2,1,2
36,2,1,2
37,2,1,2
38,2,1,2
39,2,1,2
40,2,1,2
41,2,1,2
42,2,1,2
43,2,1,2
44,2,1,2
45,2,1,2
46,2,1,2
47,2,1,2
48,2,1,2
49,2,1,2
50,2,1,1
51,2,1,1
52,2,2,3
53,2,2,3
54,2,1,2
55,2,2,3
56,2,2,3
57,2,1,2
58,2,3,4
59,2,1,2
61,2,1,6
62,2,2,3
63,2,1,2
64,2,1,6
65,0,1,6
66,2,1,6
67,2,1,6
68,2,1,6
69,80,1,1
70,2,1,2
71,2,1,2
72,2,1,2
73,2,1,2
74,2,1,2
75,2,1,2
76,2,1,2
77,2,1,2
78,2,1,2
79,2,1,2
80,2,2,3
81,2,1,3
82,2,1,2
83,2,1,2
84,2,2,3
85,2,2,3
86,2,1,2
87,2,1,2
88,2,1,6
91,2,1,6
92,2,1,6
94,80,1,1
95,80,1,1
96,2,1,2
97,2,1,2
98,2,1,2
99,2,1,2
100,2,1,2
101,2,1,2
102,2,1,2
103,2,1,2
104,2,1,2
105,2,1,2
106,2,1,2
107,2,1,2
108,2,1,2
109,2,1,2
110,2,1,2
111,2,1,2
112,2,1,2
113,2,1,2
114,2,1,2
115,2,1,2
116,2,3,4
117,2,3,4
118,2,3,4
119,2,3,4
120,2,1,2
121,2,1,2
122,2,1,2
123,2,1,2
124,2,1,2
125,2,1,2
126,2,3,4
127,2,2,3
128,2,2,3
129,2,1,2
130,2,1,2
131,2,1,1
133,2,1,2
135,2,2,7
137,2,2,3
138,2,2,3
139,2,1,2
140,2,1,2
141,2,1,2
142,2,1,2
143,2,1,2
144,2,2,7
145,2,2,7
146,2,2,7
147,2,1,2
148,2,1,2
149,2,1,2
150,2,1,2
151,2,1,2
152,2,1,2
153,2,1,2
154,2,1,2
155,2,3,4
156,2,2,3
157,2,2,3
158,2,2,3
159,2,2,3
160,2,1,2
161,2,2,3
162,1,1,1
163,2,1,2
164,2,1,2
166,80,1,1
167,2,2,3
168,2,2,3
169,1,1,1
170,2,1,1
171,2,1,6
172,2,1,2
173,2,1,2
174,2,1,6
175,2,1,8
176,2,1,9
177,2,1,2
178,2,1,6
179,2,1,6
180,2,2,7
181,2,1,6
182,2,2,7
183,2,2,7
184,81,1,1
185,80,1,1
186,2,1,6
187,2,1,6
188,2,1,6
189,2,2,7
190,2,2,7
191,2,2,7
192,2,1,9
193,0,2,3
