col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
BT1,6.8MM_COIN_CELL,ML414H_IV01E_BATTERY,ML414H_IV01E,SEIKO ML414H-IV01E Reflowable Lithium Battery,,,,,,,,,,,,,,,BATT-14267,,,,
C1,100n,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
C2,10uF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
C3,100n,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
C4,100n,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
C5,10uF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
C6,100n,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
C7,100n,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
C8,1uF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,73.0,,,,C,,
D2,0.5A/40V/420mV,DIODE-SCHOTTKY-PMEG4005EJ,SOD-323,Schottky diode,,,,,,,,,,,,,,,DIO-10955,,,0.5A/40V/420mV,
L80-R,L80-R,L80-R,XCVR_L80-R,,,,Unavailable, L80-R is an ultra compact GPS POT (Patch on Top) module with an embedded 15.0mm × 15.0mm × 4.0mm patch antenna ,,,,Quectel,,,L80-R,None,,None,,,,,
LED1,OSK51206C1E ( Pink ) ,LEDCHIPLED_1206,CHIPLED_1206,LED,,,,,,,,,,,,,28.0,,,,,,
PCB1,96BOARDS-IOT-MEZZANINE_96BOARDS-IOT-1.8V,96BOARDS-IOT-MEZZANINE_96BOARDS-IOT-1.8V,96BOARDS-IOT-MEZZANINE_96BOARDS-IOT-1.8V,,,,,,,,,,,,,,,,,,,,
Q1,DTC143ZEBTL,DTC143ZEBTL,SOTFL50P160X85-3N,"ROHM, DTC143ZEBTL NPN Digital Transistor, 100 mA 50 V 4.7 k, Ratio Of 10, 3-Pin SC-89",DTC143ZEBTL,https://www.arrow.com/en/products/dtc143zebtl/rohm-semiconductor,,"ROHM, DTC143ZEBTL NPN Digital Transistor, 100 mA 50 V 4.7 k, Ratio Of 10, 3-Pin SC-89",0.85mm,ROHM Semiconductor,DTC143ZEBTL,,755-DTC143ZEBTL,https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/DTC143ZEBTL?qs=IsRgwgmxh6%252Bn%252Bp0edl8N%2Fw%3D%3D,,,,,,,,,
Q2,DTC143ZEBTL,DTC143ZEBTL,SOTFL50P160X85-3N,"ROHM, DTC143ZEBTL NPN Digital Transistor, 100 mA 50 V 4.7 k, Ratio Of 10, 3-Pin SC-89",DTC143ZEBTL,https://www.arrow.com/en/products/dtc143zebtl/rohm-semiconductor,,"ROHM, DTC143ZEBTL NPN Digital Transistor, 100 mA 50 V 4.7 k, Ratio Of 10, 3-Pin SC-89",0.85mm,ROHM Semiconductor,DTC143ZEBTL,,755-DTC143ZEBTL,https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/DTC143ZEBTL?qs=IsRgwgmxh6%252Bn%252Bp0edl8N%2Fw%3D%3D,,,,,,,,,
R1,10R,R-EU_R1206,R1206,"RESISTOR, European symbol",,,,,,,,,,,,,41.0,,,,R,,
R2,10K,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,,,,,70.0,,,,R,,
R3,3.3k,3.3KOHM-0603-1/10W-1%,0603,3.3kΩ resistor,,,,,,,,,,,,,,,RES-07851,,,3.3k,
U$1,57202-G52-20LF,57202-G52-20LF,57202-G52-20LF,,,,,,,,,,,,,,,,,,,,
U1,LD1117D33TR,LD1117D33TR,SOIC127P600X175-8N,LD1117 Series 1300 mA Low Drop Fixed Positive Voltage Regulator - SOIC-8 Check prices,,,Warning, Linear Voltage Regulator IC 1 Output 800mA 8-SO ,,,,STMicroelectronics,,,LD1117D33TR,SO-8 STMicroelectronics,,None,,https://pricing.snapeda.com/search/part/LD1117D33TR/?ref=eda,,,
U2,TXS0104ED,TXS0104ED,SOIC127P600X175-14N,Check prices,,,Good, 4-Bit Bidirectional Voltage-Level Shifter for Open-Drain and Push-Pull Applications 14-SOIC -40 to 85 ,,,,Texas Instruments,,,TXS0104ED,SOIC-14 Texas Instruments,,None,,https://pricing.snapeda.com/search/part/TXS0104ED/?ref=eda,,,
