col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
username,fields.user,/reports/api/v1/field/fields.user/username/,,,100,,string,link,{ 'hrefTemplate': ',,,,,,,,,,,,,,,,
first_name,fields.user,/reports/api/v1/field/fields.user/first_name/,auth_user,,101,,string,,,,TRUE,First Name,First Name,TRUE,,,[l;d],[c;u],,,,,,TRUE,1.0
last_name,fields.user,/reports/api/v1/field/fields.user/last_name/,auth_user,,102,,string,,,,TRUE,Last Name,Last Name,TRUE,,,[l;d],[c;u],,,,,,TRUE,1.0
ecommons_id,fields.user,/reports/api/v1/field/fields.user/ecommons_id/,,,103,,string,,,,TRUE,Ecommons,Ecommons,TRUE,,,[l;d],[c;u],,,,,[readEverythingAdmin],,3.0
email,fields.user,/reports/api/v1/field/fields.user/email/,auth_user,,104,,string,,{ 'maxlength': '100' },,TRUE,Email,Email,TRUE,,,[l;d],[c;u],,,"^[\w\-]{1,}([\w\-\+.]{1,1}[\w\-]{1,}){0,}[@][\w\-]{1,}([.]([\w\-]{1,})){1,3}$",,,,1.0
permissions,fields.user,/reports/api/v1/field/fields.user/permissions/,,,155,,list,,,multiselect2,TRUE,Permissions assigned directly to the user,User Permissions,TRUE,,,[d],[c;u],,,,,[readEverythingAdmin],,
usergroups,fields.user,/reports/api/v1/field/fields.user/usergroups/,,,150,,list,link,{ 'hrefTemplate': ',,,,,,,,,,,,,,,,
all_permissions,fields.user,/reports/api/v1/field/fields.user/all_permissions/,,,156,,list,link,,,TRUE,combined user/group permissions,All Permissions,TRUE,,,[d],,,,,,[readEverythingAdmin],,
gender,fields.user,/reports/api/v1/field/fields.user/gender/,,,115,,string,,,select,TRUE,The gender of the user,Gender,TRUE,,user.gender,[l;d],[c;u],,,,,,,1.0
phone,fields.user,/reports/api/v1/field/fields.user/phone/,,,116,,string,,,,TRUE,The phone number for this user,Phone,TRUE,,,[l;d],[c;u],,,,,,,3.0
is_active,fields.user,/reports/api/v1/field/fields.user/is_active/,auth_user,,200,,boolean,,,,TRUE,True if the user is currently active and may log in to the system,User Can Log In,TRUE,,,[l;d],[c;u],,,,FALSE,,,3.0
is_staff,fields.user,/reports/api/v1/field/fields.user/is_staff/,auth_user,,201,,boolean,,,,TRUE,For information purposes only - permissions are granted using UserGroups,Is Staff,TRUE,,,[d],[c;u],,,,FALSE,[readEverythingAdmin],,
is_superuser,fields.user,/reports/api/v1/field/fields.user/is_superuser/,auth_user,,202,,boolean,,,,TRUE,User has all permissions on the system,Is Superuser,TRUE,,,[d],[c;u],,,,FALSE,[superusers],,
